ocd-division,County,Location Name,Address 1,Address 2,dirs,City,State,Zip,start_time,end_time,start_date,end_date,is_only_by_appointment,is_or_by_appointment,is_subject_to_change
ocd-division/country:us/state:mn/place:north_oaks,Ramsey,,100 Village Center Dr,,,North Oaks,MN,55127,900,1600,10-31-2016,11-04-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:north_oaks,Ramsey,,100 Village Center Dr,,,North Oaks,MN,55127,1000,1500,11-05-2016,11-05-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:north_oaks,Ramsey,,100 Village Center Dr,,,North Oaks,MN,55127,800,1700,11-07-2016,11-07-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:ramsey/place:white_bear,Ramsey,,1281 Hammond Rd,,,White Bear Township,MN,55110,700,1630,09-23-2016,09-23-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:ramsey/place:white_bear,Ramsey,,1281 Hammond Rd,,,White Bear Township,MN,55110,700,1630,09-26-2016,09-30-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:ramsey/place:white_bear,Ramsey,,1281 Hammond Rd,,,White Bear Township,MN,55110,700,1630,10-03-2016,10-07-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:ramsey/place:white_bear,Ramsey,,1281 Hammond Rd,,,White Bear Township,MN,55110,700,1630,10-10-2016,10-14-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:ramsey/place:white_bear,Ramsey,,1281 Hammond Rd,,,White Bear Township,MN,55110,700,1630,10-17-2016,10-21-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:ramsey/place:white_bear,Ramsey,,1281 Hammond Rd,,,White Bear Township,MN,55110,700,1630,10-24-2016,10-28-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:ramsey/place:white_bear,Ramsey,,1281 Hammond Rd,,,White Bear Township,MN,55110,700,1630,10-31-2016,11-04-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:ramsey/place:white_bear,Ramsey,,1281 Hammond Rd,,,White Bear Township,MN,55110,1000,1500,11-05-2016,11-05-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:ramsey/place:white_bear,Ramsey,,1281 Hammond Rd,,,White Bear Township,MN,55110,700,1700,11-07-2016,11-07-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:lauderdale,Ramsey,Lauderdale City Hall,891 Walnut St,,,Lauderdale,MN,55113,700,1630,09-23-2016,09-23-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:lauderdale,Ramsey,Lauderdale City Hall,891 Walnut St,,,Lauderdale,MN,55113,700,1630,09-26-2016,09-30-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:lauderdale,Ramsey,Lauderdale City Hall,891 Walnut St,,,Lauderdale,MN,55113,700,1630,10-03-2016,10-07-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:lauderdale,Ramsey,Lauderdale City Hall,891 Walnut St,,,Lauderdale,MN,55113,700,1630,10-10-2016,10-14-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:lauderdale,Ramsey,Lauderdale City Hall,891 Walnut St,,,Lauderdale,MN,55113,700,1630,10-17-2016,10-21-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:lauderdale,Ramsey,Lauderdale City Hall,891 Walnut St,,,Lauderdale,MN,55113,700,1630,10-24-2016,10-28-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:lauderdale,Ramsey,Lauderdale City Hall,891 Walnut St,,,Lauderdale,MN,55113,700,1630,10-31-2016,11-04-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:lauderdale,Ramsey,Lauderdale City Hall,891 Walnut St,,,Lauderdale,MN,55113,1000,1500,11-05-2016,11-05-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:lauderdale,Ramsey,Lauderdale City Hall,891 Walnut St,,,Lauderdale,MN,55113,700,1700,11-07-2016,11-07-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:red_lake,Red Lake,Red Lake County Courthouse,124 Langevin Ave,,,Red Lake Falls,MN,56750,900,1700,09-23-2016,09-23-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:red_lake,Red Lake,Red Lake County Courthouse,124 Langevin Ave,,,Red Lake Falls,MN,56750,900,1700,09-26-2016,09-30-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:red_lake,Red Lake,Red Lake County Courthouse,124 Langevin Ave,,,Red Lake Falls,MN,56750,900,1700,10-03-2016,10-07-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:red_lake,Red Lake,Red Lake County Courthouse,124 Langevin Ave,,,Red Lake Falls,MN,56750,900,1700,10-10-2016,10-14-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:red_lake,Red Lake,Red Lake County Courthouse,124 Langevin Ave,,,Red Lake Falls,MN,56750,900,1700,10-17-2016,10-21-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:red_lake,Red Lake,Red Lake County Courthouse,124 Langevin Ave,,,Red Lake Falls,MN,56750,900,1700,10-24-2016,10-28-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:red_lake,Red Lake,Red Lake County Courthouse,124 Langevin Ave,,,Red Lake Falls,MN,56750,900,1700,10-31-2016,11-04-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:red_lake,Red Lake,Red Lake County Courthouse,124 Langevin Ave,,,Red Lake Falls,MN,56750,1000,1500,11-05-2016,11-05-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:red_lake,Red Lake,Red Lake County Courthouse,124 Langevin Ave,,,Red Lake Falls,MN,56750,900,1700,11-07-2016,11-07-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:redwood,Redwood,Redwood County Government Center,403 S Mill St,,,Redwood Falls,MN,56283,800,1630,09-23-2016,09-23-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:redwood,Redwood,Redwood County Government Center,403 S Mill St,,,Redwood Falls,MN,56283,800,1630,09-26-2016,09-30-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:redwood,Redwood,Redwood County Government Center,403 S Mill St,,,Redwood Falls,MN,56283,800,1630,10-03-2016,10-07-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:redwood,Redwood,Redwood County Government Center,403 S Mill St,,,Redwood Falls,MN,56283,800,1630,10-10-2016,10-14-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:redwood,Redwood,Redwood County Government Center,403 S Mill St,,,Redwood Falls,MN,56283,800,1630,10-17-2016,10-21-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:redwood,Redwood,Redwood County Government Center,403 S Mill St,,,Redwood Falls,MN,56283,800,1630,10-24-2016,10-28-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:redwood,Redwood,Redwood County Government Center,403 S Mill St,,,Redwood Falls,MN,56283,800,1630,10-31-2016,11-04-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:redwood,Redwood,Redwood County Government Center,403 S Mill St,,,Redwood Falls,MN,56283,1000,1500,11-05-2016,11-05-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:redwood,Redwood,Redwood County Government Center,403 S Mill St,,,Redwood Falls,MN,56283,800,1700,11-07-2016,11-07-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:renville,Renville,Renville County Courthouse,500 E Depue Ave,Ste 202,,Olivia,MN,56277,800,1630,09-23-2016,09-23-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:renville,Renville,Renville County Courthouse,500 E Depue Ave,Ste 202,,Olivia,MN,56277,800,1630,09-26-2016,09-30-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:renville,Renville,Renville County Courthouse,500 E Depue Ave,Ste 202,,Olivia,MN,56277,800,1630,10-03-2016,10-07-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:renville,Renville,Renville County Courthouse,500 E Depue Ave,Ste 202,,Olivia,MN,56277,800,1630,10-10-2016,10-14-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:renville,Renville,Renville County Courthouse,500 E Depue Ave,Ste 202,,Olivia,MN,56277,800,1630,10-17-2016,10-21-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:renville,Renville,Renville County Courthouse,500 E Depue Ave,Ste 202,,Olivia,MN,56277,800,1630,10-24-2016,10-28-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:renville,Renville,Renville County Courthouse,500 E Depue Ave,Ste 202,,Olivia,MN,56277,800,1630,10-31-2016,11-04-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:renville,Renville,Renville County Courthouse,500 E Depue Ave,Ste 202,,Olivia,MN,56277,1000,1500,11-05-2016,11-05-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:renville,Renville,Renville County Courthouse,500 E Depue Ave,Ste 202,,Olivia,MN,56277,800,1700,11-07-2016,11-07-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:rice,Rice,Government Services Building,320 3rd St NW,,,Faribault,MN,55021,800,1630,09-23-2016,09-23-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:rice,Rice,Government Services Building,320 3rd St NW,,,Faribault,MN,55021,800,1630,09-26-2016,09-30-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:rice,Rice,Government Services Building,320 3rd St NW,,,Faribault,MN,55021,800,1630,10-03-2016,10-07-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:rice,Rice,Government Services Building,320 3rd St NW,,,Faribault,MN,55021,800,1630,10-10-2016,10-14-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:rice,Rice,Government Services Building,320 3rd St NW,,,Faribault,MN,55021,800,1630,10-17-2016,10-21-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:rice,Rice,Government Services Building,320 3rd St NW,,,Faribault,MN,55021,800,1630,10-24-2016,10-28-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:rice,Rice,Government Services Building,320 3rd St NW,,,Faribault,MN,55021,800,1630,10-31-2016,11-04-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:rice,Rice,Government Services Building,320 3rd St NW,,,Faribault,MN,55021,1000,1500,11-05-2016,11-05-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:rice,Rice,Government Services Building,320 3rd St NW,,,Faribault,MN,55021,800,1700,11-07-2016,11-07-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:rock,Rock,Rock County Courthouse,204 Brown St E,,,Luverne,MN,56156,800,1700,09-23-2016,09-23-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:rock,Rock,Rock County Courthouse,204 Brown St E,,,Luverne,MN,56156,800,1700,09-26-2016,09-30-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:rock,Rock,Rock County Courthouse,204 Brown St E,,,Luverne,MN,56156,800,1700,10-03-2016,10-07-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:rock,Rock,Rock County Courthouse,204 Brown St E,,,Luverne,MN,56156,800,1700,10-10-2016,10-14-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:rock,Rock,Rock County Courthouse,204 Brown St E,,,Luverne,MN,56156,800,1700,10-17-2016,10-21-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:rock,Rock,Rock County Courthouse,204 Brown St E,,,Luverne,MN,56156,800,1700,10-24-2016,10-28-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:rock,Rock,Rock County Courthouse,204 Brown St E,,,Luverne,MN,56156,800,1700,10-31-2016,11-04-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:rock,Rock,Rock County Courthouse,204 Brown St E,,,Luverne,MN,56156,1000,1500,11-05-2016,11-05-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:rock,Rock,Rock County Courthouse,204 Brown St E,,,Luverne,MN,56156,800,1700,11-07-2016,11-07-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:roseau,Roseau,,606 5th Ave Sw,Rm 160,,Roseau,MN,56751,830,1630,09-23-2016,09-23-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:roseau,Roseau,,606 5th Ave Sw,Rm 160,,Roseau,MN,56751,830,1630,09-26-2016,09-30-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:roseau,Roseau,,606 5th Ave Sw,Rm 160,,Roseau,MN,56751,830,1630,10-03-2016,10-07-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:roseau,Roseau,,606 5th Ave Sw,Rm 160,,Roseau,MN,56751,830,1630,10-10-2016,10-14-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:roseau,Roseau,,606 5th Ave Sw,Rm 160,,Roseau,MN,56751,830,1630,10-17-2016,10-21-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:roseau,Roseau,,606 5th Ave Sw,Rm 160,,Roseau,MN,56751,830,1630,10-24-2016,10-28-2016,FALSE,FALSE,FALSE
