index,address_location_name,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
104,"640 S. Broad Street Trenton, NJ 08650",08:30 AM-04:30 PM,,,False,True,,,,merc0104
105,"640 S. Broad Street Trenton, NJ 08650",09:00 AM-02:00 PM,,,False,True,,,,merc0105
106,"640 S. Broad Street Trenton, NJ 08650",08:30 AM-03:00 PM,,,False,True,,,,merc0106
107,"11 Kennedy Blvd. East Brunswick, NJ 08816",08:30 AM-04:15 PM,,,False,True,,,,midd0107
108,"11 Kennedy Blvd. East Brunswick, NJ 08816",08:00 AM-06:30 PM,,,False,True,,,,midd0108
109,"11 Kennedy Blvd. East Brunswick, NJ 08816",08:30 AM-04:15 PM,,,False,True,,,,midd0109
110,"11 Kennedy Blvd. East Brunswick, NJ 08816",08:30 AM-04:15 PM,,,False,True,,,,midd0110
111,"11 Kennedy Blvd. East Brunswick, NJ 08816",08:00 AM-06:30 PM,,,False,True,,,,midd0111
112,"11 Kennedy Blvd. East Brunswick, NJ 08816",08:30 AM-04:15 PM,,,False,True,,,,midd0112
113,"11 Kennedy Blvd. East Brunswick, NJ 08816",08:30 AM-04:15 PM,,,False,True,,,,midd0113
114,"11 Kennedy Blvd. East Brunswick, NJ 08816",08:00 AM-06:30 PM,,,False,True,,,,midd0114
115,"11 Kennedy Blvd. East Brunswick, NJ 08816",08:30 AM-04:15 PM,,,False,True,,,,midd0115
116,"11 Kennedy Blvd. East Brunswick, NJ 08816",08:30 AM-04:15 PM,,,False,True,,,,midd0116
117,"11 Kennedy Blvd. East Brunswick, NJ 08816",08:00 AM-06:30 PM,,,False,True,,,,midd0117
118,"11 Kennedy Blvd. East Brunswick, NJ 08816",08:30 AM-04:15 PM,,,False,True,,,,midd0118
119,"11 Kennedy Blvd. East Brunswick, NJ 08816",08:30 AM-04:15 PM,,,False,True,,,,midd0119
120,"11 Kennedy Blvd. East Brunswick, NJ 08816",08:00 AM-06:30 PM,,,False,True,,,,midd0120
121,"11 Kennedy Blvd. East Brunswick, NJ 08816",08:30 AM-04:15 PM,,,False,True,,,,midd0121
122,"11 Kennedy Blvd. East Brunswick, NJ 08816",08:30 AM-04:15 PM,,,False,True,,,,midd0122
123,"11 Kennedy Blvd. East Brunswick, NJ 08816",08:00 AM-06:30 PM,,,False,True,,,,midd0123
124,"11 Kennedy Blvd. East Brunswick, NJ 08816",08:30 AM-04:15 PM,,,False,True,,,,midd0124
125,"11 Kennedy Blvd. East Brunswick, NJ 08816",08:30 AM-04:15 PM,,,False,True,,,,midd0125
126,"11 Kennedy Blvd. East Brunswick, NJ 08816",08:30 AM-08:00 PM,,,False,True,,,,midd0126
127,"300 Halls Mill Road Freehold, NJ 07728",08:30 AM-04:30 PM,,,False,True,,,,monm0127
128,"300 Halls Mill Road Freehold, NJ 07728",08:30 AM-04:30 PM,,,False,True,,,,monm0128
129,"300 Halls Mill Road Freehold, NJ 07728",08:30 AM-04:30 PM,,,False,True,,,,monm0129
130,"300 Halls Mill Road Freehold, NJ 07728",08:30 AM-04:30 PM,,,False,True,,,,monm0130
131,"300 Halls Mill Road Freehold, NJ 07728",08:30 AM-04:30 PM,,,False,True,,,,monm0131
132,"300 Halls Mill Road Freehold, NJ 07728",08:30 AM-04:30 PM,,,False,True,,,,monm0132
133,"300 Halls Mill Road Freehold, NJ 07728",08:30 AM-03:00 PM,,,False,True,,,,monm0133
134,"10 Court Street Morristown, NJ 07963",08:30 AM-04:30 PM,,,False,True,,,,morr0134
135,"10 Court Street Morristown, NJ 07963",08:30 AM-04:30 PM,,,False,True,,,,morr0135
136,"10 Court Street Morristown, NJ 07963",08:30 AM-04:30 PM,,,False,True,,,,morr0136
137,"10 Court Street Morristown, NJ 07963",08:30 AM-04:30 PM,,,False,True,,,,morr0137
138,"10 Court Street Morristown, NJ 07963",08:30 AM-04:30 PM,,,False,True,,,,morr0138
139,"10 Court Street Morristown, NJ 07963",08:30 AM-04:30 PM,,,False,True,,,,morr0139
