ocd-division,COUNTY,Location Name,Address 1,Address 2,City,State,Zip,start_time,end_time,start_date,end_date,is_only_by_appointment,is_or_by_appointment,Appointment Phone #,is_subject_to_change,
ocd-division/country:us/state:mn/county:anoka,Anoka,Columbus City Hall,16319 Kettle River Blvd,,Columbus,MN,55025,800,1700,10/19/16,10/19/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Columbus City Hall,16319 Kettle River Blvd,,Columbus,MN,55025,800,1600,10/20/16,10/21/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Columbus City Hall,16319 Kettle River Blvd,,Columbus,MN,55025,800,1600,10/24/16,10/25/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Columbus City Hall,16319 Kettle River Blvd,,Columbus,MN,55025,800,1700,10/26/16,10/26/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Columbus City Hall,16319 Kettle River Blvd,,Columbus,MN,55025,800,1600,10/27/16,10/28/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Columbus City Hall,16319 Kettle River Blvd,,Columbus,MN,55025,800,1600,10/31/16,11/1/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Columbus City Hall,16319 Kettle River Blvd,,Columbus,MN,55025,800,1700,11/2/16,11/2/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Columbus City Hall,16319 Kettle River Blvd,,Columbus,MN,55025,800,1600,11/3/16,11/4/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Columbus City Hall,16319 Kettle River Blvd,,Columbus,MN,55025,1000,1500,11/5/16,11/5/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Columbus City Hall,16319 Kettle River Blvd,,Columbus,MN,55025,800,1700,11/7/16,11/7/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Coon Rapids City Hall,11155 Robinson Dr,,Coon Rapids,MN,55433,800,1630,9/23/16,9/23/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Coon Rapids City Hall,11155 Robinson Dr,,Coon Rapids,MN,55433,800,1630,9/26/16,9/30/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Coon Rapids City Hall,11155 Robinson Dr,,Coon Rapids,MN,55433,800,1630,10/3/16,10/7/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Coon Rapids City Hall,11155 Robinson Dr,,Coon Rapids,MN,55433,800,1630,10/10/16,10/14/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Coon Rapids City Hall,11155 Robinson Dr,,Coon Rapids,MN,55433,800,1630,10/17/16,10/21/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Coon Rapids City Hall,11155 Robinson Dr,,Coon Rapids,MN,55433,800,1630,10/24/16,10/28/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Coon Rapids City Hall,11155 Robinson Dr,,Coon Rapids,MN,55433,800,1630,10/31/16,11/4/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Coon Rapids City Hall,11155 Robinson Dr,,Coon Rapids,MN,55433,1000,1500,11/5/16,11/5/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Coon Rapids City Hall,11155 Robinson Dr,,Coon Rapids,MN,55433,800,1700,11/7/16,11/7/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,East Bethel City Hall,2241 221st Ave NE,,East Bethel,MN,55011,800,1600,9/23/16,9/23/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,East Bethel City Hall,2241 221st Ave NE,,East Bethel,MN,55011,800,1600,9/26/16,9/30/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,East Bethel City Hall,2241 221st Ave NE,,East Bethel,MN,55011,800,1600,10/3/16,10/7/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,East Bethel City Hall,2241 221st Ave NE,,East Bethel,MN,55011,800,1600,10/17/16,10/14/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,East Bethel City Hall,2241 221st Ave NE,,East Bethel,MN,55011,800,1600,10/17/16,10/21/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,East Bethel City Hall,2241 221st Ave NE,,East Bethel,MN,55011,800,1600,10/24/16,10/28/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,East Bethel City Hall,2241 221st Ave NE,,East Bethel,MN,55011,800,1600,10/31/16,11/4/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,East Bethel City Hall,2241 221st Ave NE,,East Bethel,MN,55011,1000,1500,11/5/16,11/5/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,East Bethel City Hall,2241 221st Ave NE,,East Bethel,MN,55011,800,1700,11/7/16,11/7/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Fridley Municipal Center,6431 University Ave NE,,Fridley,MN,55432,800,1630,9/23/16,9/23/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Fridley Municipal Center,6431 University Ave NE,,Fridley,MN,55432,800,1630,9/26/16,9/30/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Fridley Municipal Center,6431 University Ave NE,,Fridley,MN,55432,800,1630,10/3/16,10/7/16,no,no,,no,
