name,address_location_name,address_line1,address_line2,address_line3,address_city,address_state,address_zip,county,directions,voter_services,start_date,end_date,start_time,end_time,days_times_open,id,COMMENTS
"""San Felipe Pueblo Senior Center""",Laguna Tribal Building,23 Capital,,,Laguna,NM,87026,Cibola,,Early Voting,10/25/16,10/29/16,08:00:00-07:00,16:00:00-7:00,October 22 - November 5 Tue - Sat 8 AM - 4 PM,,
"""San Felipe Pueblo Senior Center""",Laguna Tribal Building,24 Capital,,,Laguna,NM,87026,Cibola,,Early Voting,11/1/16,11/5/16,08:00:00-07:00,16:00:00-7:00,October 22 - November 5 Tue - Sat 8 AM - 4 PM,,
"""Colfax County Clerk's Office""",Valencia County Courthouse - Clerk's Office,444 Luna Ave,,,Los Lunas,NM,87031,Valencia,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 22,10/11/16,10/14/16,08:00:00-07:00,17:00:00-7:00,October 11 - October 21 Tue - Fri 8 AM - 5 PM; October 22 - November 5 Tue - Sat 10 AM - 6 PM,,
"""Colfax County Clerk's Office""",Valencia County Courthouse - Clerk's Office,445 Luna Ave,,,Los Lunas,NM,87031,Valencia,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 23,10/18/16,10/21/16,08:00:00-07:00,17:00:00-7:00,October 11 - October 21 Tue - Fri 8 AM - 5 PM; October 22 - November 5 Tue - Sat 10 AM - 6 PM,,
"""Colfax County Clerk's Office""",Valencia County Courthouse - Clerk's Office,446 Luna Ave,,,Los Lunas,NM,87031,Valencia,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 24,10/22/16,10/22/16,10:00:00-07:00,18:00:00-7:00,October 11 - October 21 Tue - Fri 8 AM - 5 PM; October 22 - November 5 Tue - Sat 10 AM - 6 PM,,
"""Colfax County Clerk's Office""",Valencia County Courthouse - Clerk's Office,447 Luna Ave,,,Los Lunas,NM,87031,Valencia,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 25,10/25/16,10/29/16,10:00:00-07:00,18:00:00-7:00,October 11 - October 21 Tue - Fri 8 AM - 5 PM; October 22 - November 5 Tue - Sat 10 AM - 6 PM,,
"""Colfax County Clerk's Office""",Valencia County Courthouse - Clerk's Office,448 Luna Ave,,,Los Lunas,NM,87031,Valencia,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 26,11/1/16,11/5/16,10:00:00-07:00,18:00:00-7:00,October 11 - October 21 Tue - Fri 8 AM - 5 PM; October 22 - November 5 Tue - Sat 10 AM - 6 PM,,
"""Jicarilla Apache Nation Tribal Bldg.""",Rio West Mall,1300 West I-40 Frontage Road,,,Gallup,NM,87031,Valencia,,Early Voting,10/22/16,10/22/16,10:00:00-07:00,18:00:00-7:00,"October 22 - November 5 Tue - Fri 12 PM - 8 PM, Sat 10 AM - 6 PM",,
"""Jicarilla Apache Nation Tribal Bldg.""",Rio West Mall,1301 West I-40 Frontage Road,,,Gallup,NM,87031,Valencia,,Early Voting,10/25/16,10/28/16,12:00:00-07:00,20:00:00-7:00,"October 22 - November 5 Tue - Fri 12 PM - 8 PM, Sat 10 AM - 6 PM",,
"""Jicarilla Apache Nation Tribal Bldg.""",Rio West Mall,1302 West I-40 Frontage Road,,,Gallup,NM,87031,Valencia,,Early Voting,10/29/16,10/29/16,10:00:00-07:00,18:00:00-7:00,"October 22 - November 5 Tue - Fri 12 PM - 8 PM, Sat 10 AM - 6 PM",,
"""Jicarilla Apache Nation Tribal Bldg.""",Rio West Mall,1303 West I-40 Frontage Road,,,Gallup,NM,87031,Valencia,,Early Voting,11/1/16,11/4/16,12:00:00-07:00,20:00:00-7:00,"October 22 - November 5 Tue - Fri 12 PM - 8 PM, Sat 10 AM - 6 PM",,
"""Jicarilla Apache Nation Tribal Bldg.""",Rio West Mall,1304 West I-40 Frontage Road,,,Gallup,NM,87031,Valencia,,Early Voting,11/5/16,11/5/16,10:00:00-07:00,18:00:00-7:00,"October 22 - November 5 Tue - Fri 12 PM - 8 PM, Sat 10 AM - 6 PM",,
"""Acoma Tribal Auditorium""",Acoma Tribal Auditorium,33A Pinsbaari Drive,,,Acoma,NM,87034,Cibola,,Early Voting,10/22/16,10/22/16,08:00:00-07:00,16:00:00-7:00,October 22 - November 5 Tue - Sat 8 AM - 4 PM,,
