name,address_location_name,address_line1,address_line2,address_line3,address_city,address_state,address_zip,county,directions,voter_services,start_date,end_date,start_time,end_time,days_times_open,id,COMMENTS
"""Lea County Event Center""",Daskalos Center,5340 Menaul Blvd. NE,,,Albuquerque,NM,87110,Bernalillo,,Early Voting,10/24/16,10/29/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Lea County Event Center""",Daskalos Center,5341 Menaul Blvd. NE,,,Albuquerque,NM,87110,Bernalillo,,Early Voting,10/31/16,11/5/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""White Rock Branch Library""",Caracol Plaza,"12500 Montgomery Blvd NE, Suite 101",,,Albuquerque,NM,87111,Bernalillo,,Early Voting,10/22/16,10/22/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""White Rock Branch Library""",Caracol Plaza,"12501 Montgomery Blvd NE, Suite 101",,,Albuquerque,NM,87111,Bernalillo,,Early Voting,10/24/16,10/29/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""White Rock Branch Library""",Caracol Plaza,"12502 Montgomery Blvd NE, Suite 101",,,Albuquerque,NM,87111,Bernalillo,,Early Voting,10/31/16,11/5/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Rio West Mall""",Los Altos Plaza,4200 Wyoming Blvd NE Suite B-2,,,Albuquerque,NM,87111,Bernalillo,,Early Voting,10/22/16,10/22/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Rio West Mall""",Los Altos Plaza,4201 Wyoming Blvd NE Suite B-2,,,Albuquerque,NM,87111,Bernalillo,,Early Voting,10/24/16,10/29/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Rio West Mall""",Los Altos Plaza,4202 Wyoming Blvd NE Suite B-2,,,Albuquerque,NM,87111,Bernalillo,,Early Voting,10/31/16,11/5/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""McKinley County Clerk's Office""",Holly Plaza,"6500 Holly Ave NE, Suite A6",,,Albuquerque,NM,87113,Bernalillo,,Early Voting,10/22/16,10/22/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""McKinley County Clerk's Office""",Holly Plaza,"6501 Holly Ave NE, Suite A6",,,Albuquerque,NM,87113,Bernalillo,,Early Voting,10/24/16,10/29/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""McKinley County Clerk's Office""",Holly Plaza,"6502 Holly Ave NE, Suite A6",,,Albuquerque,NM,87113,Bernalillo,,Early Voting,10/31/16,11/5/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Lea County Annex Office Complex""",Petroglyph Plaza,"8201 Golf Course Rd NW, Suite C-1",,,Albuquerque,NM,87114,Bernalillo,,Early Voting,10/22/16,10/22/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Lea County Annex Office Complex""",Petroglyph Plaza,"8202 Golf Course Rd NW, Suite C-1",,,Albuquerque,NM,87114,Bernalillo,,Early Voting,10/24/16,10/29/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Lea County Annex Office Complex""",Petroglyph Plaza,"8203 Golf Course Rd NW, Suite C-1",,,Albuquerque,NM,87114,Bernalillo,,Early Voting,10/31/16,11/5/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Lincoln County Courthouse""",Sun Country Plaza,9421 Coors Blvd. NW Ste. G&H,,,Albuquerque,NM,87114,Bernalillo,,Early Voting,10/22/16,10/22/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Lincoln County Courthouse""",Sun Country Plaza,9422 Coors Blvd. NW Ste. G&H,,,Albuquerque,NM,87114,Bernalillo,,Early Voting,10/24/16,10/29/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Lincoln County Courthouse""",Sun Country Plaza,9423 Coors Blvd. NW Ste. G&H,,,Albuquerque,NM,87114,Bernalillo,,Early Voting,10/31/16,11/5/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Jal City Hall""",Westbluff Center,5201 Ouray NW Ste. D-2,,,Albuquerque,NM,87120,Bernalillo,,Early Voting,10/22/16,10/22/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Jal City Hall""",Westbluff Center,5202 Ouray NW Ste. D-2,,,Albuquerque,NM,87120,Bernalillo,,Early Voting,10/24/16,10/29/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Jal City Hall""",Westbluff Center,5203 Ouray NW Ste. D-2,,,Albuquerque,NM,87120,Bernalillo,,Early Voting,10/31/16,11/5/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Eunice Community Center""",98th and Central Shopping Center,"120 98th St. NW, Suite A5",,,Albuquerque,NM,87121,Bernalillo,,Early Voting,10/22/16,10/22/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Eunice Community Center""",98th and Central Shopping Center,"121 98th St. NW, Suite A5",,,Albuquerque,NM,87121,Bernalillo,,Early Voting,10/24/16,10/29/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Eunice Community Center""",98th and Central Shopping Center,"122 98th St. NW, Suite A5",,,Albuquerque,NM,87121,Bernalillo,,Early Voting,10/31/16,11/5/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Mimbres Valley Learning Center""",Four Hills Shopping Center,"13140 Central Ave SE, Suite 1420",,,Albuquerque,NM,87123,Bernalillo,,Early Voting,10/22/16,10/22/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Mimbres Valley Learning Center""",Four Hills Shopping Center,"13141 Central Ave SE, Suite 1420",,,Albuquerque,NM,87123,Bernalillo,,Early Voting,10/24/16,10/29/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Mimbres Valley Learning Center""",Four Hills Shopping Center,"13142 Central Ave SE, Suite 1420",,,Albuquerque,NM,87123,Bernalillo,,Early Voting,10/31/16,11/5/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Grant County Clerk's Office""",Rio Rancho City Hall,3200 Civic Center Circle,,,Rio Rancho,NM,87124,Sandoval,,Early Voting,10/22/16,10/22/16,10:00:00-07:00,19:00:00-7:00,October 22 - November 5 Mon - Sat 10 AM - 7 PM,,
"""Grant County Clerk's Office""",Rio Rancho City Hall,3201 Civic Center Circle,,,Rio Rancho,NM,87124,Sandoval,,Early Voting,10/24/16,10/29/16,10:00:00-07:00,19:00:00-7:00,October 22 - November 5 Mon - Sat 10 AM - 7 PM,,
"""Grant County Clerk's Office""",Rio Rancho City Hall,3202 Civic Center Circle,,,Rio Rancho,NM,87124,Sandoval,,Early Voting,10/31/16,11/5/16,10:00:00-07:00,19:00:00-7:00,October 22 - November 5 Mon - Sat 10 AM - 7 PM,,
"""Guadalupe County Clerk's Office""",Esther Bone Memorial Library,950 Pinetree Rd. NE,,,Rio Rancho,NM,87124,Sandoval,,Early Voting,10/22/16,10/22/16,10:00:00-07:00,19:00:00-7:00,October 22 - November 5 Mon - Sat 10 AM - 7 PM,,
"""Guadalupe County Clerk's Office""",Esther Bone Memorial Library,951 Pinetree Rd. NE,,,Rio Rancho,NM,87124,Sandoval,,Early Voting,10/24/16,10/29/16,10:00:00-07:00,19:00:00-7:00,October 22 - November 5 Mon - Sat 10 AM - 7 PM,,
"""Guadalupe County Clerk's Office""",Esther Bone Memorial Library,952 Pinetree Rd. NE,,,Rio Rancho,NM,87124,Sandoval,,Early Voting,10/31/16,11/5/16,10:00:00-07:00,19:00:00-7:00,October 22 - November 5 Mon - Sat 10 AM - 7 PM,,
"""Harding County Courthouse - County Clerk's Office""",Calvary Chapel of Rio Rancho,138 Frontage Rd.,,,Rio Rancho,NM,87124,Sandoval,,Early Voting,10/22/16,10/22/16,10:00:00-07:00,19:00:00-7:00,October 22 - November 5 Mon - Sat 10 AM - 7 PM,,
"""Harding County Courthouse - County Clerk's Office""",Calvary Chapel of Rio Rancho,139 Frontage Rd.,,,Rio Rancho,NM,87124,Sandoval,,Early Voting,10/24/16,10/29/16,10:00:00-07:00,19:00:00-7:00,October 22 - November 5 Mon - Sat 10 AM - 7 PM,,
"""Harding County Courthouse - County Clerk's Office""",Calvary Chapel of Rio Rancho,140 Frontage Rd.,,,Rio Rancho,NM,87124,Sandoval,,Early Voting,10/31/16,11/5/16,10:00:00-07:00,19:00:00-7:00,October 22 - November 5 Mon - Sat 10 AM - 7 PM,,
"""Hidalgo County Courthouse""",Rio Rancho Public Library,755 Loma Colorado Dr NE,,,Rio Rancho,NM,87124,Sandoval,,Early Voting,10/22/16,10/22/16,10:00:00-07:00,19:00:00-7:00,October 22 - November 5 Mon - Sat 10 AM - 7 PM,,
"""Hidalgo County Courthouse""",Rio Rancho Public Library,756 Loma Colorado Dr NE,,,Rio Rancho,NM,87124,Sandoval,,Early Voting,10/24/16,10/29/16,10:00:00-07:00,19:00:00-7:00,October 22 - November 5 Mon - Sat 10 AM - 7 PM,,
"""Hidalgo County Courthouse""",Rio Rancho Public Library,757 Loma Colorado Dr NE,,,Rio Rancho,NM,87124,Sandoval,,Early Voting,10/31/16,11/5/16,10:00:00-07:00,19:00:00-7:00,October 22 - November 5 Mon - Sat 10 AM - 7 PM,,
"""Clerk's Annex""",Sandoval County Administration Building D,1500 Idalia Rd,,,Bernalillo,NM,87144,Sandoval,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 22,10/11/16,10/14/16,08:00:00-07:00,17:00:00-7:00,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Sat 10 AM - 5 PM",,
"""Clerk's Annex""",Sandoval County Administration Building D,1501 Idalia Rd,,,Bernalillo,NM,87144,Sandoval,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 23,10/15/16,10/15/16,10:00:00-07:00,17:00:00-7:00,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Sat 10 AM - 5 PM",,
"""Clerk's Annex""",Sandoval County Administration Building D,1502 Idalia Rd,,,Bernalillo,NM,87144,Sandoval,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 24,10/17/16,10/21/16,08:00:00-07:00,17:00:00-7:00,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Sat 10 AM - 5 PM",,
"""Clerk's Annex""",Sandoval County Administration Building D,1503 Idalia Rd,,,Bernalillo,NM,87144,Sandoval,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 25,10/22/16,10/22/16,10:00:00-07:00,17:00:00-7:00,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Sat 10 AM - 5 PM",,
"""Clerk's Annex""",Sandoval County Administration Building D,1504 Idalia Rd,,,Bernalillo,NM,87144,Sandoval,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 26,10/24/16,10/28/16,08:00:00-07:00,17:00:00-7:00,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Sat 10 AM - 5 PM",,
"""Clerk's Annex""",Sandoval County Administration Building D,1505 Idalia Rd,,,Bernalillo,NM,87144,Sandoval,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 27,10/29/16,10/29/16,10:00:00-07:00,17:00:00-7:00,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Sat 10 AM - 5 PM",,
"""Clerk's Annex""",Sandoval County Administration Building D,1506 Idalia Rd,,,Bernalillo,NM,87144,Sandoval,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 28,10/31/16,11/4/16,08:00:00-07:00,17:00:00-7:00,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Sat 10 AM - 5 PM",,
"""Clerk's Annex""",Sandoval County Administration Building D,1507 Idalia Rd,,,Bernalillo,NM,87144,Sandoval,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 29,11/5/16,11/5/16,10:00:00-07:00,17:00:00-7:00,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Sat 10 AM - 5 PM",,
"""Bayard Community Center""",Meadowlark Senior Center,4330 Meadowlark  CT. SE,,,Rio Rancho,NM,87144,Sandoval,,Early Voting,10/22/16,10/22/16,10:00:00-07:00,19:00:00-7:00,October 22 - November 5 Mon - Sat 10 AM - 7 PM,,
"""Bayard Community Center""",Meadowlark Senior Center,4331 Meadowlark  CT. SE,,,Rio Rancho,NM,87144,Sandoval,,Early Voting,10/24/16,10/29/16,10:00:00-07:00,19:00:00-7:00,October 22 - November 5 Mon - Sat 10 AM - 7 PM,,
"""Bayard Community Center""",Meadowlark Senior Center,4332 Meadowlark  CT. SE,,,Rio Rancho,NM,87144,Sandoval,,Early Voting,10/31/16,11/5/16,10:00:00-07:00,19:00:00-7:00,October 22 - November 5 Mon - Sat 10 AM - 7 PM,,
"""Tijeras City Hall""",McKinley County Clerk's Office,207 W. Hill Ave.,,,Gallup,NM,87301,McKinley,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 22,10/11/16,10/14/16,08:00:00-07:00,17:00:00-7:00,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Sat 10 AM - 6 PM",,
"""Tijeras City Hall""",McKinley County Clerk's Office,208 W. Hill Ave.,,,Gallup,NM,87301,McKinley,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 23,10/15/16,10/15/16,10:00:00-07:00,18:00:00-7:00,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Sat 10 AM - 6 PM",,
"""Tijeras City Hall""",McKinley County Clerk's Office,209 W. Hill Ave.,,,Gallup,NM,87301,McKinley,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 24,10/17/16,10/21/16,08:00:00-07:00,17:00:00-7:00,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Sat 10 AM - 6 PM",,
"""Tijeras City Hall""",McKinley County Clerk's Office,210 W. Hill Ave.,,,Gallup,NM,87301,McKinley,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 25,10/22/16,10/22/16,10:00:00-07:00,18:00:00-7:00,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Sat 10 AM - 6 PM",,
"""Tijeras City Hall""",McKinley County Clerk's Office,211 W. Hill Ave.,,,Gallup,NM,87301,McKinley,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 26,10/24/16,10/28/16,08:00:00-07:00,17:00:00-7:00,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Sat 10 AM - 6 PM",,
"""Tijeras City Hall""",McKinley County Clerk's Office,212 W. Hill Ave.,,,Gallup,NM,87301,McKinley,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 27,10/29/16,10/29/16,10:00:00-07:00,18:00:00-7:00,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Sat 10 AM - 6 PM",,
"""Tijeras City Hall""",McKinley County Clerk's Office,213 W. Hill Ave.,,,Gallup,NM,87301,McKinley,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 28,10/31/16,11/4/16,08:00:00-07:00,17:00:00-7:00,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Sat 10 AM - 6 PM",,
"""Tijeras City Hall""",McKinley County Clerk's Office,214 W. Hill Ave.,,,Gallup,NM,87301,McKinley,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 29,11/5/16,11/5/16,10:00:00-07:00,18:00:00-7:00,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Sat 10 AM - 6 PM",,
"""Sandia Pueblo Aquatic Center""",Ramah Training Center,BIA Route 125,,,"Mt View Community, Ramah",NM,87321,Cibola,,Early Voting,10/22/16,10/22/16,08:00:00-07:00,16:00:00-7:00,October 22 - November 5 Tue - Sat 8 AM - 4 PM,,
"""Sandia Pueblo Aquatic Center""",Ramah Training Center,BIA Route 126,,,"Mt View Community, Ramah",NM,87321,Cibola,,Early Voting,10/25/16,10/29/16,08:00:00-07:00,16:00:00-7:00,October 22 - November 5 Tue - Sat 8 AM - 4 PM,,
"""Sandia Pueblo Aquatic Center""",Ramah Training Center,BIA Route 127,,,"Mt View Community, Ramah",NM,87321,Cibola,,Early Voting,11/1/16,11/5/16,08:00:00-07:00,16:00:00-7:00,October 22 - November 5 Tue - Sat 8 AM - 4 PM,,
"""Gateway Museum""",Zuni Tribal Building,1203 State Hwy 53,,,Zuni,NM,87327,McKinley,,Early Voting,10/22/16,10/22/16,09:00:00-07:00,17:00:00-7:00,"October 22 - November 5 Tue - Fri 12 PM - 8 PM, Sat 9 AM - 5 PM",,
"""Gateway Museum""",Zuni Tribal Building,1204 State Hwy 53,,,Zuni,NM,87327,McKinley,,Early Voting,10/25/16,10/28/16,12:00:00-07:00,20:00:00-7:00,"October 22 - November 5 Tue - Fri 12 PM - 8 PM, Sat 9 AM - 5 PM",,
"""Gateway Museum""",Zuni Tribal Building,1205 State Hwy 53,,,Zuni,NM,87327,McKinley,,Early Voting,10/29/16,10/29/16,09:00:00-07:00,17:00:00-7:00,"October 22 - November 5 Tue - Fri 12 PM - 8 PM, Sat 9 AM - 5 PM",,
"""Gateway Museum""",Zuni Tribal Building,1206 State Hwy 53,,,Zuni,NM,87327,McKinley,,Early Voting,11/1/16,11/4/16,12:00:00-07:00,20:00:00-7:00,"October 22 - November 5 Tue - Fri 12 PM - 8 PM, Sat 9 AM - 5 PM",,
"""Gateway Museum""",Zuni Tribal Building,1207 State Hwy 53,,,Zuni,NM,87327,McKinley,,Early Voting,11/5/16,11/5/16,09:00:00-07:00,17:00:00-7:00,"October 22 - November 5 Tue - Fri 12 PM - 8 PM, Sat 9 AM - 5 PM",,
"""Health Commons""",Twin Lakes Chapter House,Mile Marker 13 N Hwy 491,,,Twin Lakes,NM,87375,McKinley,,Early Voting,10/22/16,10/22/16,10:00:00-07:00,18:00:00-7:00,"October 22 - November 5 Tue - Fri 12 PM - 8 PM, Sat 10 AM - 6 PM",,
"""Health Commons""",Twin Lakes Chapter House,Mile Marker 13 N Hwy 492,,,Twin Lakes,NM,87375,McKinley,,Early Voting,10/25/16,10/28/16,12:00:00-07:00,20:00:00-7:00,"October 22 - November 5 Tue - Fri 12 PM - 8 PM, Sat 10 AM - 6 PM",,
"""Health Commons""",Twin Lakes Chapter House,Mile Marker 13 N Hwy 493,,,Twin Lakes,NM,87375,McKinley,,Early Voting,10/29/16,10/29/16,10:00:00-07:00,18:00:00-7:00,"October 22 - November 5 Tue - Fri 12 PM - 8 PM, Sat 10 AM - 6 PM",,
"""Health Commons""",Twin Lakes Chapter House,Mile Marker 13 N Hwy 494,,,Twin Lakes,NM,87375,McKinley,,Early Voting,11/1/16,11/4/16,12:00:00-07:00,20:00:00-7:00,"October 22 - November 5 Tue - Fri 12 PM - 8 PM, Sat 10 AM - 6 PM",,
"""Health Commons""",Twin Lakes Chapter House,Mile Marker 13 N Hwy 495,,,Twin Lakes,NM,87375,McKinley,,Early Voting,11/5/16,11/5/16,10:00:00-07:00,18:00:00-7:00,"October 22 - November 5 Tue - Fri 12 PM - 8 PM, Sat 10 AM - 6 PM",,
"""De Baca County Clerk""",Gateway Museum,3044 E. Main St.,,,Farmington,NM,87402,San Juan,,Early Voting,10/22/16,10/22/16,10:00:00-07:00,18:00:00-7:00,"October 22 - November 5 Mon - Fri 11 AM - 7 PM, Sat 10 AM - 6 PM",,
"""De Baca County Clerk""",Gateway Museum,3045 E. Main St.,,,Farmington,NM,87402,San Juan,,Early Voting,10/24/16,10/28/16,11:00:00-07:00,19:00:00-7:00,"October 22 - November 5 Mon - Fri 11 AM - 7 PM, Sat 10 AM - 6 PM",,
"""De Baca County Clerk""",Gateway Museum,3046 E. Main St.,,,Farmington,NM,87402,San Juan,,Early Voting,10/29/16,10/29/16,10:00:00-07:00,18:00:00-7:00,"October 22 - November 5 Mon - Fri 11 AM - 7 PM, Sat 10 AM - 6 PM",,
"""De Baca County Clerk""",Gateway Museum,3047 E. Main St.,,,Farmington,NM,87402,San Juan,,Early Voting,10/31/16,11/4/16,11:00:00-07:00,19:00:00-7:00,"October 22 - November 5 Mon - Fri 11 AM - 7 PM, Sat 10 AM - 6 PM",,
"""De Baca County Clerk""",Gateway Museum,3048 E. Main St.,,,Farmington,NM,87402,San Juan,,Early Voting,11/5/16,11/5/16,10:00:00-07:00,18:00:00-7:00,"October 22 - November 5 Mon - Fri 11 AM - 7 PM, Sat 10 AM - 6 PM",,
"""Ramah Training Center""",San Juan County Clerk's Office,"100 South Oliver Drive, Suite 200",,,Aztec,NM,87410,San Juan,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 22,10/11/16,10/14/16,07:00:00-07:00,17:30:00-7:00,"October 11 - October 14 7 AM - 5:30 PM; October 17 - November 5 Mon - Fri 7 AM - 7 PM, Sat 10 AM - 6 PM",,
"""Ramah Training Center""",San Juan County Clerk's Office,"101 South Oliver Drive, Suite 200",,,Aztec,NM,87410,San Juan,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 23,10/17/16,10/21/16,07:00:00-07:00,19:00:00-7:00,"October 11 - October 14 7 AM - 5:30 PM; October 17 - November 5 Mon - Fri 7 AM - 7 PM, Sat 10 AM - 6 PM",,
"""Ramah Training Center""",San Juan County Clerk's Office,"102 South Oliver Drive, Suite 200",,,Aztec,NM,87410,San Juan,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 24,10/22/16,10/22/16,10:00:00-07:00,18:00:00-7:00,"October 11 - October 14 7 AM - 5:30 PM; October 17 - November 5 Mon - Fri 7 AM - 7 PM, Sat 10 AM - 6 PM",,
"""Ramah Training Center""",San Juan County Clerk's Office,"103 South Oliver Drive, Suite 200",,,Aztec,NM,87410,San Juan,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 25,10/24/16,10/28/16,07:00:00-07:00,19:00:00-7:00,"October 11 - October 14 7 AM - 5:30 PM; October 17 - November 5 Mon - Fri 7 AM - 7 PM, Sat 10 AM - 6 PM",,
"""Ramah Training Center""",San Juan County Clerk's Office,"104 South Oliver Drive, Suite 200",,,Aztec,NM,87410,San Juan,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 26,10/29/16,10/29/16,10:00:00-07:00,18:00:00-7:00,"October 11 - October 14 7 AM - 5:30 PM; October 17 - November 5 Mon - Fri 7 AM - 7 PM, Sat 10 AM - 6 PM",,
"""Ramah Training Center""",San Juan County Clerk's Office,"105 South Oliver Drive, Suite 200",,,Aztec,NM,87410,San Juan,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 27,10/31/16,11/4/16,07:00:00-07:00,19:00:00-7:00,"October 11 - October 14 7 AM - 5:30 PM; October 17 - November 5 Mon - Fri 7 AM - 7 PM, Sat 10 AM - 6 PM",,
"""Ramah Training Center""",San Juan County Clerk's Office,"106 South Oliver Drive, Suite 200",,,Aztec,NM,87410,San Juan,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 28,11/5/16,11/5/16,10:00:00-07:00,18:00:00-7:00,"October 11 - October 14 7 AM - 5:30 PM; October 17 - November 5 Mon - Fri 7 AM - 7 PM, Sat 10 AM - 6 PM",,
"""North Plains Mall""",Bloomfield Cultural Center,336 S. First St.,,,Bloomfield,NM,87413,San Juan,,Early Voting,10/22/16,10/22/16,10:00:00-07:00,18:00:00-7:00,"October 22 - November 5 Mon - Fri 11 AM - 6 PM, Sat 10 AM - 6 PM",,
"""North Plains Mall""",Bloomfield Cultural Center,337 S. First St.,,,Bloomfield,NM,87413,San Juan,,Early Voting,10/24/16,10/28/16,11:00:00-07:00,18:00:00-7:00,"October 22 - November 5 Mon - Fri 11 AM - 6 PM, Sat 10 AM - 6 PM",,
"""North Plains Mall""",Bloomfield Cultural Center,338 S. First St.,,,Bloomfield,NM,87413,San Juan,,Early Voting,10/29/16,10/29/16,10:00:00-07:00,18:00:00-7:00,"October 22 - November 5 Mon - Fri 11 AM - 6 PM, Sat 10 AM - 6 PM",,
"""North Plains Mall""",Bloomfield Cultural Center,339 S. First St.,,,Bloomfield,NM,87413,San Juan,,Early Voting,10/31/16,11/4/16,11:00:00-07:00,18:00:00-7:00,"October 22 - November 5 Mon - Fri 11 AM - 6 PM, Sat 10 AM - 6 PM",,
"""North Plains Mall""",Bloomfield Cultural Center,340 S. First St.,,,Bloomfield,NM,87413,San Juan,,Early Voting,11/5/16,11/5/16,10:00:00-07:00,18:00:00-7:00,"October 22 - November 5 Mon - Fri 11 AM - 6 PM, Sat 10 AM - 6 PM",,
"""Dona Ana Community College Chaparral Learning Center""",Shiprock Fire Station,Behind Wells Fargo Bank,,,Shiprock,NM,87420,San Juan,,Early Voting,10/22/16,10/22/16,10:00:00-07:00,18:00:00-7:00,"October 22 - November 5 Mon - Fri 11 AM - 7 PM, Sat 10 AM - 6 PM",,
"""Dona Ana Community College Chaparral Learning Center""",Shiprock Fire Station,Behind Wells Fargo Bank,,,Shiprock,NM,87420,San Juan,,Early Voting,10/24/16,10/28/16,11:00:00-07:00,19:00:00-7:00,"October 22 - November 5 Mon - Fri 11 AM - 7 PM, Sat 10 AM - 6 PM",,
"""Dona Ana Community College Chaparral Learning Center""",Shiprock Fire Station,Behind Wells Fargo Bank,,,Shiprock,NM,87420,San Juan,,Early Voting,10/29/16,10/29/16,10:00:00-07:00,18:00:00-7:00,"October 22 - November 5 Mon - Fri 11 AM - 7 PM, Sat 10 AM - 6 PM",,
"""Dona Ana Community College Chaparral Learning Center""",Shiprock Fire Station,Behind Wells Fargo Bank,,,Shiprock,NM,87420,San Juan,,Early Voting,10/31/16,11/4/16,11:00:00-07:00,19:00:00-7:00,"October 22 - November 5 Mon - Fri 11 AM - 7 PM, Sat 10 AM - 6 PM",,
"""Dona Ana Community College Chaparral Learning Center""",Shiprock Fire Station,Behind Wells Fargo Bank,,,Shiprock,NM,87420,San Juan,,Early Voting,11/5/16,11/5/16,10:00:00-07:00,18:00:00-7:00,"October 22 - November 5 Mon - Fri 11 AM - 7 PM, Sat 10 AM - 6 PM",,
"""Anthony Elementary School""",Newcomb Fire Station,NM # 56.5 U.S. Highway 494,,,Newcomb,NM,87455,San Juan,,Early Voting,10/22/16,10/22/16,10:00:00-07:00,18:00:00-7:00,"October 22 - November 5 Mon - Fri 11 AM - 7 PM, Sat 10 AM - 6 PM",,
"""Anthony Elementary School""",Newcomb Fire Station,NM # 56.5 U.S. Highway 495,,,Newcomb,NM,87455,San Juan,,Early Voting,10/24/16,10/28/16,11:00:00-07:00,19:00:00-7:00,"October 22 - November 5 Mon - Fri 11 AM - 7 PM, Sat 10 AM - 6 PM",,
"""Anthony Elementary School""",Newcomb Fire Station,NM # 56.5 U.S. Highway 496,,,Newcomb,NM,87455,San Juan,,Early Voting,10/29/16,10/29/16,10:00:00-07:00,18:00:00-7:00,"October 22 - November 5 Mon - Fri 11 AM - 7 PM, Sat 10 AM - 6 PM",,
