office-name,ocd_division,directions,precinct_name,loc_name,street,city,state,zip_code,start_time,end_time,notes,index,name,address_line,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Kiwanis Recreation Center,3933 Timon Blvd.,Corpus Christi,TX,78402,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,43,Kiwanis Recreation Center,"3933 Timon Blvd., Corpus Christi, TX, 78402",07:00 AM-07:00 PM,,ho94083129,false,false,,,,poll6091507
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Kolda Elementary,3730 Rodd Field,Corpus Christi,TX,78414,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,44,Kolda Elementary,"3730 Rodd Field, Corpus Christi, TX, 78414",07:00 AM-07:00 PM,,ho52053644,false,false,,,,poll62089601
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Korean Presbyterian Church,4326 McArdle Rd.,Corpus Christi,TX,78411,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,45,Korean Presbyterian Church,"4326 McArdle Rd., Corpus Christi, TX, 78411",07:00 AM-07:00 PM,,ho5552642,false,false,,,,poll35078173
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Kostoryz Elementary,3602 Panama Dr.,Corpus Christi,TX,78415,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,46,Kostoryz Elementary,"3602 Panama Dr., Corpus Christi, TX, 78415",07:00 AM-07:00 PM,,ho48410200,false,false,,,,poll12652528
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,La Retama Central Library,805 Comanche St.,Corpus Christi,TX,78401,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,47,La Retama Central Library,"805 Comanche St., Corpus Christi, TX, 78401",07:00 AM-07:00 PM,,ho16196667,false,false,,,,poll53695459
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Lindale Senior Center,3135 Swantner Dr.,Corpus Christi,TX,78404,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,48,Lindale Senior Center,"3135 Swantner Dr., Corpus Christi, TX, 78404",07:00 AM-07:00 PM,,ho87853423,false,false,,,,poll76251756
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,London ISD Middle/High School,1306 FM 43,Corpus Christi,TX,78415,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,49,London Isd Middle/High School,"1306 FM 43, Corpus Christi, TX, 78415",07:00 AM-07:00 PM,,ho93685590,false,false,,,,poll69329884
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Lotspeich Elementary,1000 Ruben Chavez Rd.,ROBSTOWN,TX,78380,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,50,Lotspeich Elementary,"1000 Ruben Chavez Rd., ROBSTOWN, TX, 78380",07:00 AM-07:00 PM,,ho70655674,false,false,,,,poll93762617
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,LULAC West Apartments,10702 IH 37,Corpus Christi,TX,78410,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,52,Lulac West Apartments,"10702 IH 37, Corpus Christi, TX, 78410",07:00 AM-07:00 PM,,ho5318403,false,false,,,,poll63284776
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Luther Jones Elementary,7533 Lipes Blvd.,Corpus Christi,TX,78413,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,53,Luther Jones Elementary,"7533 Lipes Blvd., Corpus Christi, TX, 78413",07:00 AM-07:00 PM,,ho36028277,false,false,,,,poll20616082
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Magee Elementary-Star Annex,4201 Calallen Dr.,Corpus Christi,TX,78410,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,54,Magee Elementary-Star Annex,"4201 Calallen Dr., Corpus Christi, TX, 78410",07:00 AM-07:00 PM,,ho40675561,false,false,,,,poll49353306
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Menger Elementary,2401 S. Alameda St.,Corpus Christi,TX,78404,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,55,Menger Elementary,"2401 S. Alameda St., Corpus Christi, TX, 78404",07:00 AM-07:00 PM,,ho7755169,false,false,,,,poll88375549
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Metro E Elementary,1707 Ayers St.,Corpus Christi,TX,78404,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,56,Metro E Elementary,"1707 Ayers St., Corpus Christi, TX, 78404",07:00 AM-07:00 PM,,ho81934110,false,false,,,,poll71507929
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,MG Building Materials,7406 S. Padre Island Dr.,Corpus Christi,TX,78412,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,57,Mg Building Materials,"7406 S. Padre Island Dr., Corpus Christi, TX, 78412",07:00 AM-07:00 PM,,ho82617476,false,false,,,,poll47418797
