ocd_division,homepage,county,loc_name,address_one,address_two,dirs,city,state,zip,start_time,end_time,start_date,end_date,appt_1,appt_2,appt_3,subject_to_change,notes,index,name,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
ocd-division/country:us/state:il/county:alexander,,Alexander County,Alexander County Clerk,2000 Washington Avenue,,,Cairo,IL,62914,13:00:00 - 05:00,16:00:00 - 05:00,10/31/16,11/4/16,False,False,False,,,21,Alexander County Clerk,"2000 Washington Avenue, Cairo, IL, 62914",,01:00 PM - 04:00 PM,,ho15230827,false,true,,,,poll455473
ocd-division/country:us/state:il/county:alexander,,Alexander County,Alexander County Clerk,2000 Washington Avenue,,,Cairo,IL,62914,08:00:00 - 05:00,12:00:00 - 05:00,11/5/16,11/5/16,False,False,False,,,22,Alexander County Clerk,"2000 Washington Avenue, Cairo, IL, 62914",,08:00 AM - 12:00 PM,,ho15230827,false,true,,,,poll455473
ocd-division/country:us/state:il/county:alexander,,Alexander County,Alexander County Clerk,2000 Washington Avenue,,,Cairo,IL,62914,08:00:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,False,False,False,,,23,Alexander County Clerk,"2000 Washington Avenue, Cairo, IL, 62914",,08:00 AM - 12:00 PM,,ho15230827,false,true,,,,poll455473
ocd-division/country:us/state:il/county:alexander,,Alexander County,Alexander County Clerk,2000 Washington Avenue,,,Cairo,IL,62914,13:00:00 - 06:00,16:00:00 - 06:00,11/7/16,11/7/16,False,False,False,,,24,Alexander County Clerk,"2000 Washington Avenue, Cairo, IL, 62914",,01:00 PM - 04:00 PM,,ho15230827,false,true,,,,poll455473
ocd-division/country:us/state:il/county:bond,,Bond County,Bond County Clerk County Office,203 West College,,,Greenville,IL,62246,08:00:00 - 05:00,16:00:00 - 05:00,9/29/16,9/30/16,False,False,False,,,25,Bond County Clerk County Office,"203 West College, Greenville, IL, 62246",,08:00 AM - 04:00 PM,,ho97026573,false,true,,,,poll30368027
ocd-division/country:us/state:il/county:bond,,Bond County,Bond County Clerk County Office,203 West College,,,Greenville,IL,62246,08:00:00 - 05:00,16:00:00 - 05:00,10/3/16,10/7/16,False,False,False,,,26,Bond County Clerk County Office,"203 West College, Greenville, IL, 62246",,08:00 AM - 04:00 PM,,ho97026573,false,true,,,,poll30368027
ocd-division/country:us/state:il/county:bond,,Bond County,Bond County Clerk County Office,203 West College,,,Greenville,IL,62246,08:00:00 - 05:00,16:00:00 - 05:00,10/11/16,10/14/16,False,False,False,,,27,Bond County Clerk County Office,"203 West College, Greenville, IL, 62246",,08:00 AM - 04:00 PM,,ho97026573,false,true,,,,poll30368027
ocd-division/country:us/state:il/county:bond,,Bond County,Bond County Clerk County Office,203 West College,,,Greenville,IL,62246,08:00:00 - 05:00,16:00:00 - 05:00,10/17/16,10/21/16,False,False,False,,,28,Bond County Clerk County Office,"203 West College, Greenville, IL, 62246",,08:00 AM - 04:00 PM,,ho97026573,false,true,,,,poll30368027
ocd-division/country:us/state:il/county:bond,,Bond County,Bond County Clerk County Office,203 West College,,,Greenville,IL,62246,08:00:00 - 05:00,16:00:00 - 05:00,10/24/16,10/28/16,False,False,False,,,29,Bond County Clerk County Office,"203 West College, Greenville, IL, 62246",,08:00 AM - 04:00 PM,,ho97026573,false,true,,,,poll30368027
ocd-division/country:us/state:il/county:bond,,Bond County,Bond County Clerk County Office,203 West College,,,Greenville,IL,62246,08:00:00 - 05:00,16:00:00 - 05:00,10/31/16,11/4/16,False,False,False,,,30,Bond County Clerk County Office,"203 West College, Greenville, IL, 62246",,08:00 AM - 04:00 PM,,ho97026573,false,true,,,,poll30368027
ocd-division/country:us/state:il/county:bond,,Bond County,Bond County Clerk County Office,203 West College,,,Greenville,IL,62246,08:00:00 - 05:00,12:00:00 - 05:00,11/5/16,11/5/16,False,False,False,,,31,Bond County Clerk County Office,"203 West College, Greenville, IL, 62246",,08:00 AM - 12:00 PM,,ho97026573,false,true,,,,poll30368027
ocd-division/country:us/state:il/county:bond,,Bond County,Bond County Clerk County Office,203 West College,,,Greenville,IL,62246,08:00:00 - 06:00,16:00:00 - 06:00,11/7/16,11/7/16,False,False,False,,,32,Bond County Clerk County Office,"203 West College, Greenville, IL, 62246",,08:00 AM - 04:00 PM,,ho97026573,false,true,,,,poll30368027
ocd-division/country:us/state:il/county:boone,http://www.boonecountyil.org/content/voter-and-election-information,Boone County,Boone County Clerk Office,"1212 Logan Avenue, Ste 103", ,,Belvidere,IL,61008,08:30:00 - 05:00,17:00:00 - 05:00,9/29/16,9/30/16,False,False,False,,,33,Boone County Clerk Office,"1212 Logan Avenue, Ste 103, Belvidere, IL, 61008",,08:30 AM - 05:00 PM,,ho71785435,false,true,,,,poll38707059
ocd-division/country:us/state:il/county:boone,http://www.boonecountyil.org/content/voter-and-election-information,Boone County,Boone County Clerk Office,"1212 Logan Avenue, Ste 103", ,,Belvidere,IL,61008,08:30:00 - 05:00,17:00:00 - 05:00,10/3/16,10/7/16,False,False,False,,,34,Boone County Clerk Office,"1212 Logan Avenue, Ste 103, Belvidere, IL, 61008",,08:30 AM - 05:00 PM,,ho71785435,false,true,,,,poll38707059
ocd-division/country:us/state:il/county:boone,http://www.boonecountyil.org/content/voter-and-election-information,Boone County,Boone County Clerk Office,"1212 Logan Avenue, Ste 103", ,,Belvidere,IL,61008,08:30:00 - 05:00,17:00:00 - 05:00,10/10/16,10/14/16,False,False,False,,,35,Boone County Clerk Office,"1212 Logan Avenue, Ste 103, Belvidere, IL, 61008",,08:30 AM - 05:00 PM,,ho71785435,false,true,,,,poll38707059
ocd-division/country:us/state:il/county:boone,http://www.boonecountyil.org/content/voter-and-election-information,Boone County,Boone County Clerk Office,"1212 Logan Avenue, Ste 103", ,,Belvidere,IL,61008,08:30:00 - 05:00,17:00:00 - 05:00,10/17/16,10/21/16,False,False,False,,,36,Boone County Clerk Office,"1212 Logan Avenue, Ste 103, Belvidere, IL, 61008",,08:30 AM - 05:00 PM,,ho71785435,false,true,,,,poll38707059
ocd-division/country:us/state:il/county:boone,http://www.boonecountyil.org/content/voter-and-election-information,Boone County,Boone County Clerk Office,"1212 Logan Avenue, Ste 103", ,,Belvidere,IL,61008,08:30:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16,False,False,False,,,37,Boone County Clerk Office,"1212 Logan Avenue, Ste 103, Belvidere, IL, 61008",,08:30 AM - 05:00 PM,,ho71785435,false,true,,,,poll38707059
ocd-division/country:us/state:il/county:boone,http://www.boonecountyil.org/content/voter-and-election-information,Boone County,Boone County Clerk Office,"1212 Logan Avenue, Ste 103", ,,Belvidere,IL,61008,08:30:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16,False,False,False,,,38,Boone County Clerk Office,"1212 Logan Avenue, Ste 103, Belvidere, IL, 61008",,08:30 AM - 05:00 PM,,ho71785435,false,true,,,,poll38707059
ocd-division/country:us/state:il/county:boone,http://www.boonecountyil.org/content/voter-and-election-information,Boone County,Boone County Clerk Office,"1212 Logan Avenue, Ste 103", ,,Belvidere,IL,61008,09:00:00 - 05:00,12:00:00 - 05:00,11/5/16,11/5/16,False,False,False,,,39,Boone County Clerk Office,"1212 Logan Avenue, Ste 103, Belvidere, IL, 61008",,09:00 AM - 12:00 PM,,ho71785435,false,true,,,,poll38707059
ocd-division/country:us/state:il/county:boone,http://www.boonecountyil.org/content/voter-and-election-information,Boone County,Boone County Clerk Office,"1212 Logan Avenue, Ste 103", ,,Belvidere,IL,61008,08:30:00 - 06:00,17:00:00 - 06:00,11/7/16,11/7/16,False,False,False,,,40,Boone County Clerk Office,"1212 Logan Avenue, Ste 103, Belvidere, IL, 61008",,08:30 AM - 05:00 PM,,ho71785435,false,true,,,,poll38707059
ocd-division/country:us/state:il/county:brown,,Brown County,Brown County Court House,200 Court Street,Room 4,,Mt. Sterling,IL,62353,08:30:00 - 05:00,16:30:00 - 05:00,9/29/16,9/30/16,False,False,False,,,41,Brown County Court House,"200 Court Street, Mt. Sterling, IL, 62353",Room 4,08:30 AM - 04:30 PM,,ho21216438,false,true,,,,poll56487458
ocd-division/country:us/state:il/county:brown,,Brown County,Brown County Court House,200 Court Street,Room 4,,Mt. Sterling,IL,62353,08:30:00 - 05:00,16:30:00 - 05:00,10/3/16,10/7/16,False,False,False,,,42,Brown County Court House,"200 Court Street, Mt. Sterling, IL, 62353",Room 4,08:30 AM - 04:30 PM,,ho21216438,false,true,,,,poll56487458
ocd-division/country:us/state:il/county:brown,,Brown County,Brown County Court House,200 Court Street,Room 4,,Mt. Sterling,IL,62353,08:30:00 - 05:00,16:30:00 - 05:00,10/11/16,10/14/16,False,False,False,,,43,Brown County Court House,"200 Court Street, Mt. Sterling, IL, 62353",Room 4,08:30 AM - 04:30 PM,,ho21216438,false,true,,,,poll56487458
ocd-division/country:us/state:il/county:brown,,Brown County,Brown County Court House,200 Court Street,Room 4,,Mt. Sterling,IL,62353,08:30:00 - 05:00,16:30:00 - 05:00,10/17/16,10/21/16,False,False,False,,,44,Brown County Court House,"200 Court Street, Mt. Sterling, IL, 62353",Room 4,08:30 AM - 04:30 PM,,ho21216438,false,true,,,,poll56487458
ocd-division/country:us/state:il/county:brown,,Brown County,Brown County Court House,200 Court Street,Room 4,,Mt. Sterling,IL,62353,08:30:00 - 05:00,16:30:00 - 05:00,10/24/16,10/28/16,False,False,False,,,45,Brown County Court House,"200 Court Street, Mt. Sterling, IL, 62353",Room 4,08:30 AM - 04:30 PM,,ho21216438,false,true,,,,poll56487458
ocd-division/country:us/state:il/county:brown,,Brown County,Brown County Court House,200 Court Street,Room 4,,Mt. Sterling,IL,62353,08:30:00 - 05:00,16:30:00 - 05:00,10/31/16,11/4/16,False,False,False,,,46,Brown County Court House,"200 Court Street, Mt. Sterling, IL, 62353",Room 4,08:30 AM - 04:30 PM,,ho21216438,false,true,,,,poll56487458
ocd-division/country:us/state:il/county:brown,,Brown County,Brown County Court House,200 Court Street,Room 4,,Mt. Sterling,IL,62353,08:30:00 - 06:00,16:30:00 - 06:00,11/7/16,11/7/16,False,False,False,,,47,Brown County Court House,"200 Court Street, Mt. Sterling, IL, 62353",Room 4,08:30 AM - 04:30 PM,,ho21216438,false,true,,,,poll56487458
ocd-division/country:us/state:il/county:bureau,http://www.bureaucountyclerk.com/,Bureau County,Clerk Office in Bureau County Court House,700 South Main Street,Room 104,,Princeton,IL,61356,08:00:00 - 05:00,16:00:00 - 05:00,9/29/16,9/30/16,False,False,False,,,48,Clerk Office in Bureau County Court House,"700 South Main Street, Princeton, IL, 61356",Room 104,08:00 AM - 04:00 PM,,ho10351172,false,true,,,,poll60506096
ocd-division/country:us/state:il/county:bureau,http://www.bureaucountyclerk.com/,Bureau County,Clerk Office in Bureau County Court House,700 South Main Street,Room 104,,Princeton,IL,61356,08:00:00 - 05:00,16:00:00 - 05:00,10/3/16,10/7/16,False,False,False,,,49,Clerk Office in Bureau County Court House,"700 South Main Street, Princeton, IL, 61356",Room 104,08:00 AM - 04:00 PM,,ho10351172,false,true,,,,poll60506096
ocd-division/country:us/state:il/county:bureau,http://www.bureaucountyclerk.com/,Bureau County,Clerk Office in Bureau County Court House,700 South Main Street,Room 104,,Princeton,IL,61356,08:00:00 - 05:00,16:00:00 - 05:00,10/11/16,10/14/16,False,False,False,,,50,Clerk Office in Bureau County Court House,"700 South Main Street, Princeton, IL, 61356",Room 104,08:00 AM - 04:00 PM,,ho10351172,false,true,,,,poll60506096
ocd-division/country:us/state:il/county:bureau,http://www.bureaucountyclerk.com/,Bureau County,Clerk Office in Bureau County Court House,700 South Main Street,Room 104,,Princeton,IL,61356,08:00:00 - 05:00,16:00:00 - 05:00,10/17/16,10/21/16,False,False,False,,,51,Clerk Office in Bureau County Court House,"700 South Main Street, Princeton, IL, 61356",Room 104,08:00 AM - 04:00 PM,,ho10351172,false,true,,,,poll60506096
ocd-division/country:us/state:il/county:bureau,http://www.bureaucountyclerk.com/,Bureau County,Clerk Office in Bureau County Court House,700 South Main Street,Room 104,,Princeton,IL,61356,08:00:00 - 05:00,16:00:00 - 05:00,10/24/16,10/28/16,False,False,False,,,52,Clerk Office in Bureau County Court House,"700 South Main Street, Princeton, IL, 61356",Room 104,08:00 AM - 04:00 PM,,ho10351172,false,true,,,,poll60506096
ocd-division/country:us/state:il/county:bureau,http://www.bureaucountyclerk.com/,Bureau County,Clerk Office in Bureau County Court House,700 South Main Street,Room 104,,Princeton,IL,61356,08:00:00 - 05:00,14:00:00 - 05:00,10/29/16,10/29/16,False,False,False,,,53,Clerk Office in Bureau County Court House,"700 South Main Street, Princeton, IL, 61356",Room 104,08:00 AM - 02:00 PM,,ho10351172,false,true,,,,poll60506096
ocd-division/country:us/state:il/county:bureau,http://www.bureaucountyclerk.com/,Bureau County,Clerk Office in Bureau County Court House,700 South Main Street,Room 104,,Princeton,IL,61356,08:00:00 - 05:00,16:00:00 - 05:00,10/31/16,11/4/16,False,False,False,,,54,Clerk Office in Bureau County Court House,"700 South Main Street, Princeton, IL, 61356",Room 104,08:00 AM - 04:00 PM,,ho10351172,false,true,,,,poll60506096
ocd-division/country:us/state:il/county:bureau,http://www.bureaucountyclerk.com/,Bureau County,Clerk Office in Bureau County Court House,700 South Main Street,Room 104,,Princeton,IL,61356,08:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16,False,False,False,,,55,Clerk Office in Bureau County Court House,"700 South Main Street, Princeton, IL, 61356",Room 104,08:00 AM - 02:00 PM,,ho10351172,false,true,,,,poll60506096
ocd-division/country:us/state:il/county:bureau,http://www.bureaucountyclerk.com/,Bureau County,Clerk Office in Bureau County Court House,700 South Main Street,Room 104,,Princeton,IL,61356,08:00:00 - 06:00,16:00:00 - 06:00,11/7/16,11/7/16,False,False,False,,,56,Clerk Office in Bureau County Court House,"700 South Main Street, Princeton, IL, 61356",Room 104,08:00 AM - 04:00 PM,,ho10351172,false,true,,,,poll60506096
