office-name,ocd-division,directions,precinct name,name,street,City,state,zip,start time,end time
Nueces County,ocd-division/country:us/state:tx/county:nueces,,48,Lindale Senior Center,3135 Swantner Dr.,Corpus Christi,TX,78404,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,49,London ISD Middle/High School,1306 FM 43,Corpus Christi,TX,78415,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,50,Lotspeich Elementary,1000 Ruben Chavez Rd.,ROBSTOWN,TX,78380,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,51,Lotspeich Elementary,1000 Ruben Chavez Rd.,ROBSTOWN,TX,78380,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,52,LULAC West Apartments,10702 IH 37,Corpus Christi,TX,78410,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,53,Luther Jones Elementary,7533 Lipes Blvd.,Corpus Christi,TX,78413,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,54,Magee Elementary-Star Annex,4201 Calallen Dr.,Corpus Christi,TX,78410,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,55,Menger Elementary,2401 S. Alameda St.,Corpus Christi,TX,78404,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,56,Metro E Elementary,1707 Ayers St.,Corpus Christi,TX,78404,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,57,MG Building Materials,7406 S. Padre Island Dr.,Corpus Christi,TX,78412,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,58,Mireles Elementary,7658 Cimarron Blvd.,Corpus Christi,TX,78414,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,59,Montclair Elementary,5241 Kentner St.,Corpus Christi,TX,78412,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,60,Moody High School,1818 Trojan Dr.,Corpus Christi,TX,78416,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,61,Nueces County ESD #4,5781 FM 666,ROBSTOWN,TX,78380,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,62,Oak Park Recreation Center,842 Erwin Ave.,Corpus Christi,TX,78408,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,63,Our Lady of Mnt. Carmel Mission,1080 S Clarkwood Rd., Corpus Christi,TX,78406,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,64,Oveal Williams Senior Center,1414 Martin Luther King Dr., Corpus Christi,TX,78401,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,65,Parkway Presbyterian Church,3707 Santa Fe,Corpus Christi,TX,78411,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,66,Peerless Cleaners,2806 Santa Fe,Corpus Christi,TX,78404,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,67,Petronila Elementary,2391 Cnty Rd. 67,ROBSTOWN,TX,78380,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,68,Port Aransas Community Center,408 North Alister,PORT ARANSAS,TX,78373,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,69,River Hills Baptist Church,16318 FM 624,ROBSTOWN,TX,78380,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,70,Robert Driscoll Elementary,122 W. Ave. H,ROBSTOWN,TX,78380,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,71,Ronnie H. Polston County Bldg.,10110 Compton Rd., Corpus Christi,TX,78418,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,72,Rose Shaw Elementary,2920 Soledad St., Corpus Christi,TX,78405,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,73,Saint John's Baptist Church,5445 Greenwood Dr., Corpus Christi,TX,78417,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,74,San Pedro Elementary,800 W. Ave. D,ROBSTOWN,TX,78380,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,75,Schanen Estates Elementary,5717 Killarmet Dr., Corpus Christi,TX,78413,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,76,Schlitterbahn,14353 Commodores Dr., Corpus Christi,TX,78418,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,77,Scott Vetters Scout Hut,3221 McKinzie Rd., Corpus Christi,TX,78410,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,78,Smith Elementary,6902 Williams Dr., Corpus Christi,TX,78412,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,79,South Park Middle School,3001 McArdle St., Corpus Christi,TX,78415,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,80,St. Anthony Violet Catholic Church,3918 Cnty. Rd. 61,ROBSTOWN,TX,78380,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,81,T.G. Allen Elementary,1414 18th. St., Corpus Christi,TX,78404,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,82,The People's Baptist Church,1355 FM 665, Corpus Christi,TX,78415,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,83,Tom Browne Middle School,4301 Schanen Blvd., Corpus Christi,TX,78413,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,84,Travis Elementary,3210 Churchill Dr., Corpus Christi,TX,78415,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,85,Tuloso-Midway High School,2653 McKinzie Rd., Corpus Christi,TX,78410,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,86,Tuloso-Midway Middle School,9768 La Branch St., Corpus Christi,TX,78410,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,87,Valencia Hall,6110 Ayers St., Corpus Christi,TX,78415,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,88,Veterans Memorial High School,3750 Cimarron, Corpus Christi,TX,78414,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,89,Villa of Corpus Christi South,4834 Yorktown Blvd., Corpus Christi,TX,78413,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,90,West Oso Junior High School,5202 Bear Lane, Corpus Christi,TX,78405,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,91,Windsor Park Athena School,4525 S. Alameda St., Corpus Christi,TX,78412,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,92,Woodlawn Elementary,1110 Woodlawn Dr., Corpus Christi,TX,78412,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,93,Yeager Elementary,5414 Tripoli Dr., Corpus Christi,TX,78411,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,94,Zavala Senior Center,510 Osage St, Corpus Christi,TX,78405,07:00:00 - 06:00,19:00:00 - 06:00
