office-name,ocd-division,directions,name,street,city,state,zip,start_time,end_time,start_date,end_date,notes
Gilmer County,ocd-division/country:us/state:wv/county:gilmer,,Gilmer County Courthouse,10 Howard Street,Glenville,WV,26351,09:00:00 - 04:00,17:00:00 - 04:00,11/5/16,11/5/16,
Grant County,ocd-division/country:us/state:wv/county:grant,,Grant County Courthouse,5 Highland Avenue,Petersburg,WV,26847,08:30:00 - 04:00,16:30:00 - 04:00,10/26/16,10/28/16,
Grant County,ocd-division/country:us/state:wv/county:grant,,Grant County Courthouse,5 Highland Avenue,Petersburg,WV,26847,09:00:00 - 04:00,17:00:00 - 04:00,10/29/16,10/29/16,
Grant County,ocd-division/country:us/state:wv/county:grant,,Grant County Courthouse,5 Highland Avenue,Petersburg,WV,26847,08:30:00 - 04:00,16:30:00 - 04:00,10/31/16,11/4/16,
Grant County,ocd-division/country:us/state:wv/county:grant,,Grant County Courthouse,5 Highland Avenue,Petersburg,WV,26847,09:00:00 - 04:00,17:00:00 - 04:00,11/5/16,11/5/16,
Greenbrier County,ocd-division/country:us/state:wv/county:greenbrier,,Greenbrier County Courthouse,200 N Court St.,Lewisburg,WV,24901,08:00:00 - 04:00,16:30:00 - 04:00,10/26/16,10/28/16,
Greenbrier County,ocd-division/country:us/state:wv/county:greenbrier,,Greenbrier County Courthouse,200 N Court St.,Lewisburg,WV,24901,09:00:00 - 04:00,17:00:00 - 04:00,10/29/16,10/29/16,
Greenbrier County,ocd-division/country:us/state:wv/county:greenbrier,,Greenbrier County Courthouse,200 N Court St.,Lewisburg,WV,24901,08:00:00 - 04:00,16:30:00 - 04:00,10/31/16,11/4/16,
Greenbrier County,ocd-division/country:us/state:wv/county:greenbrier,,Greenbrier County Courthouse,200 N Court St.,Lewisburg,WV,24901,09:00:00 - 04:00,17:00:00 - 04:00,11/5/16,11/5/16,
Hampshire County,ocd-division/country:us/state:wv/county:hampshire,,Hampshire County Courthouse,19 E. Main Street,Romney,WV,26757,08:00:00 - 04:00,16:00:00 - 04:00,10/26/16,10/28/16,
Hampshire County,ocd-division/country:us/state:wv/county:hampshire,,Hampshire County Courthouse,19 E. Main Street,Romney,WV,26757,09:00:00 - 04:00,17:00:00 - 04:00,10/29/16,10/29/16,
Hampshire County,ocd-division/country:us/state:wv/county:hampshire,,Hampshire County Courthouse,19 E. Main Street,Romney,WV,26757,08:00:00 - 04:00,16:00:00 - 04:00,10/31/16,11/4/16,
Hampshire County,ocd-division/country:us/state:wv/county:hampshire,,Hampshire County Courthouse,19 E. Main Street,Romney,WV,26757,09:00:00 - 04:00,17:00:00 - 04:00,11/5/16,11/5/16,
Hancock County,ocd-division/country:us/state:wv/county:hancock,,Hancock County Courthouse,102 North Court Street,New Cumberland,WV,26047,08:30:00 - 04:00,16:30:00 - 04:00,10/26/16,10/28/16,
Hancock County,ocd-division/country:us/state:wv/county:hancock,,Hancock County Courthouse,102 North Court Street,New Cumberland,WV,26047,09:00:00 - 04:00,17:00:00 - 04:00,10/29/16,10/29/16,
Hancock County,ocd-division/country:us/state:wv/county:hancock,,Hancock County Courthouse,102 North Court Street,New Cumberland,WV,26047,08:30:00 - 04:00,16:30:00 - 04:00,10/31/16,11/4/16,
Hancock County,ocd-division/country:us/state:wv/county:hancock,,Hancock County Courthouse,102 North Court Street,New Cumberland,WV,26047,09:00:00 - 04:00,17:00:00 - 04:00,11/5/16,11/5/16,
Hardy County,ocd-division/country:us/state:wv/county:hardy,,Hardy County Courthouse,204 Washington Street,Moorefield,WV,26836,09:00:00 - 04:00,16:00:00 - 04:00,10/26/16,10/28/16,
Hardy County,ocd-division/country:us/state:wv/county:hardy,,Hardy County Courthouse,204 Washington Street,Moorefield,WV,26836,09:00:00 - 04:00,17:00:00 - 04:00,10/29/16,10/29/16,
Hardy County,ocd-division/country:us/state:wv/county:hardy,,Hardy County Courthouse,204 Washington Street,Moorefield,WV,26836,09:00:00 - 04:00,16:00:00 - 04:00,10/31/16,11/4/16,
Hardy County,ocd-division/country:us/state:wv/county:hardy,,Hardy County Courthouse,204 Washington Street,Moorefield,WV,26836,09:00:00 - 04:00,17:00:00 - 04:00,11/5/16,11/5/16,
Harrison County,ocd-division/country:us/state:wv/county:harrison,,Harrison County Courthouse,301 W. Main Street,Clarksburg,WV,26301,08:30:00 - 04:00,16:30:00 - 04:00,10/26/16,10/28/16,
Harrison County,ocd-division/country:us/state:wv/county:harrison,,Harrison County Courthouse,301 W. Main Street,Clarksburg,WV,26301,09:00:00 - 04:00,17:00:00 - 04:00,10/29/16,10/29/16,
Harrison County,ocd-division/country:us/state:wv/county:harrison,,Harrison County Courthouse,301 W. Main Street,Clarksburg,WV,26301,08:30:00 - 04:00,16:30:00 - 04:00,10/31/16,11/4/16,
Harrison County,ocd-division/country:us/state:wv/county:harrison,,Harrison County Courthouse,301 W. Main Street,Clarksburg,WV,26301,09:00:00 - 04:00,17:00:00 - 04:00,11/5/16,11/5/16,
Harrison County,ocd-division/country:us/state:wv/county:harrison,,Meadowbrook Mall,2399 Meadowbrook Rd,Bridgeport,WV,26330,10:00:00 - 04:00,16:00:00 - 04:00,10/26/16,10/28/16,
Harrison County,ocd-division/country:us/state:wv/county:harrison,,Meadowbrook Mall,2399 Meadowbrook Rd,Bridgeport,WV,26330,10:00:00 - 04:00,17:00:00 - 04:00,10/29/16,10/29/16,
Harrison County,ocd-division/country:us/state:wv/county:harrison,,Meadowbrook Mall,2399 Meadowbrook Rd,Bridgeport,WV,26330,10:00:00 - 04:00,16:00:00 - 04:00,10/31/16,11/4/16,
Harrison County,ocd-division/country:us/state:wv/county:harrison,,Meadowbrook Mall,2399 Meadowbrook Rd,Bridgeport,WV,26330,10:00:00 - 04:00,17:00:00 - 04:00,11/5/16,11/5/16,
Harrison County,ocd-division/country:us/state:wv/county:harrison,,Former Mountain State Dermatology office,469 Emily Dr,Clarksburg,WV,26301,10:00:00 - 04:00,16:00:00 - 04:00,10/26/16,10/28/16,
Harrison County,ocd-division/country:us/state:wv/county:harrison,,Former Mountain State Dermatology office,469 Emily Dr,Clarksburg,WV,26301,10:00:00 - 04:00,17:00:00 - 04:00,10/29/16,10/29/16,
Harrison County,ocd-division/country:us/state:wv/county:harrison,,Former Mountain State Dermatology office,469 Emily Dr,Clarksburg,WV,26301,10:00:00 - 04:00,16:00:00 - 04:00,10/31/16,11/4/16,
Harrison County,ocd-division/country:us/state:wv/county:harrison,,Former Mountain State Dermatology office,469 Emily Dr,Clarksburg,WV,26301,10:00:00 - 04:00,17:00:00 - 04:00,11/5/16,11/5/16,
Jackson County,ocd-division/country:us/state:wv/county:jackson,,Jackson County Courthouse,100 Court Street,Ripley,WV,25271,08:30:00 - 04:00,16:30:00 - 04:00,10/26/16,10/28/16,
Jackson County,ocd-division/country:us/state:wv/county:jackson,,Jackson County Courthouse,100 Court Street,Ripley,WV,25271,09:00:00 - 04:00,17:00:00 - 04:00,10/29/16,10/29/16,
Jackson County,ocd-division/country:us/state:wv/county:jackson,,Jackson County Courthouse,100 Court Street,Ripley,WV,25271,08:30:00 - 04:00,16:30:00 - 04:00,10/31/16,11/4/16,
Jackson County,ocd-division/country:us/state:wv/county:jackson,,Jackson County Courthouse,100 Court Street,Ripley,WV,25271,09:00:00 - 04:00,17:00:00 - 04:00,11/5/16,11/5/16,
Jackson County,ocd-division/country:us/state:wv/county:jackson,,Ravenswood Public Library,323 Virginia Street,Ravenswood,WV,26164,08:30:00 - 04:00,16:30:00 - 04:00,10/26/16,10/28/16,
Jackson County,ocd-division/country:us/state:wv/county:jackson,,Ravenswood Public Library,323 Virginia Street,Ravenswood,WV,26164,09:00:00 - 04:00,17:00:00 - 04:00,10/29/16,10/29/16,
Jackson County,ocd-division/country:us/state:wv/county:jackson,,Ravenswood Public Library,323 Virginia Street,Ravenswood,WV,26164,08:30:00 - 04:00,16:30:00 - 04:00,10/31/16,11/4/16,
Jackson County,ocd-division/country:us/state:wv/county:jackson,,Ravenswood Public Library,323 Virginia Street,Ravenswood,WV,26164,09:00:00 - 04:00,17:00:00 - 04:00,11/5/16,11/5/16,
Jefferson County,ocd-division/country:us/state:wv/county:jefferson,,Jefferson County Courthouse,100 E Washington Street,Charles Town,WV,25414,09:00:00 - 04:00,17:00:00 - 04:00,10/26/16,10/29/16,
Jefferson County,ocd-division/country:us/state:wv/county:jefferson,,Jefferson County Courthouse,100 E Washington Street,Charles Town,WV,25414,09:00:00 - 04:00,17:00:00 - 04:00,10/31/16,11/5/16,
Kanawha County,ocd-division/country:us/state:wv/county:kanawha,,Kanawha County Voter Registration,415 Quarrier Street,Charleston,WV,25301,08:00:00 - 04:00,17:00:00 - 04:00,10/26/16,10/28/16,
Kanawha County,ocd-division/country:us/state:wv/county:kanawha,,Kanawha County Voter Registration,415 Quarrier Street,Charleston,WV,25301,09:00:00 - 04:00,17:00:00 - 04:00,10/29/16,10/29/16,
Kanawha County,ocd-division/country:us/state:wv/county:kanawha,,Kanawha County Voter Registration,415 Quarrier Street,Charleston,WV,25301,08:00:00 - 04:00,17:00:00 - 04:00,10/31/16,11/4/16,
Kanawha County,ocd-division/country:us/state:wv/county:kanawha,,Kanawha County Voter Registration,415 Quarrier Street,Charleston,WV,25301,09:00:00 - 04:00,17:00:00 - 04:00,11/5/16,11/5/16,
Lewis County,ocd-division/country:us/state:wv/county:lewis,,Lewis County Courthouse,110 Center Avenue,Weston,WV,26452,08:00:00 - 04:00,16:00:00 - 04:00,10/26/16,10/28/16,
Lewis County,ocd-division/country:us/state:wv/county:lewis,,Lewis County Courthouse,110 Center Avenue,Weston,WV,26452,09:00:00 - 04:00,17:00:00 - 04:00,10/29/16,10/29/16,
Lewis County,ocd-division/country:us/state:wv/county:lewis,,Lewis County Courthouse,110 Center Avenue,Weston,WV,26452,08:00:00 - 04:00,16:00:00 - 04:00,10/31/16,11/4/16,
Lewis County,ocd-division/country:us/state:wv/county:lewis,,Lewis County Courthouse,110 Center Avenue,Weston,WV,26452,09:00:00 - 04:00,17:00:00 - 04:00,11/5/16,11/5/16,
Lincoln County,ocd-division/country:us/state:wv/county:lincoln,,Lincoln County Courthouse,8000 Court Avenue,Hamlin,WV,25523,09:00:00 - 04:00,16:30:00 - 04:00,10/26/16,10/28/16,
Lincoln County,ocd-division/country:us/state:wv/county:lincoln,,Lincoln County Courthouse,8000 Court Avenue,Hamlin,WV,25523,09:00:00 - 04:00,17:00:00 - 04:00,10/29/16,10/29/16,
Lincoln County,ocd-division/country:us/state:wv/county:lincoln,,Lincoln County Courthouse,8000 Court Avenue,Hamlin,WV,25523,09:00:00 - 04:00,16:30:00 - 04:00,10/31/16,11/4/16,
Lincoln County,ocd-division/country:us/state:wv/county:lincoln,,Lincoln County Courthouse,8000 Court Avenue,Hamlin,WV,25523,09:00:00 - 04:00,17:00:00 - 04:00,11/5/16,11/5/16,
Lincoln County,ocd-division/country:us/state:wv/county:lincoln,,Harts Veterans & Community Center,120 Harts Creek,Harts,WV,25524,09:00:00 - 04:00,16:30:00 - 04:00,10/26/16,10/28/16,
Lincoln County,ocd-division/country:us/state:wv/county:lincoln,,Harts Veterans & Community Center,120 Harts Creek,Harts,WV,25524,09:00:00 - 04:00,17:00:00 - 04:00,10/29/16,10/29/16,
Lincoln County,ocd-division/country:us/state:wv/county:lincoln,,Harts Veterans & Community Center,120 Harts Creek,Harts,WV,25524,09:00:00 - 04:00,16:30:00 - 04:00,10/31/16,11/4/16,
Lincoln County,ocd-division/country:us/state:wv/county:lincoln,,Harts Veterans & Community Center,120 Harts Creek,Harts,WV,25524,09:00:00 - 04:00,17:00:00 - 04:00,11/5/16,11/5/16,
Lincoln County,ocd-division/country:us/state:wv/county:lincoln,,McCorkle Community Center,13 Ely Fork,Sumerco,WV,25524,09:00:00 - 04:00,16:30:00 - 04:00,10/26/16,10/28/16,
Lincoln County,ocd-division/country:us/state:wv/county:lincoln,,McCorkle Community Center,13 Ely Fork,Sumerco,WV,25524,09:00:00 - 04:00,17:00:00 - 04:00,10/29/16,10/29/16,
Lincoln County,ocd-division/country:us/state:wv/county:lincoln,,McCorkle Community Center,13 Ely Fork,Sumerco,WV,25524,09:00:00 - 04:00,16:30:00 - 04:00,10/31/16,11/4/16,
Lincoln County,ocd-division/country:us/state:wv/county:lincoln,,McCorkle Community Center,13 Ely Fork,Sumerco,WV,25524,09:00:00 - 04:00,17:00:00 - 04:00,11/5/16,11/5/16,
Logan County,ocd-division/country:us/state:wv/county:logan,,Logan County Courthouse,300 Stratton Street,Logan,WV,25601,08:30:00 - 04:00,12:00:00 - 04:00,10/26/16,10/28/16,
Logan County,ocd-division/country:us/state:wv/county:logan,,Logan County Courthouse,300 Stratton Street,Logan,WV,25601,13:00:00 - 04:00,16:30:00 - 04:00,10/26/16,10/28/16,
Logan County,ocd-division/country:us/state:wv/county:logan,,Logan County Courthouse,300 Stratton Street,Logan,WV,25601,09:00:00 - 04:00,17:00:00 - 04:00,10/29/16,10/29/16,
Logan County,ocd-division/country:us/state:wv/county:logan,,Logan County Courthouse,300 Stratton Street,Logan,WV,25601,08:30:00 - 04:00,12:00:00 - 04:00,10/31/16,11/4/16,
Logan County,ocd-division/country:us/state:wv/county:logan,,Logan County Courthouse,300 Stratton Street,Logan,WV,25601,13:00:00 - 04:00,16:30:00 - 04:00,10/31/16,11/4/16,
