name,location_name,address1,address2,address_line3,city,state,zip_code,dirs,voter_services,start_date,end_date,start_time,end_time,days_times_open,ev_id,locality_id,county,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Walla Walla County Elections Center,Walla Walla County Elections Center,310 W. Poplar St.,,,Walla Walla,WA,99362,,VSPC,10/31/16,11/4/16,09:00:00 - 07:00,16:00:00 - 07:00,9 a.m. to 4 p.m. Open until 8 p.m. on Election Day.,53050360377,5313036,Walla Walla County,180,"310 W. Poplar St., Walla Walla, WA , 99362",,09:00 AM-04:00 PM,,ho35655424,false,true,,,,53050360377
Walla Walla County Elections Center,Walla Walla County Elections Center,310 W. Poplar St.,,,Walla Walla,WA,99362,,VSPC,11/7/16,11/7/16,09:00:00 - 08:00,16:00:00 - 08:00,9 a.m. to 4 p.m. Open until 8 p.m. on Election Day.,53050360377,5313036,Walla Walla County,182,"310 W. Poplar St., Walla Walla, WA , 99362",,09:00 AM-04:00 PM,,ho35655424,false,true,,,,53050360377
Whatcom County Auditor's Office,Whatcom County Auditor's Office,311 Grand Ave,,,Bellingham,WA,98225,,VSPC,10/19/16,10/21/16,08:30:00 - 07:00,16:30:00 - 07:00,"Open: 8:30 a.m. - 4:30 p.m., Monday - Friday Election Day Only:  8:30 a.m. - 8:00 p.m.",53050370228,5313037,Whatcom County,183,"311 Grand Ave, Bellingham, WA , 98225",,08:30 AM-04:30 PM,,ho28029347,false,true,,,,53050370228
Whatcom County Auditor's Office,Whatcom County Auditor's Office,311 Grand Ave,,,Bellingham,WA,98225,,VSPC,10/24/16,10/28/16,08:30:00 - 07:00,16:30:00 - 07:00,"Open: 8:30 a.m. - 4:30 p.m., Monday - Friday Election Day Only:  8:30 a.m. - 8:00 p.m.",53050370228,5313037,Whatcom County,184,"311 Grand Ave, Bellingham, WA , 98225",,08:30 AM-04:30 PM,,ho28029347,false,true,,,,53050370228
Whatcom County Auditor's Office,Whatcom County Auditor's Office,311 Grand Ave,,,Bellingham,WA,98225,,VSPC,10/31/16,11/4/16,08:30:00 - 07:00,16:30:00 - 07:00,"Open: 8:30 a.m. - 4:30 p.m., Monday - Friday Election Day Only:  8:30 a.m. - 8:00 p.m.",53050370228,5313037,Whatcom County,185,"311 Grand Ave, Bellingham, WA , 98225",,08:30 AM-04:30 PM,,ho28029347,false,true,,,,53050370228
Whatcom County Auditor's Office,Whatcom County Auditor's Office,311 Grand Ave,,,Bellingham,WA,98225,,VSPC,11/7/16,11/7/16,08:30:00 - 08:00,16:30:00 - 08:00,"Open: 8:30 a.m. - 4:30 p.m., Monday - Friday Election Day Only:  8:30 a.m. - 8:00 p.m.",53050370228,5313037,Whatcom County,186,"311 Grand Ave, Bellingham, WA , 98225",,08:30 AM-04:30 PM,,ho28029347,false,true,,,,53050370228
Whitman County Elections Center,Whitman County Elections Center,N 304 Main St,,,Colfax,WA,99111,,VSPC,10/21/16,10/21/16,09:00:00 - 07:00,17:00:00 - 07:00,"Auditor's Office open 9 AM to 5 PM except on Election Day, the hours are 8 AM to 8 PM.",53050380049,5313038,Whitman County,187,"N 304 Main St, Colfax, WA , 99111",,09:00 AM-05:00 PM,,ho77490450,false,true,,,,53050380049
Whitman County Elections Center,Whitman County Elections Center,N 304 Main St,,,Colfax,WA,99111,,VSPC,10/24/16,10/28/16,09:00:00 - 07:00,17:00:00 - 07:00,"Auditor's Office open 9 AM to 5 PM except on Election Day, the hours are 8 AM to 8 PM.",53050380049,5313038,Whitman County,188,"N 304 Main St, Colfax, WA , 99111",,09:00 AM-05:00 PM,,ho77490450,false,true,,,,53050380049
Whitman County Elections Center,Whitman County Elections Center,N 304 Main St,,,Colfax,WA,99111,,VSPC,10/31/16,11/4/16,09:00:00 - 07:00,17:00:00 - 07:00,"Auditor's Office open 9 AM to 5 PM except on Election Day, the hours are 8 AM to 8 PM.",53050380049,5313038,Whitman County,189,"N 304 Main St, Colfax, WA , 99111",,09:00 AM-05:00 PM,,ho77490450,false,true,,,,53050380049
Whitman County Elections Center,Whitman County Elections Center,N 304 Main St,,,Colfax,WA,99111,,VSPC,11/7/16,11/7/16,09:00:00 - 08:00,17:00:00 - 08:00,"Auditor's Office open 9 AM to 5 PM except on Election Day, the hours are 8 AM to 8 PM.",53050380049,5313038,Whitman County,191,"N 304 Main St, Colfax, WA , 99111",,09:00 AM-05:00 PM,,ho77490450,false,true,,,,53050380049
Yakima County Auditor's Office Voter Service Center (VSPC),Yakima County Auditor's Office,128 N 2nd St,Rm 117,,Yakima,WA,98901,,VSPC,10/19/16,10/21/16,09:00:00 - 07:00,16:00:00 - 07:00,9 a.m. to 4 p.m. Open until 8 p.m. on Election Day.,53050390303,5313039,Yakima County,192,"128 N 2nd St, Yakima, WA , 98901",Rm 117,09:00 AM-04:00 PM,,ho84018027,false,true,,,,53050390303
Yakima County Auditor's Office Voter Service Center (VSPC),Yakima County Auditor's Office,128 N 2nd St,Rm 117,,Yakima,WA,98901,,VSPC,10/24/16,10/28/16,09:00:00 - 07:00,16:00:00 - 07:00,9 a.m. to 4 p.m. Open until 8 p.m. on Election Day.,53050390303,5313039,Yakima County,193,"128 N 2nd St, Yakima, WA , 98901",Rm 117,09:00 AM-04:00 PM,,ho84018027,false,true,,,,53050390303
Yakima County Auditor's Office Voter Service Center (VSPC),Yakima County Auditor's Office,128 N 2nd St,Rm 117,,Yakima,WA,98901,,VSPC,10/31/16,11/4/16,09:00:00 - 07:00,16:00:00 - 07:00,9 a.m. to 4 p.m. Open until 8 p.m. on Election Day.,53050390303,5313039,Yakima County,194,"128 N 2nd St, Yakima, WA , 98901",Rm 117,09:00 AM-04:00 PM,,ho84018027,false,true,,,,53050390303
Yakima County Auditor's Office Voter Service Center (VSPC),Yakima County Auditor's Office,128 N 2nd St,Rm 117,,Yakima,WA,98901,,VSPC,11/7/16,11/7/16,09:00:00 - 08:00,16:00:00 - 08:00,9 a.m. to 4 p.m. Open until 8 p.m. on Election Day.,53050390303,5313039,Yakima County,196,"128 N 2nd St, Yakima, WA , 98901",Rm 117,09:00 AM-04:00 PM,,ho84018027,false,true,,,,53050390303
Skamania County Auditor's Office,Skamania County Auditor's Office,240 NW Vancouver Ave,,,Stevenson,WA,98648,,VSPC,10/24/16,10/27/16,07:30:00 - 07:00,17:30:00 - 07:00,9 a.m. to 4 p.m. Open until 8 p.m. on Election Day.,53050390303,5313039,Yakima County,197,"240 NW Vancouver Ave, Stevenson, WA , 98648",,07:30 AM-05:30 PM,,ho60665431,false,true,,,,53050390303
Skamania County Auditor's Office,Skamania County Auditor's Office,240 NW Vancouver Ave,,,Stevenson,WA,98648,,VSPC,10/31/16,11/3/16,07:30:00 - 07:00,17:30:00 - 07:00,9 a.m. to 4 p.m. Open until 8 p.m. on Election Day.,53050390303,5313039,Yakima County,198,"240 NW Vancouver Ave, Stevenson, WA , 98648",,07:30 AM-05:30 PM,,ho60665431,false,true,,,,53050390303
Skamania County Auditor's Office,Skamania County Auditor's Office,240 NW Vancouver Ave,,,Stevenson,WA,98648,,VSPC,11/7/16,11/7/16,07:30:00 - 08:00,17:30:00 - 08:00,9 a.m. to 4 p.m. Open until 8 p.m. on Election Day.,53050390303,5313039,Yakima County,199,"240 NW Vancouver Ave, Stevenson, WA , 98648",,07:30 AM-05:30 PM,,ho60665431,false,true,,,,53050390303
