office-name,ocd-division,directions,precinct name,name,street,City,state,zip,start time,end time,notes
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Club Estates Elementary,5222 Merganser Dr.,Corpus Christi,TX,78413,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Cullen Middle School,5224 Greely Dr.,Corpus Christi,TX,78412,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Cunningham Middle School,4321 Prescott St.,Corpus Christi,TX,78416,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,David Berlanga Community Center,1513 2nd St,AGUA DULCE,TX,78330,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,David Crockett Elementary,2625 Belton St.,Corpus Christi,TX,78416,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Deaf and Hard of Hearing Center,5151 McArdle Rd.,Corpus Christi,TX,78411,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Del Mar College,101 Baldwin Blvd., Corpus Christi,TX,78404,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Driscoll I.S.D.,410 W. Ave. D,DRISCOLL,TX,78351,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Driscoll Middle School,3501 Kenwood Dr.,Corpus Christi,TX,78408,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Ella Barnes Elementary,2829 Oso Parkway,Corpus Christi,TX,78414,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Ethel Eyerly Senior Center,654 Graham Rd.,Corpus Christi,TX,78418,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Fannin Elementary,2730 Gollihar Rd.,Corpus Christi,TX,78415,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Fire Station #7,3722 S. Staples St.,Corpus Christi,TX,78411,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Fire Station # 9,501 Navigation Blvd.,Corpus Christi,TX,78408,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Fire Station # 11,910 Airline Rd.,Corpus Christi,TX,78412,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Fire Station #12,2120 Rand Morgan Rd.,Corpus Christi,TX,78410,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Flour Bluff ISD (Maintenance Bldg.),2505 Waldron Rd.,Corpus Christi,TX,78418,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Galvan Elementary,3126 Masterson Dr.,Corpus Christi,TX,78415,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Gibson Elementary,5723 Hampshire Rd.,Corpus Christi,TX,78408,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Gloria Hicks Elementary,3602 McArdle Rd.,Corpus Christi,TX,78415,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Grace Presbyterian Church,6301 Yorktown Blvd.,Corpus Christi,TX,78414,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Grant Middle School,4350 Aaron Dr.,Corpus Christi,TX,78413,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Hamlin Middle School,3900 Hamlin Dr.,Corpus Christi,TX,78411,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Harold T. Branch Academy,3902 Morgan St.,Corpus Christi,TX,78405,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Hilltop Community Center,11425 Leopard St.,Corpus Christi,TX,78410,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Island Presbyterian Church,14030 Fortuna Bay Dr.,Corpus Christi,TX,78418,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,John F. Kennedy Elementary,1102 Villarreal Rd.,Corpus Christi,TX,78416,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Johnny Calderon Building.,710 E. Main St.,ROBSTOWN,TX,78380,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Keach Family Library,1000 Terry Shamsie,ROBSTOWN,TX,78380,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,King High School,5225 Gollihar Rd.,Corpus Christi,TX,78412,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Kiwanis Recreation Center,3933 Timon Blvd.,Corpus Christi,TX,78402,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Kolda Elementary,3730 Rodd Field,Corpus Christi,TX,78414,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Korean Presbyterian Church,4326 McArdle Rd.,Corpus Christi,TX,78411,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Kostoryz Elementary,3602 Panama Dr.,Corpus Christi,TX,78415,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,La Retama Central Library,805 Comanche St.,Corpus Christi,TX,78401,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Lindale Senior Center,3135 Swantner Dr.,Corpus Christi,TX,78404,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,London ISD Middle/High School,1306 FM 43,Corpus Christi,TX,78415,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Lotspeich Elementary,1000 Ruben Chavez Rd.,ROBSTOWN,TX,78380,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Lotspeich Elementary,1000 Ruben Chavez Rd.,ROBSTOWN,TX,78380,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,LULAC West Apartments,10702 IH 37,Corpus Christi,TX,78410,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Luther Jones Elementary,7533 Lipes Blvd.,Corpus Christi,TX,78413,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Magee Elementary-Star Annex,4201 Calallen Dr.,Corpus Christi,TX,78410,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Menger Elementary,2401 S. Alameda St.,Corpus Christi,TX,78404,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Metro E Elementary,1707 Ayers St.,Corpus Christi,TX,78404,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,MG Building Materials,7406 S. Padre Island Dr.,Corpus Christi,TX,78412,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Mireles Elementary,7658 Cimarron Blvd.,Corpus Christi,TX,78414,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Montclair Elementary,5241 Kentner St.,Corpus Christi,TX,78412,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Moody High School,1818 Trojan Dr.,Corpus Christi,TX,78416,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Nueces County ESD #4,5781 FM 666,ROBSTOWN,TX,78380,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Oak Park Recreation Center,842 Erwin Ave.,Corpus Christi,TX,78408,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Our Lady of Mnt. Carmel Mission,1080 S Clarkwood Rd., Corpus Christi,TX,78406,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Oveal Williams Senior Center,1414 Martin Luther King Dr., Corpus Christi,TX,78401,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Parkway Presbyterian Church,3707 Santa Fe,Corpus Christi,TX,78411,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Peerless Cleaners,2806 Santa Fe,Corpus Christi,TX,78404,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Petronila Elementary,2391 Cnty Rd. 67,ROBSTOWN,TX,78380,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Port Aransas Community Center,408 North Alister,PORT ARANSAS,TX,78373,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,River Hills Baptist Church,16318 FM 624,ROBSTOWN,TX,78380,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Robert Driscoll Elementary,122 W. Ave. H,ROBSTOWN,TX,78380,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Ronnie H. Polston County Bldg.,10110 Compton Rd., Corpus Christi,TX,78418,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Rose Shaw Elementary,2920 Soledad St., Corpus Christi,TX,78405,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Saint John's Baptist Church,5445 Greenwood Dr., Corpus Christi,TX,78417,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,San Pedro Elementary,800 W. Ave. D,ROBSTOWN,TX,78380,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Schanen Estates Elementary,5717 Killarmet Dr., Corpus Christi,TX,78413,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Schlitterbahn,14353 Commodores Dr., Corpus Christi,TX,78418,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Scott Vetters Scout Hut,3221 McKinzie Rd., Corpus Christi,TX,78410,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Smith Elementary,6902 Williams Dr., Corpus Christi,TX,78412,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,South Park Middle School,3001 McArdle St., Corpus Christi,TX,78415,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf
