index,election_administration_id,get_name,polling_location_ids,id
54,ea27,Minnesota,poll1431 poll1424,st27
55,ea27,Minnesota,poll1433 poll1440 poll1441,st27
56,ea27,Minnesota,poll1449 poll1442 poll1450,st27
57,ea27,Minnesota,poll1459 poll1451 poll1458,st27
58,ea27,Minnesota,poll1468 poll1460 poll1467,st27
59,ea27,Minnesota,poll1476 poll1477 poll1469,st27
60,ea27,Minnesota,poll1478 poll1486 poll1485,st27
61,ea27,Minnesota,poll1558 poll1559 poll1496 poll1495 poll1494 poll1550 poll1611 poll1557 poll1594 poll1612 poll1539 poll1576 poll1577 poll1530 poll1531 poll1532 poll1512 poll1514 poll1593 poll1595 poll1513 poll1585 poll1584 poll1586 poll1549 poll1548 poll1487 poll1602 poll1603 poll1541 poll1540 poll1604 poll1567 poll1566 poll1503 poll1505 poll1504 poll1523 poll1522 poll1521 poll1568 poll1575,st27
62,ea27,Minnesota,poll1620 poll1613,st27
63,ea27,Minnesota,poll1629 poll1622 poll1630,st27
64,ea27,Minnesota,poll1639 poll1631 poll1638,st27
65,ea27,Minnesota,poll1647 poll1648 poll1640,st27
66,ea27,Minnesota,poll1656 poll1649,st27
67,ea27,Minnesota,poll1658 poll1665 poll1666,st27
68,ea27,Minnesota,poll1835 poll1842 poll1843,st27
69,ea27,Minnesota,poll1852 poll1851 poll1844,st27
70,ea27,Minnesota,poll1853 poll1860 poll1861,st27
71,ea27,Minnesota,poll1710 poll1737 poll1712 poll1730 poll1719 poll1738 poll1739 poll1782 poll1791 poll1792 poll1793 poll1676 poll1675 poll1674 poll1765 poll1683 poll1826 poll1729 poll1728 poll1766 poll1800 poll1801 poll1684 poll1685 poll1721 poll1720 poll1784 poll1809 poll1703 poll1702 poll1701 poll1802 poll1773 poll1748 poll1810 poll1775 poll1746 poll1783 poll1764 poll1811 poll1667 poll1834 poll1833 poll1694 poll1812 poll1774 poll1692 poll1755 poll1756 poll1757 poll1818,st27
72,ea27,Minnesota,poll1871 poll1870 poll1869 poll1879 poll1878 poll1862,st27
73,ea27,Minnesota,poll1887 poll1880,st27
74,ea27,Minnesota,poll1897 poll1896 poll1889,st27
75,ea27,Minnesota,poll1905 poll1906 poll1898,st27
76,ea27,Minnesota,poll1907 poll1914 poll1915,st27
77,ea27,Minnesota,poll1923 poll1924 poll1916,st27
78,ea27,Minnesota,poll1934 poll1941 poll1942 poll1932,st27
79,ea27,Minnesota,poll1943 poll1950 poll1951,st27
80,ea27,Minnesota,poll1960 poll1952 poll1959,st27
81,ea27,Minnesota,poll1986 poll1987 poll1978 poll1979 poll1969 poll1968 poll1996 poll1995 poll1970 poll1961 poll1988 poll1977,st27
82,ea27,Minnesota,poll2012 poll1998 poll2011 poll1997,st27
83,ea27,Minnesota,poll2021 poll2014 poll2022,st27
84,ea27,Minnesota,poll2027 poll2030 poll2023,st27
85,ea27,Minnesota,poll2128 poll2125 poll2032 poll2116 poll2089 poll2150 poll2126 poll2127 poll2066 poll2040 poll2149 poll2047 poll2140 poll2062 poll2142 poll2118 poll2038 poll2039 poll2065 poll2064,st27
86,ea27,Minnesota,poll2151 poll2158 poll2159,st27
