ocd_division,county,location_name,address_1,address_2,city,state,zip,start_time,end_time,start_date,end_date,is_only_by_appointment,is_or_by_appointment,appointment_phone_num,is_subject_to_change,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
ocd-division/country:us/state:mn/county:anoka,Anoka,Linwood Town Hall,22817 Typo Creek Dr NE,,Stacy,MN,55079,800,1700,11-07-2016,11-07-2016,False,False,False,,171,"22817 Typo Creek Dr NE, Stacy, MN 55079",,08:00 AM-05:00 PM,,ho93026825,false,true,,,,poll0171
ocd-division/country:us/state:mn/county:anoka,Anoka,Nowthen City Offices,8188 199th Ave NW,,Nowthen,MN,55330,800,1630,09-23-2016,09-23-2016,False,False,False,,172,"8188 199th Ave NW, Nowthen, MN 55330",,08:00 AM-04:30 PM,,ho40495028,false,true,,,,poll0172
ocd-division/country:us/state:mn/county:anoka,Anoka,Nowthen City Offices,8188 199th Ave NW,,Nowthen,MN,55330,1000,1500,11-05-2016,11-05-2016,False,False,False,,179,"8188 199th Ave NW, Nowthen, MN 55330",,10:00 AM-03:00 PM,,ho40495028,false,true,,,,poll0179
ocd-division/country:us/state:mn/county:anoka,Anoka,Nowthen City Offices,8188 199th Ave NW,,Nowthen,MN,55330,800,1700,11-07-2016,11-07-2016,False,False,False,,180,"8188 199th Ave NW, Nowthen, MN 55330",,08:00 AM-05:00 PM,,ho40495028,false,true,,,,poll0180
ocd-division/country:us/state:mn/county:anoka,Anoka,Oak Grove City Hall,19900 Nightingale St NW,,Oak Grove,MN,55011,800,1630,09-23-2016,09-23-2016,False,False,False,,181,"19900 Nightingale St NW, Oak Grove, MN 55011",,08:00 AM-04:30 PM,,ho89330809,false,true,,,,poll0181
ocd-division/country:us/state:mn/county:anoka,Anoka,Oak Grove City Hall,19900 Nightingale St NW,,Oak Grove,MN,55011,1000,1500,11-05-2016,11-05-2016,False,False,False,,188,"19900 Nightingale St NW, Oak Grove, MN 55011",,10:00 AM-03:00 PM,,ho89330809,false,true,,,,poll0188
ocd-division/country:us/state:mn/county:anoka,Anoka,Oak Grove City Hall,19900 Nightingale St NW,,Oak Grove,MN,55011,800,1700,11-07-2016,11-07-2016,False,False,False,,189,"19900 Nightingale St NW, Oak Grove, MN 55011",,08:00 AM-05:00 PM,,ho89330809,false,true,,,,poll0189
ocd-division/country:us/state:mn/county:anoka,Anoka,Ramsey Municipal Center / City Hall,7550 Sunwood Dr NW,,Ramsey,MN,55303,800,1630,09-23-2016,09-23-2016,False,False,False,,190,"7550 Sunwood Dr NW, Ramsey, MN 55303",,08:00 AM-04:30 PM,,ho20225750,false,true,,,,poll0190
ocd-division/country:us/state:mn/county:anoka,Anoka,Ramsey Municipal Center / City Hall,7550 Sunwood Dr NW,,Ramsey,MN,55303,1000,1500,11-05-2016,11-05-2016,False,False,False,,197,"7550 Sunwood Dr NW, Ramsey, MN 55303",,10:00 AM-03:00 PM,,ho20225750,false,true,,,,poll0197
ocd-division/country:us/state:mn/county:anoka,Anoka,Ramsey Municipal Center / City Hall,7550 Sunwood Dr NW,,Ramsey,MN,55303,800,1700,11-07-2016,11-07-2016,False,False,False,,198,"7550 Sunwood Dr NW, Ramsey, MN 55303",,08:00 AM-05:00 PM,,ho20225750,false,true,,,,poll0198
ocd-division/country:us/state:mn/county:anoka,Anoka,Spring Lake Park City Offices,1301 81st Ave NE,,Spring Lake Park,MN,55432,800,1630,09-23-2016,09-23-2016,False,False,False,,199,"1301 81st Ave NE, Spring Lake Park, MN 55432",,08:00 AM-04:30 PM,,ho90689680,false,true,,,,poll0199
ocd-division/country:us/state:mn/county:anoka,Anoka,Spring Lake Park City Offices,1301 81st Ave NE,,Spring Lake Park,MN,55432,1000,1500,11-05-2016,11-05-2016,False,False,False,,206,"1301 81st Ave NE, Spring Lake Park, MN 55432",,10:00 AM-03:00 PM,,ho90689680,false,true,,,,poll0206
ocd-division/country:us/state:mn/county:anoka,Anoka,Spring Lake Park City Offices,1301 81st Ave NE,,Spring Lake Park,MN,55432,800,1700,11-07-2016,11-07-2016,False,False,False,,207,"1301 81st Ave NE, Spring Lake Park, MN 55432",,08:00 AM-05:00 PM,,ho90689680,false,true,,,,poll0207
ocd-division/country:us/state:mn/county:anoka,Anoka,St. Francis City Hall,23340 Cree St NW,,St. Francis,MN,55070,700,1730,09-26-2016,09-29-2016,False,False,False,,208,"23340 Cree St NW, St. Francis, MN 55070",,07:00 AM-05:30 PM,,ho3174074,false,true,,,,poll0208
ocd-division/country:us/state:mn/county:anoka,Anoka,St. Francis City Hall,23340 Cree St NW,,St. Francis,MN,55070,1000,1500,11-05-2016,11-05-2016,False,False,False,,214,"23340 Cree St NW, St. Francis, MN 55070",,10:00 AM-03:00 PM,,ho3174074,false,true,,,,poll0214
ocd-division/country:us/state:mn/county:anoka,Anoka,Anoka County Elections Office,325 E Main St,Ste W130,Anoka,MN,55303,800,1630,09-23-2016,09-23-2016,False,False,False,,216,"325 E Main St Ste W130, Anoka, MN 55303",,08:00 AM-04:30 PM,,ho68203068,false,true,,,,poll0216
ocd-division/country:us/state:mn/county:anoka,Anoka,Anoka County Elections Office,325 E Main St,Ste W130,Anoka,MN,55303,1000,1500,11-05-2016,11-05-2016,False,False,False,,223,"325 E Main St Ste W130, Anoka, MN 55303",,10:00 AM-03:00 PM,,ho68203068,false,true,,,,poll0223
ocd-division/country:us/state:mn/county:anoka,Anoka,Anoka County Elections Office,325 E Main St,Ste W130,Anoka,MN,55303,800,1700,11-07-2016,11-07-2016,False,False,False,,224,"325 E Main St Ste W130, Anoka, MN 55303",,08:00 AM-05:00 PM,,ho68203068,false,true,,,,poll0224
