ocd_division,county,location_name,address_1,address_2,city,state,zip,start_time,end_time,start_date,end_date,is_only_by_appointment,is_or_by_appointment,appointment_phone_num,is_subject_to_change,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
ocd-division/country:us/state:mn/county:becker,Becker,Becker County Courthouse,915 Lake Ave,,Detroit Lakes,MN,56501,800,1630,09-23-2016,09-23-2016,False,False,False,,225,"915 Lake Ave, Detroit Lakes, MN 56501",,08:00 AM-04:30 PM,,ho43657871,false,true,,,,poll43825063
ocd-division/country:us/state:mn/county:becker,Becker,Becker County Courthouse,915 Lake Ave,,Detroit Lakes,MN,56501,800,1630,09-26-2016,09-30-2016,False,False,False,,226,"915 Lake Ave, Detroit Lakes, MN 56501",,08:00 AM-04:30 PM,,ho43657871,false,true,,,,poll43825063
ocd-division/country:us/state:mn/county:becker,Becker,Becker County Courthouse,915 Lake Ave,,Detroit Lakes,MN,56501,800,1630,10-03-2016,10-07-2016,False,False,False,,227,"915 Lake Ave, Detroit Lakes, MN 56501",,08:00 AM-04:30 PM,,ho43657871,false,true,,,,poll43825063
ocd-division/country:us/state:mn/county:becker,Becker,Becker County Courthouse,915 Lake Ave,,Detroit Lakes,MN,56501,800,1630,10-10-2016,10-14-2016,False,False,False,,228,"915 Lake Ave, Detroit Lakes, MN 56501",,08:00 AM-04:30 PM,,ho43657871,false,true,,,,poll43825063
ocd-division/country:us/state:mn/county:becker,Becker,Becker County Courthouse,915 Lake Ave,,Detroit Lakes,MN,56501,800,1630,10-17-2016,10-21-2016,False,False,False,,229,"915 Lake Ave, Detroit Lakes, MN 56501",,08:00 AM-04:30 PM,,ho43657871,false,true,,,,poll43825063
ocd-division/country:us/state:mn/county:becker,Becker,Becker County Courthouse,915 Lake Ave,,Detroit Lakes,MN,56501,800,1630,10-24-2016,10-28-2016,False,False,False,,230,"915 Lake Ave, Detroit Lakes, MN 56501",,08:00 AM-04:30 PM,,ho43657871,false,true,,,,poll43825063
ocd-division/country:us/state:mn/county:becker,Becker,Becker County Courthouse,915 Lake Ave,,Detroit Lakes,MN,56501,800,1630,10-31-2016,11-04-2016,False,False,False,,231,"915 Lake Ave, Detroit Lakes, MN 56501",,08:00 AM-04:30 PM,,ho43657871,false,true,,,,poll43825063
ocd-division/country:us/state:mn/county:becker,Becker,Becker County Courthouse,915 Lake Ave,,Detroit Lakes,MN,56501,1000,1500,11-05-2016,11-05-2016,False,False,False,,232,"915 Lake Ave, Detroit Lakes, MN 56501",,10:00 AM-03:00 PM,,ho43657871,false,true,,,,poll43825063
ocd-division/country:us/state:mn/county:becker,Becker,Becker County Courthouse,915 Lake Ave,,Detroit Lakes,MN,56501,800,1700,11-07-2016,11-07-2016,False,False,False,,233,"915 Lake Ave, Detroit Lakes, MN 56501",,08:00 AM-05:00 PM,,ho43657871,false,true,,,,poll43825063
ocd-division/country:us/state:mn/county:beltrami,Beltrami,Beltrami County Administration Building,701 Minnesota Ave NW,Ste 220,Bemidji,MN,56601,800,1630,09-23-2016,09-23-2016,False,False,False,,234,"701 Minnesota Ave NW Ste 220, Bemidji, MN 56601",,08:00 AM-04:30 PM,,ho70805654,false,true,,,,poll53592787
