office,name,adr_1,adr_2,dirs,city,state,zip,start_time,end_time,start_date,end_date,appt,ocd-id,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Kotlik,KOTLIK CITY CLERK'S OFFICE,4 Main St,,,Kotlik,AK,99620,09:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:39,365,"4 Main St, Kotlik, AK 99620",,09:00 AM - 05:00 PM,,ho23796633,false,true,,,,poll23796633
Kotlik,KOTLIK CITY CLERK'S OFFICE,4 Main St,,,Kotlik,AK,99620,09:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:39,366,"4 Main St, Kotlik, AK 99620",,09:00 AM - 05:00 PM,,ho23796633,false,true,,,,poll23796633
SEWARD,SEWARD CITY CLERK'S OFFICE,410 ADAMS ST,,,Seward,AK,99664,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:29,367,"410 Adams St, Seward, AK 99664",,08:00 AM - 05:00 PM,,ho54079126,false,true,,,,poll54079126
SEWARD,SEWARD CITY CLERK'S OFFICE,410 ADAMS ST,,,Seward,AK,99664,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:29,368,"410 Adams St, Seward, AK 99664",,08:00 AM - 05:00 PM,,ho54079126,false,true,,,,poll54079126
SEWARD,SEWARD CITY CLERK'S OFFICE,410 ADAMS ST,,,Seward,AK,99664,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:29,369,"410 Adams St, Seward, AK 99664",,08:00 AM - 05:00 PM,,ho54079126,false,true,,,,poll54079126
Unalaska,UNALASKA CITY CLERK'S OFFICE,43 RAVEN WAY,,,Unalaska,AK,99685,08:00:00 - 08:00,16:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:37,370,"43 Raven Way, Unalaska, AK 99685",,08:00 AM - 04:00 PM,,ho56534806,false,true,,,,poll56534806
Unalaska,UNALASKA CITY CLERK'S OFFICE,43 RAVEN WAY,,,Unalaska,AK,99685,08:00:00 - 08:00,16:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:37,371,"43 Raven Way, Unalaska, AK 99685",,08:00 AM - 04:00 PM,,ho56534806,false,true,,,,poll56534806
Unalaska,UNALASKA CITY CLERK'S OFFICE,43 RAVEN WAY,,,Unalaska,AK,99685,08:00:00 - 08:00,16:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:37,372,"43 Raven Way, Unalaska, AK 99685",,08:00 AM - 04:00 PM,,ho56534806,false,true,,,,poll56534806
Homer City ,HOMER CITY CLERK'S OFFICE,491 E PIONEER AVE,,,Homer,AK,99603,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:29,373,"491 E Pioneer Ave, Homer, AK 99603",,08:00 AM - 05:00 PM,,ho5000065,false,true,,,,poll5000065
Homer City ,HOMER CITY CLERK'S OFFICE,491 E PIONEER AVE,,,Homer,AK,99603,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:29,374,"491 E Pioneer Ave, Homer, AK 99603",,08:00 AM - 05:00 PM,,ho5000065,false,true,,,,poll5000065
Homer City ,HOMER CITY CLERK'S OFFICE,491 E PIONEER AVE,,,Homer,AK,99603,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:29,375,"491 E Pioneer Ave, Homer, AK 99603",,08:00 AM - 05:00 PM,,ho5000065,false,true,,,,poll5000065
METLAKATLA,METLAKATLA SECRETARY'S OFFICE,5 Milton St,,,METLAKATLA,AK,99926,08:00:00 - 08:00,16:30:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:36,379,"5 Milton St, Metlakatla, AK 99926",,08:00 AM - 04:30 PM,,ho83074153,false,true,,,,poll83074153
METLAKATLA,METLAKATLA SECRETARY'S OFFICE,5 Milton St,,,METLAKATLA,AK,99926,08:00:00 - 08:00,16:30:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:36,380,"5 Milton St, Metlakatla, AK 99926",,08:00 AM - 04:30 PM,,ho83074153,false,true,,,,poll83074153
METLAKATLA,METLAKATLA SECRETARY'S OFFICE,5 Milton St,,,METLAKATLA,AK,99926,08:00:00 - 08:00,16:30:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:36,381,"5 Milton St, Metlakatla, AK 99926",,08:00 AM - 04:30 PM,,ho83074153,false,true,,,,poll83074153
KLAWOCK,KLAWOCK CITY CLERK'S OFFICE,550 SUMMIT ST,,,Klawock,AK,99925,09:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:35,382,"550 Summit St, Klawock, AK 99925",,09:00 AM - 05:00 PM,,ho51698342,false,true,,,,poll51698342
KLAWOCK,KLAWOCK CITY CLERK'S OFFICE,550 SUMMIT ST,,,Klawock,AK,99925,09:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:35,383,"550 Summit St, Klawock, AK 99925",,09:00 AM - 05:00 PM,,ho51698342,false,true,,,,poll51698342
KLAWOCK,KLAWOCK CITY CLERK'S OFFICE,550 SUMMIT ST,,,Klawock,AK,99925,09:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:35,384,"550 Summit St, Klawock, AK 99925",,09:00 AM - 05:00 PM,,ho51698342,false,true,,,,poll51698342
PORT GRAHAM,PORT GRAHAM COMMUNITY HALL,5510 Graham Rd ,,,PORT GRAHAM,AK,99603,09:00:00 - 08:00,13:00:00 - 08:00,10/24/16,10/24/16,,ocd-division/country:us/state:ak/sldl:32,385,"5510 Graham Rd, Port Graham, AK 99603",,09:00 AM - 01:00 PM,,ho62234679,false,true,,,,poll62234679
