index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
252,"B J Clark Annex Room 4 603 Southeast Parkway, Azle, TX 76020",,08:00 AM-05:00 PM,,ho35885233,false,true,,,,poll57264835
257,"Bedford Public Library 2424 Forest Ridge Drive, Bedford, TX 76021",,08:00 AM-05:00 PM,,ho45930332,false,true,,,,poll32436821
262,"Benbrook Community Center 228 San Angelo Avenue, Benbrook, TX 76126",,08:00 AM-05:00 PM,,ho12503934,false,true,,,,poll48306452
267,"Colleyville City Hall 100 Main Street, Colleyville, TX 76034",,08:00 AM-05:00 PM,,ho64483763,false,true,,,,poll43163079
272,"Crowley Community Center 900 E Glendale Street, Crowley, TX 76036",,08:00 AM-05:00 PM,,ho74085043,false,true,,,,poll66157685
277,"Euless Public Library 201 N Ector Drive, Euless, TX 76039",,08:00 AM-05:00 PM,,ho53968639,false,true,,,,poll12880125
282,"Forest Hill Civic and Convention Center 6901 Wichita Street, Forest Hill, TX 76140",,08:00 AM-05:00 PM,,ho57416799,false,true,,,,poll16281941
287,"All Saints Catholic Church Parish Hall 200 NW 20th Street, Fort Worth, TX 76164",,08:00 AM-05:00 PM,,ho54310166,false,true,,,,poll68500457
292,"Diamond Hill/Jarvis Library 1300 NE 35th Street, Fort Worth, TX 76106",,08:00 AM-05:00 PM,,ho46872439,false,true,,,,poll66209763
297,"Griffin Sub Courthouse 3212 Miller Avenue, Fort Worth, TX 76119",,08:00 AM-05:00 PM,,ho63074615,false,true,,,,poll25001906
302,"Handley Meadowbrook Community Center 6201 Beaty Street, Fort Worth, TX 76112",,08:00 AM-05:00 PM,,ho64495237,false,true,,,,poll15320994
307,"JPS Health Center Viola M. Pitts/Como Lower Level Suite 100 4701 Bryant Irvin Road N, Fort Worth, TX 76107",,08:00 AM-05:00 PM,,ho3497418,false,true,,,,poll12111291
312,"Longhorn Activity Center 5350 Basswood Boulevard, Fort Worth, TX 76137",,08:00 AM-05:00 PM,,ho70709802,false,true,,,,poll49851103
317,"Rosemont Middle School 1501 West Seminary Drive, Fort Worth, TX 76115",,08:00 AM-05:00 PM,,ho78185675,false,true,,,,poll77659212
322,"Southside Community Center 959 E Rosedale Street, Fort Worth, TX 76104",,08:00 AM-05:00 PM,,ho58427147,false,true,,,,poll24305660
327,"Southwest Community Center 6300 Welch Avenue, Fort Worth, TX 76133",,08:00 AM-05:00 PM,,ho51024570,false,true,,,,poll24852489
332,"Southwest Sub Courthouse 6551 Granbury Road, Fort Worth, TX 76133",,08:00 AM-05:00 PM,,ho67937439,false,true,,,,poll42263835
337,"Tarrant County Plaza Building 201 Burnett Street, Fort Worth, TX 76102",,08:00 AM-05:00 PM,,ho10948415,false,true,,,,poll43760344
342,"Villages of Woodland Springs Amenity Center 12209 Timberland Boulevard, Fort Worth, TX 76244",,08:00 AM-05:00 PM,,ho37380029,false,true,,,,poll65210493
347,"Worth Heights Community Center 3551 New York Avenue, Fort Worth, TX 76110",,08:00 AM-05:00 PM,,ho57128833,false,true,,,,poll51134757
352,"Asia Times Square II 2615 W Pioneer Parkway, Grand Prairie, TX 75051",,08:00 AM-05:00 PM,,ho70489733,false,true,,,,poll44550601
357,"Lake Park Operations Center 5610 Lake Ridge Parkway, Grand Prairie, TX 75052",,08:00 AM-05:00 PM,,ho33426770,false,true,,,,poll42710987
362,"The REC of Grapevine 1175 Municipal Way, Grapevine, TX 76051",,08:00 AM-05:00 PM,,ho22508944,false,true,,,,poll46120116
367,"Haltom City Northeast Center 3201 Friendly Lane, Haltom City, TX 76117",,08:00 AM-05:00 PM,,ho96486661,false,true,,,,poll14688701
372,"Hurst Recreation Center 700 Mary Drive, Hurst, TX 76053",,08:00 AM-05:00 PM,,ho46145127,false,true,,,,poll15643428
377,"Northeast Courthouse Bear Creek Community Room 645 Grapevine Highway, Hurst, TX 76054",,08:00 AM-05:00 PM,,ho43393693,false,true,,,,poll57009007
382,"Keller Town Hall 1100 Bear Creek Parkway, Keller, TX 76248",,08:00 AM-05:00 PM,,ho4367424,false,true,,,,poll41082309
387,"Kennedale Community Center 316 W 3rd Street, Kennedale, TX 76060",,08:00 AM-05:00 PM,,ho11987191,false,true,,,,poll44142422
392,"Sheriff s Office North Patrol Division 6651 Lake Worth Boulevard, Lake Worth, TX 76135",,08:00 AM-05:00 PM,,ho83325514,false,true,,,,poll44487272
397,"Mansfield Sub Courthouse 1100 E Broad Street, Mansfield, TX 76063",,08:00 AM-05:00 PM,,ho43647841,false,true,,,,poll3577705
402,"Dan Echols Center 6801 Glenview Drive, N Richland Hills, TX 76180",,08:00 AM-05:00 PM,,ho77802234,false,true,,,,poll75130281
407,"Eagle Mountain Saginaw ISD Administration Building 6 Training Room 1200 Old Decatur Road, Saginaw, TX 76179",,08:00 AM-05:00 PM,,ho75676678,false,true,,,,poll55948700
412,"Southlake Town Hall 1400 Main Street, Southlake, TX 76092",,08:00 AM-05:00 PM,,ho74489220,false,true,,,,poll66380636
417,"White Settlement Public Library 8215 White Settlement Road, White Settlement, TX 76108",,08:00 AM-05:00 PM,,ho5950062,false,true,,,,poll94785138
422,"Southwestern Baptist Theological Seminary Naylor Student Center 1900 West Boyce Avenue, Fort Worth, TX 76115",,08:00 AM-05:00 PM,,ho50382313,false,true,,,,poll82924175
423,"Texas Wesleyan University Brown Lupton Student Center 1108 South Collard Street, Fort Worth, TX 76105",,08:00 AM-05:00 PM,,ho7352203,false,true,,,,poll51498804
424,"Health Science Center Carl E. Everett Education and Administration Building 3500 Camp Bowie Boulevard, Fort Worth, TX 76107",,08:00 AM-05:00 PM,,ho47986215,false,true,,,,poll43761242
425,"Tarrant County College Northeast Campus Student Center NSTU 1506 828 W. Harwood Road, Hurst, TX 76054",,07:00 AM-07:00 PM,,ho53479150,false,true,,,,poll65127493
426,"Tarrant County College Northwest Campus Student Union WSTU 1303/05 4801 Marine Creek Parkway, Fort Worth, TX 76179",,07:00 AM-07:00 PM,,ho16601436,false,true,,,,poll76854365
427,"Tarrant County College South Campus Student Center 5301 Campus Drive Fort Worth 76119, Fort Worth, TX 76119",,07:00 AM-07:00 PM,,ho81292799,false,true,,,,poll34301229
428,"University of Texas at Arlington Maverick Activities Center 500 W. Nedderman Drive, Arlington, TX 76019",,07:00 AM-07:00 PM,,ho39067290,false,true,,,,poll64257566
429,"Texas Christian University Brown Lupton University Union 2901 Stadium Drive, Fort Worth, TX 76129",,07:00 AM-07:00 PM,,ho96991347,false,true,,,,poll21027471
430,"Taylor County Plaza Building, 400 Oak Street, Ste 101, Abilene, TX 79602",,08:00 AM-05:00 PM,,ho47531072,false,true,,,,poll71016343
434,"United Supermarket, 920 North Willis Street, Abilene, TX 79603",,10:00 AM-07:00 PM,,ho69380229,false,true,,,,poll4872361
438,"United Supermarket, 1095 North Judge Ely Boulevard, Abilene, TX 79601",,10:00 AM-07:00 PM,,ho52761211,false,true,,,,poll7930774
442,"Kmart, 4565 South 1st Street, Abilene, TX 79605",,10:00 AM-07:00 PM,,ho22700947,false,true,,,,poll76993191
446,"Mall of Abilene, 4310 Buffalo Gap Road, Abilene, TX 79606",,10:00 AM-07:00 PM,,ho45635863,false,true,,,,poll17563603
450,"121 N. Minter Ave., Throckmorton, TX 76483",,08:00 AM-04:00 PM,,ho19604591,false,true,,,,poll20815726
452,"113 W. Beauregard Ave, San Angelo, TX 76903",,08:00 AM-05:00 PM,,ho93225041,false,true,,,,poll38174304
456,"116 S. Charlton Street, Woodville, TX 75979",,08:00 AM-04:30 PM,,ho31337259,false,true,,,,poll44986021
460,"Uvalde Civic Center, 300 E Main St, Uvalde, TX 78801",,08:00 AM-05:00 PM,,ho46880190,false,true,,,,poll24710942
463,"Canton City Hall, 290 E. Tyler St, Canton, TX 75103",,08:00 AM-05:00 PM,,ho56436233,false,true,,,,poll93809366
468,"2805 N. Navarro St., Ste 500, Victoria, TX 77901-3947",,08:00 AM-05:00 PM,,ho27582609,false,true,,,,poll65512397
472,"Citizen s HealthPlex, 9406 Zac Lentz Parkway, Victoria, TX 77904",,08:00 AM-05:00 PM,,ho41968102,false,true,,,,poll37562418
474,"Bloomington Fire Station, 551 2nd Street West, Bloomington, TX 77951",,07:00 AM-07:00 PM,,ho86927696,false,true,,,,poll54992385
475,"DaCosta Volunteer Fire Department, 144 Commerce Drive, DaCosta, TX 77905",,08:00 AM-05:00 PM,,ho72796935,false,true,,,,poll31816901
476,"1301 Sam Houston Ave., Ste 100, Huntsville, TX 77340",,08:00 AM-05:00 PM,,ho88002950,false,true,,,,poll17930717
484,"400 South Allen St., Ste 101, Monahans, TX 79756",,08:00 AM-05:00 PM,,ho22764859,false,true,,,,poll34101985
