ocd-division,county,name,address_one,address_two,dirs,city,state,zip,start_time,end_time,start_date,end_date,appt_1,appt_2,appt_3,subject_to_change,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
ocd-division/country:us/state:ca/county:fresno,Fresno County,County Clerk-Registrar of Voters,2221 Kern Street,,,Fresno,CA,93721,8:00:00,17:00:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE,46,"2221 Kern Street, Fresno, CA 93721",,08:00 AM-05:00 PM,,ho56375565,FALSE,TRUE,,,,poll78433664
ocd-division/country:us/state:ca/county:fresno,Fresno County,County Clerk-Registrar of Voters,2221 Kern Street,,,Fresno,CA,93721,8:00:00,17:00:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE,47,"2221 Kern Street, Fresno, CA 93721",,08:00 AM-05:00 PM,,ho56375565,FALSE,TRUE,,,,poll78433664
ocd-division/country:us/state:ca/county:fresno,Fresno County,County Clerk-Registrar of Voters,2221 Kern Street,,,Fresno,CA,93721,8:00:00,17:00:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE,48,"2221 Kern Street, Fresno, CA 93721",,08:00 AM-05:00 PM,,ho56375565,FALSE,TRUE,,,,poll78433664
ocd-division/country:us/state:ca/county:glenn,Glenn County,County Clerk-Recorder,516 W. Sycamore Street,,,Willows,CA,95988,7:00:00,17:00:00,10/10/16,10/14/16,FALSE,FALSE,FALSE,FALSE,49,"516 W. Sycamore Street, Willows, CA 95988",,07:00 AM-05:00 PM,,ho88367127,FALSE,TRUE,,,,poll93785153
ocd-division/country:us/state:ca/county:glenn,Glenn County,County Clerk-Recorder,516 W. Sycamore Street,,,Willows,CA,95988,7:00:00,17:00:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE,50,"516 W. Sycamore Street, Willows, CA 95988",,07:00 AM-05:00 PM,,ho88367127,FALSE,TRUE,,,,poll93785153
ocd-division/country:us/state:ca/county:glenn,Glenn County,County Clerk-Recorder,516 W. Sycamore Street,,,Willows,CA,95988,7:00:00,17:00:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE,51,"516 W. Sycamore Street, Willows, CA 95988",,07:00 AM-05:00 PM,,ho88367127,FALSE,TRUE,,,,poll93785153
ocd-division/country:us/state:ca/county:glenn,Glenn County,County Clerk-Recorder,516 W. Sycamore Street,,,Willows,CA,95988,7:00:00,17:00:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE,52,"516 W. Sycamore Street, Willows, CA 95988",,07:00 AM-05:00 PM,,ho88367127,FALSE,TRUE,,,,poll93785153
ocd-division/country:us/state:ca/county:glenn,Glenn County,County Clerk-Recorder,516 W. Sycamore Street,,,Willows,CA,95988,6:00:00,20:00:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE,53,"516 W. Sycamore Street, Willows, CA 95988",,06:00 AM-08:00 PM,,ho88367127,FALSE,TRUE,,,,poll93785153
ocd-division/country:us/state:ca/county:humboldt,Humboldt County,County Clerk-Recorder-Registrar of Voters,"3033 H Street, Room 20",,,Eureka,CA,95501,8:30:00,17:00:00,10/11/16,10/14/16,FALSE,FALSE,FALSE,FALSE,54,"3033 H Street, Room 20, Eureka, CA 95501",,08:30 AM-05:00 PM,,ho85684882,FALSE,TRUE,,,,poll43127736
ocd-division/country:us/state:ca/county:humboldt,Humboldt County,County Clerk-Recorder-Registrar of Voters,"3033 H Street, Room 20",,,Eureka,CA,95501,8:30:00,17:00:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE,55,"3033 H Street, Room 20, Eureka, CA 95501",,08:30 AM-05:00 PM,,ho85684882,FALSE,TRUE,,,,poll43127736
ocd-division/country:us/state:ca/county:humboldt,Humboldt County,County Clerk-Recorder-Registrar of Voters,"3033 H Street, Room 20",,,Eureka,CA,95501,8:30:00,17:00:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE,56,"3033 H Street, Room 20, Eureka, CA 95501",,08:30 AM-05:00 PM,,ho85684882,FALSE,TRUE,,,,poll43127736
ocd-division/country:us/state:ca/county:humboldt,Humboldt County,County Clerk-Recorder-Registrar of Voters,"3033 H Street, Room 20",,,Eureka,CA,95501,8:30:00,17:00:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE,57,"3033 H Street, Room 20, Eureka, CA 95501",,08:30 AM-05:00 PM,,ho85684882,FALSE,TRUE,,,,poll43127736
ocd-division/country:us/state:ca/county:humboldt,Humboldt County,County Clerk-Recorder-Registrar of Voters,"3033 H Street, Room 20",,,Eureka,CA,95501,8:30:00,17:00:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE,58,"3033 H Street, Room 20, Eureka, CA 95501",,08:30 AM-05:00 PM,,ho85684882,FALSE,TRUE,,,,poll43127736
ocd-division/country:us/state:ca/county:imperial,Imperial County,Registrar of Voters,"940 Main Street, Ste 206",,,El Centro,CA,92243,8:00:00,17:00:00,10/11/16,10/14/16,FALSE,FALSE,FALSE,FALSE,59,"940 Main Street, Ste 206, El Centro, CA 92243",,08:00 AM-05:00 PM,,ho30293259,FALSE,TRUE,,,,poll48592718
ocd-division/country:us/state:ca/county:imperial,Imperial County,Registrar of Voters,"940 Main Street, Ste 206",,,El Centro,CA,92243,8:00:00,17:00:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE,60,"940 Main Street, Ste 206, El Centro, CA 92243",,08:00 AM-05:00 PM,,ho30293259,FALSE,TRUE,,,,poll48592718
ocd-division/country:us/state:ca/county:imperial,Imperial County,Registrar of Voters,"940 Main Street, Ste 206",,,El Centro,CA,92243,8:00:00,17:00:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE,61,"940 Main Street, Ste 206, El Centro, CA 92243",,08:00 AM-05:00 PM,,ho30293259,FALSE,TRUE,,,,poll48592718
ocd-division/country:us/state:ca/county:imperial,Imperial County,Registrar of Voters,"940 Main Street, Ste 206",,,El Centro,CA,92243,8:00:00,17:00:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE,62,"940 Main Street, Ste 206, El Centro, CA 92243",,08:00 AM-05:00 PM,,ho30293259,FALSE,TRUE,,,,poll48592718
ocd-division/country:us/state:ca/county:imperial,Imperial County,Registrar of Voters,"940 Main Street, Ste 206",,,El Centro,CA,92243,8:00:00,17:00:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE,63,"940 Main Street, Ste 206, El Centro, CA 92243",,08:00 AM-05:00 PM,,ho30293259,FALSE,TRUE,,,,poll48592718
ocd-division/country:us/state:ca/county:inyo,Inyo County,Inyo County Courthouse,168 N. Edwards St,Inyo County Elections,,Independence,CA,93526,8:00:00,17:00:00,10/10/16,10/14/16,FALSE,FALSE,FALSE,FALSE,64,"168 N. Edwards St Inyo County Elections, Independence, CA 93526",,08:00 AM-05:00 PM,,ho22306379,FALSE,TRUE,,,,poll67455466
ocd-division/country:us/state:ca/county:inyo,Inyo County,Inyo County Courthouse,168 N. Edwards St,Inyo County Elections,,Independence,CA,93526,8:00:00,17:00:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE,65,"168 N. Edwards St Inyo County Elections, Independence, CA 93526",,08:00 AM-05:00 PM,,ho22306379,FALSE,TRUE,,,,poll67455466
ocd-division/country:us/state:ca/county:inyo,Inyo County,Inyo County Courthouse,168 N. Edwards St,Inyo County Elections,,Independence,CA,93526,8:00:00,17:00:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE,66,"168 N. Edwards St Inyo County Elections, Independence, CA 93526",,08:00 AM-05:00 PM,,ho22306379,FALSE,TRUE,,,,poll67455466
ocd-division/country:us/state:ca/county:inyo,Inyo County,Inyo County Courthouse,168 N. Edwards St,Inyo County Elections,,Independence,CA,93526,8:00:00,17:00:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE,67,"168 N. Edwards St Inyo County Elections, Independence, CA 93526",,08:00 AM-05:00 PM,,ho22306379,FALSE,TRUE,,,,poll67455466
