name,loc_name,adr_1,adr_2,adr_3,city,state,zip,county,dirs,services,start_date,end_date,start_time,end_time,day_times,st_id,comments,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
"""Petroglyph Plaza""",Socorro County Clerk's Office,201 Church Street,,,Socorro,NM,87801,Socorro,,Absentee,10/17/16,10/21/16,08:00:00-07:00,17:00:00-7:00,October 11 - November 4 Mon - Fri 8 AM - 5 PM; November 5 Sat 9 AM - 5 PM,,,300,"201 Church Street, Socorro, NM 87801",,08:00 AM - 05:00 PM,,ho69238604,false,true,,,,poll69238604
"""Petroglyph Plaza""",Socorro County Clerk's Office,202 Church Street,,,Socorro,NM,87801,Socorro,,Absentee,10/24/16,10/28/16,08:00:00-07:00,17:00:00-7:00,October 11 - November 4 Mon - Fri 8 AM - 5 PM; November 5 Sat 9 AM - 5 PM,,,301,"202 Church Street, Socorro, NM 87801",,08:00 AM - 05:00 PM,,ho30040523,false,true,,,,poll30040523
"""Petroglyph Plaza""",Socorro County Clerk's Office,203 Church Street,,,Socorro,NM,87801,Socorro,,Absentee,10/31/16,11/4/16,08:00:00-07:00,17:00:00-7:00,October 11 - November 4 Mon - Fri 8 AM - 5 PM; November 5 Sat 9 AM - 5 PM,,,302,"203 Church Street, Socorro, NM 87801",,08:00 AM - 05:00 PM,,ho76739441,false,true,,,,poll76739441
"""Petroglyph Plaza""",Socorro County Clerk's Office,204 Church Street,,,Socorro,NM,87801,Socorro,,Absentee,11/5/16,11/5/16,09:00:00-07:00,17:00:00-7:00,October 11 - November 4 Mon - Fri 8 AM - 5 PM; November 5 Sat 9 AM - 5 PM,,,303,"204 Church Street, Socorro, NM 87801",,09:00 AM - 05:00 PM,,ho40021239,false,true,,,,poll40021239
"""Old Armory""",Datil Fire Station,16 Old State Road 60,,,Datil,NM,87821,Catron,,Early Voting,10/27/16,10/29/16,08:00:00-07:00,16:30:00-7:00,October 27 - October 29 Thu - Sat 8:00 AM - 4:30 PM,,,304,"16 Old State Road 60, Datil, NM 87821",,08:00 AM - 04:30 PM,,ho1857983,false,true,,,,poll1857983
"""Inn of the Mountain Gods""",Magdalena Senior Center,500 9th St.,,,Magdalena,NM,87825,Socorro,,Early Voting,10/22/16,10/22/16,09:00:00-07:00,17:00:00-7:00,"October 22 - November 5 Tue - Fri 10 AM - 6 PM, Sat 9 AM - 5 PM",,,305,"500 9th St., Magdalena, NM 87825",,09:00 AM - 05:00 PM,,ho21424790,false,true,,,,poll21424790
"""Inn of the Mountain Gods""",Magdalena Senior Center,501 9th St.,,,Magdalena,NM,87825,Socorro,,Early Voting,10/25/16,10/28/16,10:00:00-07:00,18:00:00-7:00,"October 22 - November 5 Tue - Fri 10 AM - 6 PM, Sat 9 AM - 5 PM",,,306,"501 9th St., Magdalena, NM 87825",,10:00 AM - 06:00 PM,,ho75032824,false,true,,,,poll75032824
"""Inn of the Mountain Gods""",Magdalena Senior Center,502 9th St.,,,Magdalena,NM,87825,Socorro,,Early Voting,10/29/16,10/29/16,09:00:00-07:00,17:00:00-7:00,"October 22 - November 5 Tue - Fri 10 AM - 6 PM, Sat 9 AM - 5 PM",,,307,"502 9th St., Magdalena, NM 87825",,09:00 AM - 05:00 PM,,ho34413271,false,true,,,,poll34413271
"""Inn of the Mountain Gods""",Magdalena Senior Center,503 9th St.,,,Magdalena,NM,87825,Socorro,,Early Voting,11/1/16,11/4/16,10:00:00-07:00,18:00:00-7:00,"October 22 - November 5 Tue - Fri 10 AM - 6 PM, Sat 9 AM - 5 PM",,,308,"503 9th St., Magdalena, NM 87825",,10:00 AM - 06:00 PM,,ho77586055,false,true,,,,poll77586055
"""Inn of the Mountain Gods""",Magdalena Senior Center,504 9th St.,,,Magdalena,NM,87825,Socorro,,Early Voting,11/5/16,11/5/16,09:00:00-07:00,17:00:00-7:00,"October 22 - November 5 Tue - Fri 10 AM - 6 PM, Sat 9 AM - 5 PM",,,309,"504 9th St., Magdalena, NM 87825",,09:00 AM - 05:00 PM,,ho50990606,false,true,,,,poll50990606
