ocd_division,homepage_url,county,location_name,address_1,address_2,city,state,zip_code,start_time,end_time,start_date,end_date,is_only_by_appointment,is_or_by_appointment,appointment_phone,is_subject_to_change,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
ocd-division/country:us/state:oh/county:allen,http://www.allencountyohio.com/boe,Allen County,Courthouse,204 N. Main St.,Lower Level,Lima,OH,45801,08:00:00 - 04:00,17:00:00 - 04:00,10-17-2016,10-21-2016,False,False,False,False,11,"Courthouse, 204 N. Main St. Lower Level, Lima, OH 45801",,08:00 AM-05:00 PM,,ho25716855,false,false,,,,poll79604716
ocd-division/country:us/state:oh/county:allen,http://www.allencountyohio.com/boe,Allen County,Courthouse,204 N. Main St.,Lower Level,Lima,OH,45801,08:00:00 - 04:00,18:00:00 - 04:00,10-24-2016,10-28-2016,False,False,False,False,12,"Courthouse, 204 N. Main St. Lower Level, Lima, OH 45801",,08:00 AM-06:00 PM,,ho25716855,false,false,,,,poll79604716
ocd-division/country:us/state:oh/county:allen,http://www.allencountyohio.com/boe,Allen County,Courthouse,204 N. Main St.,Lower Level,Lima,OH,45801,08:00:00 - 04:00,16:00:00 - 04:00,10-29-2016,10-29-2016,False,False,False,False,13,"Courthouse, 204 N. Main St. Lower Level, Lima, OH 45801",,08:00 AM-04:00 PM,,ho25716855,false,false,,,,poll79604716
ocd-division/country:us/state:oh/county:allen,http://www.allencountyohio.com/boe,Allen County,Courthouse,204 N. Main St.,Lower Level,Lima,OH,45801,13:00:00 - 04:00,17:00:00 - 04:00,10-30-2016,10-30-2016,False,False,False,False,14,"Courthouse, 204 N. Main St. Lower Level, Lima, OH 45801",,01:00 PM-05:00 PM,,ho25716855,false,false,,,,poll79604716
ocd-division/country:us/state:oh/county:allen,http://www.allencountyohio.com/boe,Allen County,Courthouse,204 N. Main St.,Lower Level,Lima,OH,45801,08:00:00 - 04:00,19:00:00 - 04:00,10-31-2016,11-04-2016,False,False,False,False,15,"Courthouse, 204 N. Main St. Lower Level, Lima, OH 45801",,08:00 AM-07:00 PM,,ho25716855,false,false,,,,poll79604716
ocd-division/country:us/state:oh/county:allen,http://www.allencountyohio.com/boe,Allen County,Courthouse,204 N. Main St.,Lower Level,Lima,OH,45801,08:00:00 - 04:00,16:00:00 - 04:00,11-05-2016,11-05-2016,False,False,False,False,16,"Courthouse, 204 N. Main St. Lower Level, Lima, OH 45801",,08:00 AM-04:00 PM,,ho25716855,false,false,,,,poll79604716
ocd-division/country:us/state:oh/county:allen,http://www.allencountyohio.com/boe,Allen County,Courthouse,204 N. Main St.,Lower Level,Lima,OH,45801,13:00:00 - 05:00,17:00:00 - 05:00,11-06-2016,11-06-2016,False,False,False,False,17,"Courthouse, 204 N. Main St. Lower Level, Lima, OH 45801",,01:00 PM-05:00 PM,,ho25716855,false,false,,,,poll79604716
ocd-division/country:us/state:oh/county:allen,http://www.allencountyohio.com/boe,Allen County,Courthouse,204 N. Main St.,Lower Level,Lima,OH,45801,08:00:00 - 05:00,14:00:00 - 05:00,11-07-2016,11-07-2016,False,False,False,False,18,"Courthouse, 204 N. Main St. Lower Level, Lima, OH 45801",,08:00 AM-02:00 PM,,ho25716855,false,false,,,,poll79604716
ocd-division/country:us/state:oh/county:ashland,http://www.ashlandboe.com/,Ashland County,,110 Cottage St.,Ste 106,Ashland,OH,44805,08:00:00 - 04:00,17:00:00 - 04:00,10-12-2016,10-14-2016,False,False,False,False,19,"110 Cottage St. Ste 106, Ashland, OH 44805",,08:00 AM-05:00 PM,,ho47946498,false,false,,,,poll17508488
ocd-division/country:us/state:oh/county:ashland,http://www.ashlandboe.com/,Ashland County,,110 Cottage St.,Ste 106,Ashland,OH,44805,08:00:00 - 04:00,17:00:00 - 04:00,10-17-2016,10-21-2016,False,False,False,False,20,"110 Cottage St. Ste 106, Ashland, OH 44805",,08:00 AM-05:00 PM,,ho47946498,false,false,,,,poll17508488
ocd-division/country:us/state:oh/county:ashland,http://www.ashlandboe.com/,Ashland County,,110 Cottage St.,Ste 106,Ashland,OH,44805,08:00:00 - 04:00,18:00:00 - 04:00,10-24-2016,10-28-2016,False,False,False,False,21,"110 Cottage St. Ste 106, Ashland, OH 44805",,08:00 AM-06:00 PM,,ho47946498,false,false,,,,poll17508488
