name,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Boundary Waters Aquatic Center,"5000 Ga. Hwy 92, Douglasville, GA 30135",,08:00 AM - 05:00 PM,,ho82089372,false,true,,,,poll60568373
Deer Lick Park Recreation Center,"2105 Mack Road, Douglasville, GA 30135",,08:00 AM - 05:00 PM,,ho68486125,false,true,,,,poll32318889
Dog River Library,"6100 Ga. Hwy 5, Douglasville, GA 30135",,08:00 AM - 05:00 PM,,ho32108171,false,true,,,,poll41090701
Old Douglas County Courthouse,"6745 Church Street, Douglasville, GA 30134",,08:00 AM - 05:00 PM,,ho57880986,false,true,,,,poll86549608
Elections and Registration Office,"17 McDonald Ave, Blakely, GA 39823",,08:30 AM - 04:30 PM,,ho87991493,false,true,,,,poll25533280
Registrar's Office,"45 Forest Avenue, Elberton, GA 30635",,08:00 AM - 05:00 PM,,ho40466631,false,true,,,,poll97770072
Evan's County Registrar's Office,"201 Freeman Street, Claxton, GA 30417",Suite 10,08:00 AM - 05:00 PM,,ho88222931,false,true,,,,poll55267020
Fannin County Board of Elections and Registration,"400 West Main Street, Blue Ridge, GA 30513",Suite 301,09:00 AM - 05:00 PM,,ho32292654,false,true,,,,poll18278743
Fayette County Elections Office,"140 Stonewall Avenue West, Fayetteville, GA 30214",Suite 209 A/Public Meeting Room,08:00 AM - 05:00 PM,,ho74517671,false,true,,,,poll99744808
Peachtree City Library,"201 Willow Bend Rd, Peachtree City, GA 30269",,08:00 AM - 05:00 PM,,ho50628061,false,true,,,,poll66186326
Tyrone Town Hall,"881 Senoia Rd, Tyrone, GA 30290",,08:00 AM - 05:00 PM,,ho83634110,false,true,,,,poll67969312
Franklin County Elections & Registration Office,"211 Athens Street, Carnesville, GA 30521",,08:00 AM - 04:30 PM,,ho60796990,false,true,,,,poll80660671
Fulton County Government Center,"130 Peachtree Street SW, Atlanta, GA 30303",,07:00 AM - 07:00 PM,,ho18985885,false,true,,,,poll64097565
North Fulton Service Center,"7741 Roswell Road, Sandy Springs, GA 30350",Suite 232,07:00 AM - 07:00 PM,,ho49230981,false,true,,,,poll58780879
College Park Library,"3647 Main Street, College Park, GA 30337",,07:00 AM - 07:00 PM,,ho82928720,false,true,,,,poll38683899
South Fulton Service Center,"5600 Stonewall Tell Road, College Park, GA 30349",Room 108,07:00 AM - 07:00 PM,,ho96319970,false,true,,,,poll97375787
East Roswell Library,"2301 Holcomb Bridge Road, Roswell, GA 30076",,07:00 AM - 07:00 PM,,ho26570398,false,true,,,,poll68941876
Adamsville Recreation Center,"3201 MLK Jr. Dr. SW, Atlanta, GA 30311",,07:00 AM - 07:00 PM,,ho47841958,false,true,,,,poll58604394
Chastain Park Recreation Center,"140 W. Wieuca Rd. NW, Atlanta, GA 30305",,07:00 AM - 07:00 PM,,ho35321995,false,true,,,,poll22063691
Robert F. Fulton Ocee Library,"5090 Abbotts Bridge Road, Johns Creek, GA 30355",,07:00 AM - 07:00 PM,,ho36816989,false,true,,,,poll94396738
John Creek Environmental Campus,"8100 Holcomb Bridge Road, Alpharetta, GA 30022",,07:00 AM - 07:00 PM,,ho98332788,false,true,,,,poll9982785
Northeast Spruill Oaks Library,"9560 Spruill Road, Johns Creek, GA 30022",,07:00 AM - 07:00 PM,,ho69328735,false,true,,,,poll495357
Milton Library,"855 Mayfield Road, Milton, GA 30009",,07:00 AM - 07:00 PM,,ho30544110,false,true,,,,poll2792244
