ocd_division,county,location_name,address_1,address_2,dirs,city,state,zip,start_time,end_time,start_date,end_date,is_only_by_appointment,is_or_by_appointment,is_subject_to_change,index,name,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
ocd-division/country:us/state:mn/place:northfield,Rice,City Clerk's Office,801 Washington St,,,Northfield,MN,55057,800,1700,10/17/16,10/21/16,False,False,False,494,City Clerk's Office,"801 Washington St, Northfield, MN 55057", ,08:00 AM-05:00 PM,,ho35980089,false,true,,,,poll64068567
ocd-division/country:us/state:mn/place:northfield,Rice,City Clerk's Office,801 Washington St,,,Northfield,MN,55057,800,1700,10/24/16,10/28/16,False,False,False,495,City Clerk's Office,"801 Washington St, Northfield, MN 55057", ,08:00 AM-05:00 PM,,ho35980089,false,true,,,,poll64068567
ocd-division/country:us/state:mn/place:northfield,Rice,City Clerk's Office,801 Washington St,,,Northfield,MN,55057,800,1700,10/31/16,11/4/16,False,False,False,496,City Clerk's Office,"801 Washington St, Northfield, MN 55057", ,08:00 AM-05:00 PM,,ho35980089,false,true,,,,poll64068567
ocd-division/country:us/state:mn/place:northfield,Rice,City Clerk's Office,801 Washington St,,,Northfield,MN,55057,1000,1500,11/5/16,11/5/16,False,False,False,497,City Clerk's Office,"801 Washington St, Northfield, MN 55057", ,10:00 AM-03:00 PM,,ho35980089,false,true,,,,poll64068567
ocd-division/country:us/state:mn/place:northfield,Rice,City Clerk's Office,801 Washington St,,,Northfield,MN,55057,800,1700,11/7/16,11/7/16,False,False,False,498,City Clerk's Office,"801 Washington St, Northfield, MN 55057", ,08:00 AM-05:00 PM,,ho35980089,false,true,,,,poll64068567
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Northern Service Center,1 Mendota Rd,,,West St Paul,MN,55118,800,1200,9/23/16,9/23/16,False,False,False,499,Dakota County Northern Service Center,"1 Mendota Rd, West St Paul, MN 55118", ,08:00 AM-12:00 PM,,ho57866660,false,true,,,,poll7327913
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Northern Service Center,1 Mendota Rd,,,West St Paul,MN,55118,1300,1630,9/23/16,9/23/16,False,False,False,500,Dakota County Northern Service Center,"1 Mendota Rd, West St Paul, MN 55118", ,01:00 PM-04:30 PM,,ho57866660,false,true,,,,poll7327913
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Northern Service Center,1 Mendota Rd,,,West St Paul,MN,55118,800,1200,9/26/16,9/30/16,False,False,False,501,Dakota County Northern Service Center,"1 Mendota Rd, West St Paul, MN 55118", ,08:00 AM-12:00 PM,,ho57866660,false,true,,,,poll7327913
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Northern Service Center,1 Mendota Rd,,,West St Paul,MN,55118,1300,1630,9/26/16,9/30/16,False,False,False,502,Dakota County Northern Service Center,"1 Mendota Rd, West St Paul, MN 55118", ,01:00 PM-04:30 PM,,ho57866660,false,true,,,,poll7327913
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Northern Service Center,1 Mendota Rd,,,West St Paul,MN,55118,800,1200,10/3/16,10/7/16,False,False,False,503,Dakota County Northern Service Center,"1 Mendota Rd, West St Paul, MN 55118", ,08:00 AM-12:00 PM,,ho57866660,false,true,,,,poll7327913
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Northern Service Center,1 Mendota Rd,,,West St Paul,MN,55118,1300,1630,10/3/16,10/7/16,False,False,False,504,Dakota County Northern Service Center,"1 Mendota Rd, West St Paul, MN 55118", ,01:00 PM-04:30 PM,,ho57866660,false,true,,,,poll7327913
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Northern Service Center,1 Mendota Rd,,,West St Paul,MN,55118,800,1200,10/10/16,10/14/16,False,False,False,505,Dakota County Northern Service Center,"1 Mendota Rd, West St Paul, MN 55118", ,08:00 AM-12:00 PM,,ho57866660,false,true,,,,poll7327913
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Northern Service Center,1 Mendota Rd,,,West St Paul,MN,55118,100,1630,10/10/16,10/14/16,False,False,False,506,Dakota County Northern Service Center,"1 Mendota Rd, West St Paul, MN 55118", ,01:00 AM-04:30 PM,,ho57866660,false,true,,,,poll7327913
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Northern Service Center,1 Mendota Rd,,,West St Paul,MN,55118,800,1200,10/17/16,10/21/16,False,False,False,507,Dakota County Northern Service Center,"1 Mendota Rd, West St Paul, MN 55118", ,08:00 AM-12:00 PM,,ho57866660,false,true,,,,poll7327913
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Northern Service Center,1 Mendota Rd,,,West St Paul,MN,55118,1300,1630,10/17/16,10/21/16,False,False,False,508,Dakota County Northern Service Center,"1 Mendota Rd, West St Paul, MN 55118", ,01:00 PM-04:30 PM,,ho57866660,false,true,,,,poll7327913
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Northern Service Center,1 Mendota Rd,,,West St Paul,MN,55118,800,1200,10/24/16,10/28/16,False,False,False,509,Dakota County Northern Service Center,"1 Mendota Rd, West St Paul, MN 55118", ,08:00 AM-12:00 PM,,ho57866660,false,true,,,,poll7327913
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Northern Service Center,1 Mendota Rd,,,West St Paul,MN,55118,1300,1630,10/24/16,10/28/16,False,False,False,510,Dakota County Northern Service Center,"1 Mendota Rd, West St Paul, MN 55118", ,01:00 PM-04:30 PM,,ho57866660,false,true,,,,poll7327913
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Northern Service Center,1 Mendota Rd,,,West St Paul,MN,55118,800,1200,10/31/16,11/4/16,False,False,False,511,Dakota County Northern Service Center,"1 Mendota Rd, West St Paul, MN 55118", ,08:00 AM-12:00 PM,,ho57866660,false,true,,,,poll7327913
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Northern Service Center,1 Mendota Rd,,,West St Paul,MN,55118,1300,1630,10/31/16,11/4/16,False,False,False,512,Dakota County Northern Service Center,"1 Mendota Rd, West St Paul, MN 55118", ,01:00 PM-04:30 PM,,ho57866660,false,true,,,,poll7327913
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Northern Service Center,1 Mendota Rd,,,West St Paul,MN,55118,1000,1500,11/5/16,11/5/16,False,False,False,513,Dakota County Northern Service Center,"1 Mendota Rd, West St Paul, MN 55118", ,10:00 AM-03:00 PM,,ho57866660,false,true,,,,poll7327913
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Northern Service Center,1 Mendota Rd,,,West St Paul,MN,55118,800,1700,11/7/16,11/7/16,False,False,False,514,Dakota County Northern Service Center,"1 Mendota Rd, West St Paul, MN 55118", ,08:00 AM-05:00 PM,,ho57866660,false,true,,,,poll7327913
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Western Service Center,14955 Galaxie Ave,,,Apple Valley,MN,55124,800,1630,9/23/16,9/23/16,False,False,False,515,Dakota County Western Service Center,"14955 Galaxie Ave, Apple Valley, MN 55124", ,08:00 AM-04:30 PM,,ho5296514,false,true,,,,poll58386470
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Western Service Center,14955 Galaxie Ave,,,Apple Valley,MN,55124,800,1630,9/26/16,9/26/16,False,False,False,516,Dakota County Western Service Center,"14955 Galaxie Ave, Apple Valley, MN 55124", ,08:00 AM-04:30 PM,,ho5296514,false,true,,,,poll58386470
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Western Service Center,14955 Galaxie Ave,,,Apple Valley,MN,55124,800,1800,9/27/16,9/27/16,False,False,False,517,Dakota County Western Service Center,"14955 Galaxie Ave, Apple Valley, MN 55124", ,08:00 AM-06:00 PM,,ho5296514,false,true,,,,poll58386470
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Western Service Center,14955 Galaxie Ave,,,Apple Valley,MN,55124,800,1630,9/28/16,9/28/16,False,False,False,518,Dakota County Western Service Center,"14955 Galaxie Ave, Apple Valley, MN 55124", ,08:00 AM-04:30 PM,,ho5296514,false,true,,,,poll58386470
ocd-division/country:us/state:mn/county:dakota,Dakota,Dakota County Western Service Center,14955 Galaxie Ave,,,Apple Valley,MN,55124,800,1800,9/29/16,9/29/16,False,False,False,519,Dakota County Western Service Center,"14955 Galaxie Ave, Apple Valley, MN 55124", ,08:00 AM-06:00 PM,,ho5296514,false,true,,,,poll58386470
