CTY,Ocd-id,Municipality,W/P,Voting Place,Voting Address,start_time,end_time,start_date,end_date
PIS,ocd-division/country:us/state:me/place:bowerbank,BOWERBANK ,1-1,Bowerbank Fire Station,650 Bowerbank Road,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:bradford,BRADFORD,1-1,Bradford Town Office ,345 East Road,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:bradley,BRADLEY,1-1,Bradley Municipal Building ,165B Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
LIN,ocd-division/country:us/state:me/place:bremen,BREMEN,1-1,Bremen Town Center ,208 Waldoboro Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:brewer,BREWER,1-1,Brewer Auditorium ,318 Wilson Street ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:bridgewater,BRIDGEWATER,1-1,Bridgewater Town Office ,11 Bootfoot Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:bridgton,BRIDGTON,1-1,Bridgton Town Hall ,26 North High Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SOM,ocd-division/country:us/state:me/place:brighton_plt,BRIGHTON PLT ,1-1,Brighton Town Office,Stagecoach Road,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
LIN,ocd-division/country:us/state:me/place:bristol,BRISTOL,1-1,Bristol Town Hall,1268 Bristol Road,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
HAN,ocd-division/country:us/state:me/place:brooklin,BROOKLIN,1-1,Brooklin Town Office ,23 Bay Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAL,ocd-division/country:us/state:me/place:brooks,BROOKS,1-1,Brooks Fire House,19 Purple Heart Highway,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
HAN,ocd-division/country:us/state:me/place:brooksville,BROOKSVILLE,1-1,Brooksville Municipal Building,1 Townhouse Road,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
OXF,ocd-division/country:us/state:me/place:brownfield,BROWNFIELD ,1-1,Brownfield Municipal Building ,82 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PIS,ocd-division/country:us/state:me/place:brownville,BROWNVILLE,1-1,Brownville Elementary School ,774 Main Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:brunswick,BRUNSWICK,1-1,Brunswick Junior High School,65 Columbia Avenue ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:brunswick,BRUNSWICK,1-2,Brunswick Junior High School,65 Columbia Avenue ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:brunswick,BRUNSWICK,2-1,Brunswick Junior High School,65 Columbia Avenue ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:brunswick,BRUNSWICK,2-2,Brunswick Junior High School,65 Columbia Avenue ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:brunswick,BRUNSWICK,3-1,Brunswick Junior High School,65 Columbia Avenue ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:brunswick,BRUNSWICK,3-2,Brunswick Junior High School,65 Columbia Avenue ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:brunswick,BRUNSWICK,4-1,Brunswick Junior High School,65 Columbia Avenue ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:brunswick,BRUNSWICK,4-2,Brunswick Junior High School,65 Columbia Avenue ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:brunswick,BRUNSWICK,5-1,Brunswick Junior High School,65 Columbia Avenue ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:brunswick,BRUNSWICK,5-2,Brunswick Junior High School,65 Columbia Avenue ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:brunswick,BRUNSWICK,6-1,Brunswick Junior High School,65 Columbia Avenue ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:brunswick,BRUNSWICK,6-2,Brunswick Junior High School,65 Columbia Avenue ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:brunswick,BRUNSWICK,7-1,Brunswick Junior High School,65 Columbia Avenue ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:brunswick,BRUNSWICK,7-2,Brunswick Junior High School,65 Columbia Avenue ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
