CTY,Ocd-id,Municipality,W/P,Voting Place,Voting Address,start_time,end_time,start_date,end_date
ARO,ocd-division/country:us/state:me/place:limestone,LIMESTONE,1-1,Limestone Municipal Building ,93 Main Street,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
YOR,ocd-division/country:us/state:me/place:limington,LIMINGTON,1-1,Limington Municipal Complex ,425 Sokokis Avenue ,06:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:lincoln,LINCOLN,1-1,Mattanawcook Academy Gymnasium,33 Reed Drive ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
OXF,ocd-division/country:us/state:me/place:lincoln_plt,LINCOLN PLT,1-1,Lincoln Plt Town Hall,260 Wilsons Mills Road,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAL,ocd-division/country:us/state:me/place:lincolnville,LINCOLNVILLE,1-1,Lincolnville Central School ,523 Hope Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:linneus,LINNEUS,1-1,Linneus Town Office ,1185 Hodgdon Mills Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
AND,ocd-division/country:us/state:me/place:lisbon,LISBON,1-1,LHS Gym,2 Sugg Drive,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
AND,ocd-division/country:us/state:me/place:lisbon,LISBON,2-1,LHS Gym,2 Sugg Drive,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KEN,ocd-division/country:us/state:me/place:litchfield,LITCHFIELD ,1-1,Litchfield Sportsmen's Club ,2253 Hallowell Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:littleton,LITTLETON ,1-1,Littleton Town Office ,1536 US Highway 1,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
AND,ocd-division/country:us/state:me/place:livermore,LIVERMORE,1-1,Livermore Town Office ,10 Crash Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
AND,ocd-division/country:us/state:me/place:livermore_falls,LIVERMORE FALLS,1-1,Livermore Falls Municipal Building ,2 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:long_island,LONG ISLAND,1-1,Long Island Town Hall ,105 Wharf Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
OXF,ocd-division/country:us/state:me/place:lovell,LOVELL,1-1,Lovell Town Office ,1133 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:lowell,LOWELL,1-1,Lowell Town Office ,129 West Old Main Road,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAS,ocd-division/country:us/state:me/place:lubec,LUBEC,1-1,Lubec Municipal Building,40 School Street,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:ludlow,LUDLOW,1-1,Ludlow Town Office,831 Ludlow Road,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
YOR,ocd-division/country:us/state:me/place:lyman,LYMAN,1-1,Lyman Town Hall ,11 South Waterboro Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAS,ocd-division/country:us/state:me/place:machias,MACHIAS,1-1,Machias Town Office ,"7 Court Street, Suite 1 ",08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAS,ocd-division/country:us/state:me/place:machiasport,MACHIASPORT,1-1,Machiasport Municipal Complex ,8 Unity Square ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:macwahoc_plt,MACWAHOC PLT,1-1,Macwahoc Town Office ,48 Kingman Road ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:madawaska,MADAWASKA,1-1,Knights Of Columbus Hall ,172 Fox Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:madawaska_lake_twp,MADAWASKA LAKE TWP (w/ Stockholm),1-1,Stockholm Community Center,62 School Street ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SOM,ocd-division/country:us/state:me/place:madison,MADISON,1-1,Madison Fire Station,26 Weston Avenue ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
OXF,ocd-division/country:us/state:me/place:magalloway_plt,MAGALLOWAY PLT,1-1,Magalloway Town Hall ,3682 Dam Road ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KEN,ocd-division/country:us/state:me/place:manchester,MANCHESTER,1-1,Manchester Fire Station ,37 Readfield Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:mapleton,MAPLETON,1-1,Mapleton Fire Station ,117 Pulcifur Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:mapleton,MAPLETON,1-2,Mapleton Fire Station ,117 Pulcifur Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:mapleton,MAPLETON,1-3,Mapleton Fire Station ,117 Pulcifur Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
HAN,ocd-division/country:us/state:me/place:mariaville,MARIAVILLE,1-1,Mariaville Town Office ,1686 Mariaville Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:mars_hill,MARS HILL,1-1,Mars Hill Fire Station ,12 Market Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAS,ocd-division/country:us/state:me/place:marshfield,MARSHFIELD ,1-1,Marshfield Town Office ,187 Northfield Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:masardis,MASARDIS ,1-1,Masardis Municipal Building ,26 School Street ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KNO,ocd-division/country:us/state:me/place:matinicus_isle_plt,MATINICUS ISLE PLT ,1-1,Matinicus Town Office,17 South Road ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:mattawamkeag,MATTAWAMKEAG,1-1,Mattawamkeag Municipal Building ,327 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:maxfield,MAXFIELD,1-1,Maxfield Town Office ,231 River Road ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
AND,ocd-division/country:us/state:me/place:mechanic_falls,MECHANIC FALLS,1-1,Municipal Town Office Gymnasium ,108 Lewiston Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAS,ocd-division/country:us/state:me/place:meddybemps,MEDDYBEMPS,1-1,Meddybemps Community Center ,849 Main Street ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PIS,ocd-division/country:us/state:me/place:medford,MEDFORD,1-1,Medford Town Office ,13 Trestle Road ,09:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:medway,MEDWAY ,1-1,Medway Fire Station,23 Grindstone Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SOM,ocd-division/country:us/state:me/place:mercer,MERCER,1-1,Mercer Town Office ,1015 Beech Hill Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:merrill,MERRILL,1-1,Merrill Town Office ,3391 Route 2 ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
OXF,ocd-division/country:us/state:me/place:mexico,MEXICO,1-1,Calvin P. Lyons Hall ,134 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAS,ocd-division/country:us/state:me/place:milbridge,MILBRIDGE,1-1,Milbridge Town Office/Library Building,18 School Street,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:milford,MILFORD ,1-1,Milford Town Hall ,62 Davenport Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:millinocket,MILLINOCKET,1-1,Stearns High School ,199 State Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,,MILLINOCKET,1-2,Stearns High School ,199 State Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PIS,ocd-division/country:us/state:me/place:milo,MILO/ORNEVILLE,1-1,Milo Town Hall ,6 Pleasant Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
AND,ocd-division/country:us/state:me/place:minot,MINOT,1-1,Minot Town Office ,329 Woodman Hill Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
LIN,ocd-division/country:us/state:me/place:monhegan_island_plt,MONHEGAN ISLAND PLT ,1-1,Monhegan Memorial Library ,10 Monhegan Avenue ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KEN,ocd-division/country:us/state:me/place:monmouth,MONMOUTH,1-1,Cumston Hall-Lower Level,796 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAL,ocd-division/country:us/state:me/place:monroe,MONROE,1-1,Monroe Town Hall ,8 Swanlake Avenue ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PIS,ocd-division/country:us/state:me/place:monson,MONSON,1-1,Monson Town Office ,10 Tenney Hill Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:monticello,MONTICELLO,1-1,Monticello Town Office ,405 US Highway 1 ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAL,ocd-division/country:us/state:me/place:montville,MONTVILLE,1-1,Montville Town House (Town Hall),418 Center Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SOM,ocd-division/country:us/state:me/place:moose_river,MOOSE RIVER,1-1,Moose River Town Office ,705 Main Street ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:moro_plt,MORO PLT,1-1,Katahdin Lodge ,626 Aroostook Scenic Highway ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAL,ocd-division/country:us/state:me/place:morrill,MORRILL,1-1,Morrill Community Center ,4 North Main Street,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SOM,ocd-division/country:us/state:me/place:moscow,MOSCOW,1-1,Moscow Town Hall,110 Canada Road,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:mount_chase,MOUNT CHASE,1-1,Mount Chase Town Office ,1094 Shin Pond Road ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
HAN,ocd-division/country:us/state:me/place:mount_desert,MOUNT DESERT,1-1,Somesville Fire Station ,1157 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KEN,ocd-division/country:us/state:me/place:mount_vernon,MOUNT VERNON,1-1,Mount Vernon Comunity Center ,2 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:naples,NAPLES,1-1,Naples Municipal Office Gymnasium,15 Village Green Lane ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:new_canada,NEW CANADA (and Cross Lake Twp),1-1,New Canada Town Office,1809 Caribou Road ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:new_gloucester,NEW GLOUCESTER,1-1,New Gloucester Fire Station,611 Lewiston Road,06:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:new_limerick,NEW LIMERICK,1-1,New Limerick Town Office ,11 Old Station Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SOM,ocd-division/country:us/state:me/place:new_portland,NEW PORTLAND ,1-1,"New Portland Fire Station, Community Room ",911 River Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
FRA,ocd-division/country:us/state:me/place:new_sharon,NEW SHARON,1-1,New Sharon Town Office ,11 School Lane ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:new_sweden,NEW SWEDEN ,1-1,New Sweden Town Office,50 Station Road ,09:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
FRA,ocd-division/country:us/state:me/place:new_vineyard,NEW VINEYARD,1-1,Smith Memorial Hall,1680 New Vineyard Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:newburgh,NEWBURGH,1-1,Newburgh Town Office (former Elementary School),2220 Western Avenue ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
LIN,ocd-division/country:us/state:me/place:newcastle,NEWCASTLE,1-1,Community Meeting Room in Fire Station,86 River Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
YOR,ocd-division/country:us/state:me/place:newfield,NEWFIELD,1-1,Newfield Town Hall,23 South Effingham Road,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:newport,NEWPORT,1-1,Public Safety Bldg Multi-Purpose Room,21 Water Street,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
OXF,ocd-division/country:us/state:me/place:newry,NEWRY,1-1,Raymond C. Foster Municipal Building,422 Bear River Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
LIN,ocd-division/country:us/state:me/place:nobleboro,NOBLEBORO,1-1,Nobleboro Town Office Meeting Room,192 US Highway 1 ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SOM,ocd-division/country:us/state:me/place:norridgewock,NORRIDGEWOCK,1-1,Mill Stream School ,26 Mercer Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
YOR,ocd-division/country:us/state:me/place:north_berwick,NORTH BERWICK,1-1,North Berwick Primary School ,25 Varney Road,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KNO,ocd-division/country:us/state:me/place:north_haven,NORTH HAVEN ,1-1,North Haven Town Office,16 Town Office Square,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:north_yarmouth,NORTH YARMOUTH,1-1,Former Memorial School,120 Memorial Highway,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAS,ocd-division/country:us/state:me/place:northfield,NORTHFIELD,1-1,Northfield Town Hall ,1940 Northfield Road ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAL,ocd-division/country:us/state:me/place:northport,NORTHPORT,1-1,Northport Town Office ,16 Beech Hill Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
OXF,ocd-division/country:us/state:me/place:norway,NORWAY,1-1,Norway Fire Station ,19 Danforth Street,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:oakfield,OAKFIELD,1-1,Oakfield Town Office ,80 School Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KEN,ocd-division/country:us/state:me/place:oakland,OAKLAND,1-1,Williams Elementary School ,55 Pleasant Street ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
YOR,ocd-division/country:us/state:me/place:ogunquit,OGUNQUIT,1-1,Dunaway Community Center ,23 School Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
YOR,ocd-division/country:us/state:me/place:old_orchard_beach,OLD ORCHARD BEACH,1-1,Old Orchard Beach High School ,40 E Emerson Cummings Boulevard ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:old_town,OLD TOWN (and Argyle Twp),1-1,Knights Of Columbus Hall ,5 Gilman Falls Avenue ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:old_town,OLD TOWN (and Argyle Twp),5-1,Knights Of Columbus Hall ,5 Gilman Falls Avenue ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:orient,ORIENT ,1-1,Orient Town Office,82 School House Road,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
HAN,ocd-division/country:us/state:me/place:orland,ORLAND,1-1,Orland Community Center,21 School House Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PIS,ocd-division/country:us/state:me/place:orneville_twp,ORNEVILLE TWP (w/ Milo),1-1,Milo Town Hall ,6 Pleasant Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:orono,ORONO,1-1,Umaine Field House,5747 Memorial Gym,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:orono,ORONO,1-2,Umaine Field House,5747 Memorial Gym,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:orono,ORONO,1-3,Umaine Field House,5747 Memorial Gym,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:orrington,ORRINGTON,1-1,Orrington Town Office,29 Center Drive,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
HAN,ocd-division/country:us/state:me/place:osborn,OSBORN ,1-1,Emery L. Jordan Community Building,197 Moosehill Road,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
HAN,ocd-division/country:us/state:me/place:otis,OTIS,1-1,Otis Town Office,132 Otis Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
OXF,ocd-division/country:us/state:me/place:otisfield,OTISFIELD ,1-1,Otisfield Town Office ,403 State Route 121 ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KNO,ocd-division/country:us/state:me/place:owls_head,OWLS HEAD,1-1,Owls Head Community Building ,224 Ash Point Drive ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:oxbow_plt,OXBOW PLT ,1-1,Oxbow Plt Municipal Building,685 Oxbow Road,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
OXF,ocd-division/country:us/state:me/place:oxford,OXFORD,1-1,Oxford Public Safety Building ,701 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAL,ocd-division/country:us/state:me/place:palermo,PALERMO,1-1,Palermo Town Office,45 North Palermo Road,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SOM,ocd-division/country:us/state:me/place:palmyra,PALMYRA,1-1,Town Office and Community Center,4 Madawaska Road,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
OXF,ocd-division/country:us/state:me/place:paris,PARIS,1-1,Paris Fire Department ,137 Western Avenue ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PIS,ocd-division/country:us/state:me/place:parkman,PARKMAN,1-1,Parkman Town Office -Lower Level,771 State Highway 150 ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
YOR,ocd-division/country:us/state:me/place:parsonsfield,PARSONSFIELD ,1-1,Parsonsfield Town Office,634 North Road,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:passadumkeag,PASSADUMKEAG,1-1,Passadumkeag Town Offfice ,34 Pleasant Street,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:patten,PATTEN,1-1,Patten Fire Station,27 Dearborn Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAS,ocd-division/country:us/state:me/place:pembroke,PEMBROKE,1-1,Pembroke Municipal Building,48 Old County Road,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
HAN,ocd-division/country:us/state:me/place:penobscot,PENOBSCOT,1-1,Penobscot  Community School Gym,66 North Penobscot Road,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:penobscot_nation_voting_district,PENOBSCOT NATION VOTING DISTRICT,1-1,Penobscot Nation Community Building-Conference Room,12 Wabanaki Way ,09:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:perham,PERHAM,1-1,Perham Town Office ,206 High Meadow Road ,09:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAS,ocd-division/country:us/state:me/place:perry,PERRY,1-1,Perry Municipal Building,898 US Route 1 ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
OXF,ocd-division/country:us/state:me/place:peru,PERU,1-1,Peru Town Office ,26 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
FRA,ocd-division/country:us/state:me/place:phillips,PHILLIPS (and Madrid),1-1,Phillips Municipal Building (former Primary School) ,15 Russell Street,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SAG,ocd-division/country:us/state:me/place:phippsburg,PHIPPSBURG,1-1,Phippsburg Town Hall,1042 Main Road,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SOM,ocd-division/country:us/state:me/place:pittsfield,PITTSFIELD,1-1,Pittsfield Town Office ,112 Somerset Avenue ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KEN,ocd-division/country:us/state:me/place:pittston,PITTSTON,1-1,Pittston Town Office,38 Whitefield Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAS,ocd-division/country:us/state:me/place:pleasant_point_voting_district,PLEASANT POINT VOTING DISTRICT,1-1,Tribal Office Building Transition House,136 County Road,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SOM,ocd-division/country:us/state:me/place:pleasant_ridge_plt,PLEASANT RIDGE PLT ,1-1,Pleasant Ridge Plantation Town Office ,343 Rowe Pond Road ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:plymouth,PLYMOUTH,1-1,Plymouth Grange Hall ,1927 Moosehead Trail ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
AND,ocd-division/country:us/state:me/place:poland,POLAND,1-1,Poland Town Hall ,1223 Maine Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:portage_lake,PORTAGE LAKE (and Nashville Plt) ,1-1,Portage Lake Municipal Building ,20 School Street ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
OXF,ocd-division/country:us/state:me/place:porter,PORTER,1-1,Porter Town Hall,71 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:portland,PORTLAND,1-1,East End Elementary School ,195 North Street ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:portland,PORTLAND,1-2,Merrill Auditorium Rehearsal Hall ,20 Myrtle Street ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:portland,PORTLAND,1-3,Peaks Island Community Hall ,Peaks Island ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:portland,PORTLAND,1-45,Merrill Auditorium Rehearsal Hall ,20 Myrtle Street ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:portland,PORTLAND,2-1,Reiche Elementary School ,166 Brackett Street ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:portland,PORTLAND,2-2,Exposition Building ,239 Park Avenue ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:portland,PORTLAND,3-1,Woodfords Club,179 Woodford Street,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:portland,PORTLAND,3-2,Italian Heritage Center ,40 Westland Avenue ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:portland,PORTLAND,4-1,St. Pius Church ,492 Ocean Avenue ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:portland,PORTLAND,4-2,First Baptist Church ,360 Canco Road ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:portland,PORTLAND,5-1,Deering High School Gymnasium,370 Stevens Avenue,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:portland,PORTLAND,5-2,Grace Baptist Church ,476 Summit Street ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:pownal,POWNAL ,1-1,Pownal Elementary School,507 Elmwood Road,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:presque_isle,PRESQUE ISLE,1-3,William V Haskell Community Center ,270 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:presque_isle,PRESQUE ISLE,1-4,William V Haskell Community Center ,270 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:presque_isle,PRESQUE ISLE,1-5,William V Haskell Community Center ,270 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:presque_isle,PRESQUE ISLE,1-6,William V Haskell Community Center ,270 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:presque_isle,PRESQUE ISLE,1-7,William V Haskell Community Center ,270 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:presque_isle,PRESQUE ISLE,1-8,William V Haskell Community Center ,270 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:presque_isle,PRESQUE ISLE,1-9,William V Haskell Community Center ,270 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:presque_isle,PRESQUE ISLE,2-4,William V Haskell Community Center ,270 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
