ocd-division,county,name,address_one,address_two,city,state,zip,start_time,end_time,start_date,end_date,appt1,appt2,app3,subject_to_change,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
ocd-division/country:us/state:ia/county:bremer,Bremer County,,415 E. Bremer,,Waverly,IA,50677,08:00:00 - 05:00,16:30:00 - 05:00,10/3/16,10/7/16,False,False,False,,74,"415 E. Bremer, Waverly, IA 50677",,08:00 AM-04:30 PM,,ho97263221,false,true,,,,poll55670456
ocd-division/country:us/state:ia/county:bremer,Bremer County,,415 E. Bremer,,Waverly,IA,50677,08:00:00 - 05:00,16:30:00 - 05:00,10/10/16,10/14/16,False,False,False,,75,"415 E. Bremer, Waverly, IA 50677",,08:00 AM-04:30 PM,,ho97263221,false,true,,,,poll55670456
ocd-division/country:us/state:ia/county:bremer,Bremer County,,415 E. Bremer,,Waverly,IA,50677,08:00:00 - 05:00,16:30:00 - 05:00,10/17/16,10/21/16,False,False,False,,76,"415 E. Bremer, Waverly, IA 50677",,08:00 AM-04:30 PM,,ho97263221,false,true,,,,poll55670456
ocd-division/country:us/state:ia/county:bremer,Bremer County,,415 E. Bremer,,Waverly,IA,50677,08:00:00 - 05:00,16:30:00 - 05:00,10/24/16,10/28/16,False,False,False,,77,"415 E. Bremer, Waverly, IA 50677",,08:00 AM-04:30 PM,,ho97263221,false,true,,,,poll55670456
ocd-division/country:us/state:ia/county:bremer,Bremer County,,415 E. Bremer,,Waverly,IA,50677,08:00:00 - 06:00,17:00:00 - 05:00,10/29/16,10/29/16,False,False,False,,78,"415 E. Bremer, Waverly, IA 50677",,08:00 AM-05:00 PM,,ho97263221,false,true,,,,poll55670456
ocd-division/country:us/state:ia/county:bremer,Bremer County,,415 E. Bremer,,Waverly,IA,50677,08:00:00 - 06:00,16:30:00 - 05:00,10/31/16,11/4/16,False,False,False,,79,"415 E. Bremer, Waverly, IA 50677",,08:00 AM-04:30 PM,,ho97263221,false,true,,,,poll55670456
ocd-division/country:us/state:ia/county:bremer,Bremer County,,415 E. Bremer,,Waverly,IA,50677,09:00:00 - 05:00,17:00:00 - 05:00,11/5/16,11/5/16,False,False,False,,80,"415 E. Bremer, Waverly, IA 50677",,09:00 AM-05:00 PM,,ho97263221,false,true,,,,poll55670456
ocd-division/country:us/state:ia/county:bremer,Bremer County,,415 E. Bremer,,Waverly,IA,50677,08:00:00 - 06:00,16:30:00 - 06:00,11/7/16,11/7/16,False,False,False,,81,"415 E. Bremer, Waverly, IA 50677",,08:00 AM-04:30 PM,,ho97263221,false,true,,,,poll55670456
ocd-division/country:us/state:ia/county:buchanan,Buchanan County,,210 5th Avenue NE,,Independence,IA,50644,08:00:00 - 05:00,16:30:00 - 05:00,9/29/16,9/30/16,False,False,False,,82,"210 5th Avenue NE, Independence, IA 50644",,08:00 AM-04:30 PM,,ho62283283,false,true,,,,poll16391771
ocd-division/country:us/state:ia/county:buchanan,Buchanan County,,210 5th Avenue NE,,Independence,IA,50644,08:00:00 - 05:00,16:30:00 - 05:00,10/3/16,10/7/16,False,False,False,,83,"210 5th Avenue NE, Independence, IA 50644",,08:00 AM-04:30 PM,,ho62283283,false,true,,,,poll16391771
ocd-division/country:us/state:ia/county:buchanan,Buchanan County,,210 5th Avenue NE,,Independence,IA,50644,08:00:00 - 05:00,16:30:00 - 05:00,10/10/16,10/14/16,False,False,False,,84,"210 5th Avenue NE, Independence, IA 50644",,08:00 AM-04:30 PM,,ho62283283,false,true,,,,poll16391771
ocd-division/country:us/state:ia/county:buchanan,Buchanan County,,210 5th Avenue NE,,Independence,IA,50644,08:00:00 - 05:00,16:30:00 - 05:00,10/17/16,10/21/16,False,False,False,,85,"210 5th Avenue NE, Independence, IA 50644",,08:00 AM-04:30 PM,,ho62283283,false,true,,,,poll16391771
ocd-division/country:us/state:ia/county:buchanan,Buchanan County,,210 5th Avenue NE,,Independence,IA,50644,08:00:00 - 05:00,16:30:00 - 05:00,10/24/16,10/28/16,False,False,False,,86,"210 5th Avenue NE, Independence, IA 50644",,08:00 AM-04:30 PM,,ho62283283,false,true,,,,poll16391771
ocd-division/country:us/state:ia/county:buchanan,Buchanan County,,210 5th Avenue NE,,Independence,IA,50644,08:00:00 - 05:00,17:00:00 - 05:00,10/29/16,10/29/16,False,False,False,,87,"210 5th Avenue NE, Independence, IA 50644",,08:00 AM-05:00 PM,,ho62283283,false,true,,,,poll16391771
ocd-division/country:us/state:ia/county:buchanan,Buchanan County,,210 5th Avenue NE,,Independence,IA,50644,08:00:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16,False,False,False,,88,"210 5th Avenue NE, Independence, IA 50644",,08:00 AM-05:00 PM,,ho62283283,false,true,,,,poll16391771
ocd-division/country:us/state:ia/county:buchanan,Buchanan County,,210 5th Avenue NE,,Independence,IA,50644,08:00:00 - 05:00,17:00:00 - 05:00,11/5/16,11/5/16,False,False,False,,89,"210 5th Avenue NE, Independence, IA 50644",,08:00 AM-05:00 PM,,ho62283283,false,true,,,,poll16391771
ocd-division/country:us/state:ia/county:buchanan,Buchanan County,,210 5th Avenue NE,,Independence,IA,50644,08:00:00 - 06:00,16:30:00 - 06:00,11/7/16,11/7/16,False,False,False,,90,"210 5th Avenue NE, Independence, IA 50644",,08:00 AM-04:30 PM,,ho62283283,false,true,,,,poll16391771
