office-name,ocd-division,directions,name,street,city,state,zip,start_time,end_time,start_date,end_date,notes,index,address_line,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Braxton County,ocd-division/country:us/state:wv/county:braxton,,Old Fisher Auto Parts Building ,309 Main Street,Sutton,WV,26601,08:00:00 - 04:00,16:00:00 - 04:00,10/26/16,10/28/16,,11,"309 Main Street, Sutton, WV 26601",08:00 AM-04:00 PM,,ho56217192,FALSE,TRUE,,,,poll30536452
Braxton County,ocd-division/country:us/state:wv/county:braxton,,Old Fisher Auto Parts Building ,309 Main Street,Sutton,WV,26601,09:00:00 - 04:00,17:00:00 - 04:00,10/29/16,10/29/16,,12,"309 Main Street, Sutton, WV 26601",09:00 AM-05:00 PM,,ho56217192,FALSE,TRUE,,,,poll30536452
Braxton County,ocd-division/country:us/state:wv/county:braxton,,Old Fisher Auto Parts Building ,309 Main Street,Sutton,WV,26601,08:00:00 - 04:00,16:00:00 - 04:00,10/31/16,11/4/16,,13,"309 Main Street, Sutton, WV 26601",08:00 AM-04:00 PM,,ho56217192,FALSE,TRUE,,,,poll30536452
Braxton County,ocd-division/country:us/state:wv/county:braxton,,Old Fisher Auto Parts Building ,309 Main Street,Sutton,WV,26601,09:00:00 - 04:00,17:00:00 - 04:00,11/5/16,11/5/16,,14,"309 Main Street, Sutton, WV 26601",09:00 AM-05:00 PM,,ho56217192,FALSE,TRUE,,,,poll30536452
Brooke County,ocd-division/country:us/state:wv/county:brooke,,Brooke County Courthouse,632 Main Street,Wellsburg,WV,26070,09:00:00 - 04:00,17:00:00 - 04:00,10/26/16,10/29/16,,15,"632 Main Street, Wellsburg, WV 26070",09:00 AM-05:00 PM,,ho89021953,FALSE,TRUE,,,,poll86429863
Brooke County,ocd-division/country:us/state:wv/county:brooke,,Brooke County Courthouse,632 Main Street,Wellsburg,WV,26070,09:00:00 - 04:00,17:00:00 - 04:00,10/31/16,11/5/16,,16,"632 Main Street, Wellsburg, WV 26070",09:00 AM-05:00 PM,,ho89021953,FALSE,TRUE,,,,poll86429863
Cabell County,ocd-division/country:us/state:wv/county:cabell,,Cabell County Courthouse,750 5th Avenue,Huntington,WV,25701,08:30:00 - 04:00,16:30:00 - 04:00,10/26/16,10/28/16,,17,"750 5th Avenue, Huntington, WV 25701",08:30 AM-04:30 PM,,ho86728793,FALSE,TRUE,,,,poll22067836
Cabell County,ocd-division/country:us/state:wv/county:cabell,,Cabell County Courthouse,750 5th Avenue,Huntington,WV,25701,09:00:00 - 04:00,17:00:00 - 04:00,10/29/16,10/29/16,,18,"750 5th Avenue, Huntington, WV 25701",09:00 AM-05:00 PM,,ho86728793,FALSE,TRUE,,,,poll22067836
Cabell County,ocd-division/country:us/state:wv/county:cabell,,Cabell County Courthouse,750 5th Avenue,Huntington,WV,25701,08:30:00 - 04:00,16:30:00 - 04:00,10/31/16,11/4/16,,19,"750 5th Avenue, Huntington, WV 25701",08:30 AM-04:30 PM,,ho86728793,FALSE,TRUE,,,,poll22067836
Cabell County,ocd-division/country:us/state:wv/county:cabell,,Cabell County Courthouse,750 5th Avenue,Huntington,WV,25701,09:00:00 - 04:00,17:00:00 - 04:00,11/5/16,11/5/16,,20,"750 5th Avenue, Huntington, WV 25701",09:00 AM-05:00 PM,,ho86728793,FALSE,TRUE,,,,poll22067836
Calhoun County,ocd-division/country:us/state:wv/county:calhoun,,Calhoun County Courthouse,363 Main Street,Grantsville,WV,26147,08:00:00 - 04:00,16:00:00 - 04:00,10/26/16,10/28/16,,21,"363 Main Street, Grantsville, WV 26147",08:00 AM-04:00 PM,,ho41252231,FALSE,TRUE,,,,poll62727510
Calhoun County,ocd-division/country:us/state:wv/county:calhoun,,Calhoun County Courthouse,363 Main Street,Grantsville,WV,26147,09:00:00 - 04:00,17:00:00 - 04:00,10/29/16,10/29/16,,22,"363 Main Street, Grantsville, WV 26147",09:00 AM-05:00 PM,,ho41252231,FALSE,TRUE,,,,poll62727510
Calhoun County,ocd-division/country:us/state:wv/county:calhoun,,Calhoun County Courthouse,363 Main Street,Grantsville,WV,26147,08:00:00 - 04:00,16:00:00 - 04:00,10/31/16,11/4/16,,23,"363 Main Street, Grantsville, WV 26147",08:00 AM-04:00 PM,,ho41252231,FALSE,TRUE,,,,poll62727510
