entry_name,county,loc_name,address_1,address_2,address_3,city,state,zip,dirs,services,start_time,end_time,start_date,end_date,days_times_open,state_id,index,name,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Orem City Center - RM 100,Utah,Orem City Center,56 N State St,Room 100,,Orem,UT,84057,,,13:00:00 - 07:00,17:00:00 - 07:00,10/25/16,10/28/16,10/25/2016 01:00 PM to 05:00 PM<br>10/26/2016 01:00 PM to 05:00 PM<br>10/27/2016 01:00 PM to 05:00 PM<br>10/28/2016 01:00 PM to 05:00 PM<br>10/31/2016 01:00 PM to 05:00 PM<br>11/01/2016 01:00 PM to 05:00 PM<br>11/02/2016 01:00 PM to 05:00 PM<br>11/03/2016 01:00 PM to 05:00 PM<br>11/04/2016 01:00 PM to 05:00 PM<br>,1.60E+11,24,Orem City Center,"56 N State St, Orem, UT 84057",Room 100,01:00 PM-05:00 PM,,ho69660187,false,true,,,,poll12301987
Orem City Center - RM 100,Utah,Orem City Center,56 N State St,Room 100,,Orem,UT,84057,,,13:00:00 - 07:00,17:00:00 - 07:00,10/31/16,11/4/16,,,25,Orem City Center,"56 N State St, Orem, UT 84057",Room 100,01:00 PM-05:00 PM,,ho69660187,false,true,,,,poll12301987
Payson City Municipal Building - Banquet Hall,Utah,Payson City Municipal Building - Banquet Hall,439 W Utah Ave,,,Payson,UT,84651,,,13:00:00 - 07:00,17:00:00 - 07:00,10/25/16,11/4/16,10/25/2016 01:00 PM to 05:00 PM<br>10/26/2016 01:00 PM to 05:00 PM<br>10/27/2016 01:00 PM to 05:00 PM<br>10/28/2016 01:00 PM to 05:00 PM<br>10/31/2016 01:00 PM to 05:00 PM<br>11/01/2016 01:00 PM to 05:00 PM<br>11/02/2016 01:00 PM to 05:00 PM<br>11/03/2016 01:00 PM to 05:00 PM<br>11/04/2016 01:00 PM to 05:00 PM<br>,1.60E+11,26,Payson City Municipal Building - Banquet Hall,"439 W Utah Ave, Payson, UT 84651",,01:00 PM-05:00 PM,,ho69312703,false,true,,,,poll76582100
Payson City Municipal Building - Banquet Hall,Utah,Payson City Municipal Building - Banquet Hall,439 W Utah Ave,,,Payson,UT,84651,,,13:00:00 - 07:00,17:00:00 - 07:00,10/31/16,11/4/16,,,27,Payson City Municipal Building - Banquet Hall,"439 W Utah Ave, Payson, UT 84651",,01:00 PM-05:00 PM,,ho69312703,false,true,,,,poll76582100
Provo City Rec Center,Utah,Provo City Rec Center,320 W 500 N,,,Provo,UT,84601,,,10:00:00 - 07:00,18:00:00 - 07:00,10/25/16,10/28/16,10/25/2016 10:00 AM to 06:00 PM<br>10/26/2016 10:00 AM to 06:00 PM<br>10/27/2016 10:00 AM to 06:00 PM<br>10/28/2016 10:00 AM to 06:00 PM<br>10/31/2016 10:00 AM to 06:00 PM<br>11/01/2016 10:00 AM to 06:00 PM<br>11/02/2016 10:00 AM to 06:00 PM<br>11/03/2016 10:00 AM to 06:00 PM<br>11/04/2016 10:00 AM to 05:00 PM<br>,1.60E+11,28,Provo City Rec Center,"320 W 500 N, Provo, UT 84601",,10:00 AM-06:00 PM,,ho75357876,false,true,,,,poll5470765
Provo City Rec Center,Utah,Provo City Rec Center,320 W 500 N,,,Provo,UT,84601,,,10:00:00 - 07:00,18:00:00 - 07:00,10/31/16,11/3/16,,,29,Provo City Rec Center,"320 W 500 N, Provo, UT 84601",,10:00 AM-06:00 PM,,ho75357876,false,true,,,,poll5470765
Provo City Rec Center,Utah,Provo City Rec Center,320 W 500 N,,,Provo,UT,84601,,,10:00:00 - 07:00,17:00:00 - 07:00,11/4/16,11/4/16,,,30,Provo City Rec Center,"320 W 500 N, Provo, UT 84601",,10:00 AM-05:00 PM,,ho75357876,false,true,,,,poll5470765
American Fork Library,Utah,American Fork Library,64 South 100 East,,,American Fork,UT,84003,,,13:00:00 - 07:00,18:00:00 - 07:00,10/25/16,10/28/16,10/25/2016 01:00 PM to 06:00 PM<br>10/26/2016 01:00 PM to 06:00 PM<br>10/27/2016 01:00 PM to 06:00 PM<br>10/28/2016 01:00 PM to 06:00 PM<br>10/31/2016 01:00 PM to 06:00 PM<br>11/01/2016 01:00 PM to 06:00 PM<br>11/02/2016 01:00 PM to 06:00 PM<br>11/03/2016 01:00 PM to 06:00 PM<br>11/04/2016 01:00 PM to 05:00 PM<br>,1.60E+11,31,American Fork Library,"64 South 100 East, American Fork, UT 84003",,01:00 PM-06:00 PM,,ho84040729,false,true,,,,poll95967545
American Fork Library,Utah,American Fork Library,64 South 100 East,,,American Fork,UT,84003,,,13:00:00 - 07:00,18:00:00 - 07:00,10/31/16,11/3/16,,,32,American Fork Library,"64 South 100 East, American Fork, UT 84003",,01:00 PM-06:00 PM,,ho84040729,false,true,,,,poll95967545
American Fork Library,Utah,American Fork Library,64 South 100 East,,,American Fork,UT,84003,,,13:00:00 - 07:00,17:00:00 - 07:00,11/4/16,11/4/16,,,33,American Fork Library,"64 South 100 East, American Fork, UT 84003",,01:00 PM-05:00 PM,,ho84040729,false,true,,,,poll95967545
