name,adr_location_name,adr_1,adr_2,adr_3,city,state,zip,dirs,services,start_date,end_date,start_time,end_time,ev_id,locality_id,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
CONCORDIA,,4001 CARTER ST.,,,VIDALIA,LA,71373,Suite K,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6016,2016,32,"4001 Carter St., Vidalia, LA 71373",Suite K,08:30 AM-06:00 PM,,ho10246169,FALSE,TRUE,,,,poll10246169
DE SOTO,,105 FRANKLIN ST,,,MANSFIELD,LA,71052,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6017,2017,33,"105 Franklin St, Mansfield, LA 71052",,08:30 AM-06:00 PM,,ho76748359,FALSE,TRUE,,,,poll76748359
DE SOTO,,105 FRANKLIN ST,,,MANSFIELD,LA,71052,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6017,2017,34,"105 Franklin St, Mansfield, LA 71052",,08:30 AM-06:00 PM,,ho76748359,FALSE,TRUE,,,,poll76748359
EAST BATON ROUGE,MOTOR VEHICLE BLDG,2250 MAIN ST,,,BAKER,LA,70714,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6018,2018,35,"2250 Main St, Baker, LA 70714",,08:30 AM-06:00 PM,,ho57642332,FALSE,TRUE,,,,poll57642332
EAST BATON ROUGE,MOTOR VEHICLE BLDG,2250 MAIN ST,,,BAKER,LA,70714,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6018,2018,36,"2250 Main St, Baker, LA 70714",,08:30 AM-06:00 PM,,ho57642332,FALSE,TRUE,,,,poll57642332
EAST BATON ROUGE,FIRE STATION BLDG,11010 COURSEY BLVD,,,BATON ROUGE,LA,70816,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6019,2018,37,"11010 Coursey Blvd, Baton Rouge, LA 70816",,08:30 AM-06:00 PM,,ho11061433,FALSE,TRUE,,,,poll11061433
EAST BATON ROUGE,FIRE STATION BLDG,11010 COURSEY BLVD,,,BATON ROUGE,LA,70816,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6019,2018,38,"11010 Coursey Blvd, Baton Rouge, LA 70816",,08:30 AM-06:00 PM,,ho11061433,FALSE,TRUE,,,,poll11061433
EAST BATON ROUGE,CITY HALL,"222 ST.LOUIS ST, #201",,,BATON ROUGE,LA,70802,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6020,2018,39,"222 St.Louis St, #201, Baton Rouge, LA 70802",,08:30 AM-06:00 PM,,ho64897436,FALSE,TRUE,,,,poll64897436
EAST BATON ROUGE,CITY HALL,"222 ST.LOUIS ST, #201",,,BATON ROUGE,LA,70802,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6020,2018,40,"222 St.Louis St, #201, Baton Rouge, LA 70802",,08:30 AM-06:00 PM,,ho64897436,FALSE,TRUE,,,,poll64897436
EAST CARROLL,NEW COURTHOUSE BLDG.,400 1ST ST.,,,LAKE PROVIDENCE,LA,71254,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6021,2018,41,"400 1St St., Lake Providence, LA 71254",,08:30 AM-06:00 PM,,ho80176273,FALSE,TRUE,,,,poll80176273
EAST CARROLL,NEW COURTHOUSE BLDG.,400 1ST ST.,,,LAKE PROVIDENCE,LA,71254,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6021,2018,42,"400 1St St., Lake Providence, LA 71254",,08:30 AM-06:00 PM,,ho80176273,FALSE,TRUE,,,,poll80176273
EAST FELICIANA,,11048 BANK ST.,,,CLINTON,LA,70722,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6022,2018,43,"11048 Bank St., Clinton, LA 70722",,08:30 AM-06:00 PM,,ho25540016,FALSE,TRUE,,,,poll25540016
EAST FELICIANA,,11048 BANK ST.,,,CLINTON,LA,70722,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6022,2018,44,"11048 Bank St., Clinton, LA 70722",,08:30 AM-06:00 PM,,ho25540016,FALSE,TRUE,,,,poll25540016
EVANGELINE,EVANGELINE PARISH COURTHOUSE,"200 COURT ST, STE 102",,,VILLE PLATTE,LA,70586,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6023,2018,45,"200 Court St, Ste 102, Ville Platte, LA 70586",,08:30 AM-06:00 PM,,ho52476618,FALSE,TRUE,,,,poll52476618
