<<<<<<< HEAD
<<<<<<< HEAD
ocd-division,County,Location Name,Address 1,Address 2,dirs,City,State,Zip,start_time,end_time,start_date,end_date
ocd-division/country:us/state:ga/county:appling,Appling County,Appling County Board of Registration,69 Tippins Street,Suite 205,,Baxley,GA,31513,08:30:00 - 04:00,17:00:00 - 04:00,10/17/16,10/21/16
ocd-division/country:us/state:ga/county:appling,Appling County,Appling County Board of Registration,69 Tippins Street,Suite 205,,Baxley,GA,31513,08:30:00 - 04:00,17:00:00 - 04:00,10/24/16,10/28/16
ocd-division/country:us/state:ga/county:ben_hill,Ben HIll County,Ben Hill Elections Office,115 W Pine Street,,,Fitzgerald,GA,31750,07:30:00 - 04:00,15:45:00 - 04:00,10/24/16,10/28/16
ocd-division/country:us/state:ga/county:ben_hill,Ben HIll County,Ben Hill Elections Office,115 W Pine Street,,,Fitzgerald,GA,31750,09:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
ocd-division/country:us/state:ga/county:ben_hill,Ben HIll County,Ben Hill Elections Office,115 W Pine Street,,,Fitzgerald,GA,31750,07:30:00 - 04:00,15:45:00 - 04:00,10/31/16,11/4/16
ocd-division/country:us/state:ga/county:bleckley,Bleckley County,Voter Registrar's Office,112 North Second Street,2nd floor,,Cochran,GA,31014,08:30:00 - 04:00,17:00:00 - 04:00,10/17/16,10/21/16
ocd-division/country:us/state:ga/county:bleckley,Bleckley County,Voter Registrar's Office,112 North Second Street,2nd floor,,Cochran,GA,31014,08:30:00 - 04:00,17:00:00 - 04:00,10/24/16,10/28/16
ocd-division/country:us/state:ga/county:bleckley,Bleckley County,Voter Registrar's Office,112 North Second Street,2nd floor,,Cochran,GA,31014,09:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
ocd-division/country:us/state:ga/county:bleckley,Bleckley County,Voter Registrar's Office,112 North Second Street,2nd floor,,Cochran,GA,31014,08:30:00 - 04:00,17:00:00 - 04:00,10/31/16,11/4/16
ocd-division/country:us/state:ga/county:brantley,Brantley County,Board of Elections and Registration Office,10305 N. Main St,Suite 400,,Nahunta,GA,31553,08:00:00 - 04:00,17:00:00 - 04:00,10/17/16,10/21/16
ocd-division/country:us/state:ga/county:brantley,Brantley County,Board of Elections and Registration Office,10305 N. Main St,Suite 400,,Nahunta,GA,31553,08:00:00 - 04:00,17:00:00 - 04:00,10/24/16,10/28/16
ocd-division/country:us/state:ga/county:brantley,Brantley County,Board of Elections and Registration Office,10305 N. Main St,Suite 400,,Nahunta,GA,31553,09:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
ocd-division/country:us/state:ga/county:brantley,Brantley County,Board of Elections and Registration Office,10305 N. Main St,Suite 400,,Nahunta,GA,31553,08:00:00 - 04:00,17:00:00 - 04:00,10/31/16,11/4/16
ocd-division/country:us/state:ga/county:brooks,Brooks County,Elections Office,610 S Highland Rd,,,Quitman,GA,31643,08:00:00 - 04:00,17:00:00 - 04:00,10/17/16,10/21/16
ocd-division/country:us/state:ga/county:brooks,Brooks County,Elections Office,610 S Highland Rd,,,Quitman,GA,31643,08:00:00 - 04:00,17:00:00 - 04:00,10/24/16,10/28/16
ocd-division/country:us/state:ga/county:brooks,Brooks County,Elections Office,610 S Highland Rd,,,Quitman,GA,31643,09:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
ocd-division/country:us/state:ga/county:brooks,Brooks County,Elections Office,610 S Highland Rd,,,Quitman,GA,31643,08:00:00 - 04:00,17:00:00 - 04:00,10/31/16,11/4/16
ocd-division/country:us/state:ga/county:burke,Burke County,Burke County Courthouse,602 North Liberty Street,Room 104,,Waynesboro,GA,30830-1417,09:00:00 - 04:00,17:00:00 - 04:00,10/17/16,10/21/16
ocd-division/country:us/state:ga/county:burke,Burke County,Burke County Courthouse,602 North Liberty Street,Room 104,,Waynesboro,GA,30830-1417,09:00:00 - 04:00,17:00:00 - 04:00,10/24/16,10/28/16
ocd-division/country:us/state:ga/county:burke,Burke County,Burke County Courthouse,602 North Liberty Street,Room 104,,Waynesboro,GA,30830-1417,09:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
ocd-division/country:us/state:ga/county:burke,Burke County,Burke County Courthouse,602 North Liberty Street,Room 104,,Waynesboro,GA,30830-1417,09:00:00 - 04:00,17:00:00 - 04:00,10/31/16,11/4/16
ocd-division/country:us/state:ga/county:camden,Camden County,Voter Registration,200 E 4th St,,,Woodbine,GA,31569,09:00:00 - 04:00,17:00:00 - 04:00,10/17/16,10/21/16
ocd-division/country:us/state:ga/county:camden,Camden County,Voter Registration,200 E 4th St,,,Woodbine,GA,31569,09:00:00 - 04:00,17:00:00 - 04:00,10/24/16,10/28/16
ocd-division/country:us/state:ga/county:camden,Camden County,Voter Registration,200 E 4th St,,,Woodbine,GA,31569,09:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
ocd-division/country:us/state:ga/county:camden,Camden County,Voter Registration,200 E 4th St,,,Woodbine,GA,31569,09:00:00 - 04:00,17:00:00 - 04:00,10/31/16,11/4/16
ocd-division/country:us/state:ga/county:camden,Camden County,Kingsland Rec Center,1050 Wildcat Dr,,,Kingsland,GA,31548,09:00:00 - 04:00,15:00:00 - 04:00,10/29/16,10/29/16
ocd-division/country:us/state:ga/county:camden,Camden County,Salvation Army Resource Center,1915 Osborne St,,,Saint Marys,GA,31558,09:00:00 - 04:00,17:00:00 - 04:00,10/31/16,11/4/16
ocd-division/country:us/state:ga/county:camden,Camden County,Dept. of Motor Vehicles,333 S Ashley St,,,Kingsland,GA,31548,09:00:00 - 04:00,17:00:00 - 04:00,10/31/16,11/4/16
ocd-division/country:us/state:ga/county:candler,Candler County,Jack Strickland Building,621 West Pine Street,,,Metter,GA,30439,08:00:00 - 04:00,12:00:00 - 04:00,10/17/16,10/21/16
ocd-division/country:us/state:ga/county:candler,Candler County,Jack Strickland Building,621 West Pine Street,,,Metter,GA,30439,13:00:00 - 04:00,17:00:00 - 04:00,10/17/16,10/21/16
ocd-division/country:us/state:ga/county:candler,Candler County,Jack Strickland Building,621 West Pine Street,,,Metter,GA,30439,08:00:00 - 04:00,12:00:00 - 04:00,10/24/16,10/28/16
ocd-division/country:us/state:ga/county:candler,Candler County,Jack Strickland Building,621 West Pine Street,,,Metter,GA,30439,13:00:00 - 04:00,17:00:00 - 04:00,10/24/16,10/28/16
ocd-division/country:us/state:ga/county:candler,Candler County,Jack Strickland Building,621 West Pine Street,,,Metter,GA,30439,09:00:00 - 04:00,12:00:00 - 04:00,10/29/16,10/29/16
ocd-division/country:us/state:ga/county:candler,Candler County,Jack Strickland Building,621 West Pine Street,,,Metter,GA,30439,13:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
ocd-division/country:us/state:ga/county:candler,Candler County,Jack Strickland Building,621 West Pine Street,,,Metter,GA,30439,08:00:00 - 04:00,12:00:00 - 04:00,10/31/16,11/4/16
ocd-division/country:us/state:ga/county:candler,Candler County,Jack Strickland Building,621 West Pine Street,,,Metter,GA,30439,13:00:00 - 04:00,17:00:00 - 04:00,10/31/16,11/4/16
ocd-division/country:us/state:ga/county:carroll,Carroll County,Carroll County Board of Elections and Registration,423 College Street,,Lower Level,Carrollton,GA,30117,08:00:00 - 04:00,17:00:00 - 04:00,10/17/16,10/21/16
ocd-division/country:us/state:ga/county:carroll,Carroll County,Carroll County Board of Elections and Registration,423 College Street,,Lower Level,Carrollton,GA,30117,08:00:00 - 04:00,17:00:00 - 04:00,10/24/16,10/28/16
ocd-division/country:us/state:ga/county:carroll,Carroll County,Carroll County Board of Elections and Registration,423 College Street,,Lower Level,Carrollton,GA,30117,08:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
ocd-division/country:us/state:ga/county:carroll,Carroll County,Carroll County Board of Elections and Registration,423 College Street,,Lower Level,Carrollton,GA,30117,08:00:00 - 04:00,19:00:00 - 04:00,10/31/16,11/4/16
ocd-division/country:us/state:ga/county:carroll,Carroll County,Powell Park Arts Center,424 Leslie Dr,,,Villa Rica,GA,30180,08:00:00 - 04:00,19:00:00 - 04:00,10/31/16,11/4/16
ocd-division/country:us/state:ga/county:catoosa,Catoosa County,Freedom Center,5238 Evitt Street,,,Ringgold,GA,30736,08:00:00 - 04:00,17:00:00 - 04:00,10/17/16,10/21/16
ocd-division/country:us/state:ga/county:catoosa,Catoosa County,Freedom Center,5238 Evitt Street,,,Ringgold,GA,30736,08:00:00 - 04:00,17:00:00 - 04:00,10/24/16,10/28/16
ocd-division/country:us/state:ga/county:catoosa,Catoosa County,Freedom Center,5238 Evitt Street,,,Ringgold,GA,30736,09:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
ocd-division/country:us/state:ga/county:catoosa,Catoosa County,Freedom Center,5238 Evitt Street,,,Ringgold,GA,30736,08:00:00 - 04:00,17:00:00 - 04:00,10/31/16,11/2/16
ocd-division/country:us/state:ga/county:catoosa,Catoosa County,Freedom Center,5238 Evitt Street,,,Ringgold,GA,30736,08:00:00 - 04:00,19:00:00 - 04:00,11/3/16,11/3/16
ocd-division/country:us/state:ga/county:catoosa,Catoosa County,Freedom Center,5238 Evitt Street,,,Ringgold,GA,30736,08:00:00 - 04:00,17:00:00 - 04:00,11/4/16,11/4/16
ocd-division/country:us/state:ga/county:catoosa,Catoosa County,Westside Voting Precinct,3319 Lakeview Dr,,,Rossville,GA,30741,08:00:00 - 04:00,17:00:00 - 04:00,10/17/16,10/21/16
ocd-division/country:us/state:ga/county:catoosa,Catoosa County,Westside Voting Precinct,3319 Lakeview Dr,,,Rossville,GA,30741,08:00:00 - 04:00,17:00:00 - 04:00,10/24/16,10/28/16
ocd-division/country:us/state:ga/county:catoosa,Catoosa County,Westside Voting Precinct,3319 Lakeview Dr,,,Rossville,GA,30741,09:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
ocd-division/country:us/state:ga/county:catoosa,Catoosa County,Westside Voting Precinct,3319 Lakeview Dr,,,Rossville,GA,30741,08:00:00 - 04:00,17:00:00 - 04:00,10/31/16,11/2/16
ocd-division/country:us/state:ga/county:catoosa,Catoosa County,Westside Voting Precinct,3319 Lakeview Dr,,,Rossville,GA,30741,08:00:00 - 04:00,19:00:00 - 04:00,11/3/16,11/3/16
ocd-division/country:us/state:ga/county:catoosa,Catoosa County,Westside Voting Precinct,3319 Lakeview Dr,,,Rossville,GA,30741,08:00:00 - 04:00,17:00:00 - 04:00,11/4/16,11/4/16
ocd-division/country:us/state:ga/county:charlton,Charlton County,Saint George Community Center,13063 Florida Ave,,,Saint George,GA,31562,09:00:00 - 04:00,16:00:00 - 04:00,10/22/16,10/22/16
ocd-division/country:us/state:ga/county:charlton,Charlton County,"Charlton County Board of Elections & Registration, Courthouse",1520 Third St,Suite C,,Folkston,GA,31537,08:00:00 - 04:00,17:00:00 - 04:00,10/17/16,10/21/16
ocd-division/country:us/state:ga/county:charlton,Charlton County,"Charlton County Board of Elections & Registration, Courthouse",1520 Third St,Suite C,,Folkston,GA,31537,08:00:00 - 04:00,17:00:00 - 04:00,10/24/16,10/28/16
ocd-division/country:us/state:ga/county:charlton,Charlton County,"Charlton County Board of Elections & Registration, Courthouse",1520 Third St,Suite C,,Folkston,GA,31537,09:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
ocd-division/country:us/state:ga/county:charlton,Charlton County,"Charlton County Board of Elections & Registration, Courthouse",1520 Third St,Suite C,,Folkston,GA,31537,08:00:00 - 04:00,17:00:00 - 04:00,10/31/16,11/4/16
ocd-division/country:us/state:ga/county:cherokee,Cherokee County,Cherokee County Elections & Registration,400 East Main Street,,,Canton,GA,30114,08:30:00 - 04:00,17:00:00 - 04:00,10/17/16,10/21/16
ocd-division/country:us/state:ga/county:cherokee,Cherokee County,Cherokee County Elections & Registration,400 East Main Street,,,Canton,GA,30114,08:30:00 - 04:00,17:00:00 - 04:00,10/24/16,10/28/16
ocd-division/country:us/state:ga/county:cherokee,Cherokee County,Cherokee County Elections & Registration,400 East Main Street,,,Canton,GA,30114,09:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
ocd-division/country:us/state:ga/county:cherokee,Cherokee County,Cherokee County Elections & Registration,400 East Main Street,,,Canton,GA,30114,08:30:00 - 04:00,19:00:00 - 04:00,10/31/16,11/4/16
ocd-division/country:us/state:ga/county:cherokee,Cherokee County,Ball Ground Public Library,435 Old Canton Road,,,Ball Ground,GA,30107,09:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
ocd-division/country:us/state:ga/county:cherokee,Cherokee County,Ball Ground Public Library,435 Old Canton Road,,,Ball Ground,GA,30107,08:30:00 - 04:00,19:00:00 - 04:00,10/31/16,11/4/16
ocd-division/country:us/state:ga/county:cherokee,Cherokee County,Hickory Flat Public Library,2740 East Cherokee Drive,,,Canton,GA,30115,09:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
ocd-division/country:us/state:ga/county:cherokee,Cherokee County,Hickory Flat Public Library,2740 East Cherokee Drive,,,Canton,GA,30115,08:30:00 - 04:00,19:00:00 - 04:00,10/31/16,11/4/16
ocd-division/country:us/state:ga/county:cherokee,Cherokee County,Rose Creek Public Library,4476 Towne Lake Parkway,,,Woodstock,GA,30189,09:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
ocd-division/country:us/state:ga/county:cherokee,Cherokee County,Rose Creek Public Library,4476 Towne Lake Parkway,,,Woodstock,GA,30189,08:30:00 - 04:00,19:00:00 - 04:00,10/31/16,11/4/16
ocd-division/country:us/state:ga/county:cherokee,Cherokee County,Woodstock Public Library,7735 Main Street,,,Woodstock,GA,30188,09:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
ocd-division/country:us/state:ga/county:cherokee,Cherokee County,Woodstock Public Library,7735 Main Street,,,Woodstock,GA,30188,08:30:00 - 04:00,19:00:00 - 04:00,10/31/16,11/4/16
ocd-division/country:us/state:ga/county:clarke,Clarke County,Athens-Clarke County Board of Elections,155 East Washington Street,,,Athens,GA,30601,08:00:00 - 04:00,17:00:00 - 04:00,10/17/16,10/21/16
ocd-division/country:us/state:ga/county:clarke,Clarke County,Athens-Clarke County Board of Elections,155 East Washington Street,,,Athens,GA,30601,08:00:00 - 04:00,17:00:00 - 04:00,10/24/16,10/28/16
ocd-division/country:us/state:ga/county:clarke,Clarke County,Athens-Clarke County Board of Elections,155 East Washington Street,,,Athens,GA,30601,09:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
ocd-division/country:us/state:ga/county:clarke,Clarke County,Athens-Clarke County Board of Elections,155 East Washington Street,,,Athens,GA,30601,08:00:00 - 04:00,17:00:00 - 04:00,10/31/16,11/4/16
ocd-division/country:us/state:ga/county:clarke,Clarke County,Athens Clarke-County City Hall,301 College Avenue,Conference Room 103,,Athens,GA,30601,08:00:00 - 04:00,17:00:00 - 04:00,10/24/16,10/28/16
ocd-division/country:us/state:ga/county:clarke,Clarke County,Athens Clarke-County City Hall,301 College Avenue,Conference Room 103,,Athens,GA,30601,09:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
ocd-division/country:us/state:ga/county:clarke,Clarke County,Athens Clarke-County City Hall,301 College Avenue,Conference Room 103,,Athens,GA,30601,08:00:00 - 04:00,17:00:00 - 04:00,10/31/16,11/4/16
ocd-division/country:us/state:ga/county:clarke,Clarke County,Athens Regional Library,2025 Baxter Street,,,Athens,GA,30606,10:00:00 - 05:00,18:00:00 - 05:00,10/31/16,11/3/16
ocd-division/country:us/state:ga/county:clarke,Clarke County,Athens Regional Library,2025 Baxter Street,,,Athens,GA,30606,10:00:00 - 05:00,17:00:00 - 04:00,11/4/16,11/4/16
ocd-division/country:us/state:ga/county:clarke,Clarke County,UGA Tate Student Center,45 Baxter St,Room 137,,Athens,GA,30612,08:00:00 - 04:00,17:00:00 - 04:00,11/1/16,11/2/16
ocd-division/country:us/state:ga/county:clay,Clay County,Clay County Courthouse,210 South Washington Street,,,Fort Gaines,GA,39851,08:00:00 - 04:00,16:30:00 - 04:00,10/17/16,10/21/16
ocd-division/country:us/state:ga/county:clay,Clay County,Clay County Courthouse,210 South Washington Street,,,Fort Gaines,GA,39851,08:00:00 - 04:00,16:30:00 - 04:00,10/24/16,10/28/16
ocd-division/country:us/state:ga/county:clay,Clay County,Clay County Courthouse,210 South Washington Street,,,Fort Gaines,GA,39851,09:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
ocd-division/country:us/state:ga/county:clay,Clay County,Clay County Courthouse,210 South Washington Street,,,Fort Gaines,GA,39851,08:00:00 - 04:00,16:30:00 - 04:00,10/31/16,11/4/16
ocd-division/country:us/state:ga/county:cobb,Cobb County,South Cobb Recreation Center,875 Six Flags Drive,,,Austell,GA,30168-7064,08:00:00 - 04:00,19:00:00 - 04:00,10/31/16,11/4/16
ocd-division/country:us/state:ga/county:cobb,Cobb County,Ron Anderson Recreation Center,3820 Macedonia Rd,,,Powder Springs,GA,30127-36,08:00:00 - 04:00,19:00:00 - 04:00,10/31/16,11/4/16
ocd-division/country:us/state:ga/county:cobb,Cobb County,East Cobb Senior Center,3332 Sandy Plains Rd,,,Marietta,GA,30066-4743,08:00:00 - 04:00,19:00:00 - 04:00,10/31/16,11/4/16
ocd-division/country:us/state:ga/county:cobb,Cobb County,Windy Hill Community Center,1885 Roswell St,,,Smyrna,GA,30080-2213,08:00:00 - 04:00,19:00:00 - 04:00,10/31/16,11/4/16
ocd-division/country:us/state:ga/county:cobb,Cobb County,Elections Office,736 Whitlock Ave. NW,,,Marietta,GA,30064-4663,08:00:00 - 04:00,17:00:00 - 04:00,10/17/16,10/21/16
ocd-division/country:us/state:ga/county:cobb,Cobb County,Elections Office,736 Whitlock Ave. NW,,,Marietta,GA,30064-4663,09:00:00 - 04:00,16:00:00 - 04:00,10/22/16,10/22/16
ocd-division/country:us/state:ga/county:cobb,Cobb County,Elections Office,736 Whitlock Ave. NW,,,Marietta,GA,30064-4663,08:00:00 - 04:00,17:00:00 - 04:00,10/24/16,10/28/16
ocd-division/country:us/state:ga/county:cobb,Cobb County,Elections Office,736 Whitlock Ave. NW,,,Marietta,GA,30064-4663,09:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
ocd-division/country:us/state:ga/county:cobb,Cobb County,Elections Office,736 Whitlock Ave. NW,,,Marietta,GA,30064-4663,08:00:00 - 04:00,17:00:00 - 04:00,10/31/16,11/4/16
ocd-division/country:us/state:ga/county:cobb,Cobb County,Cobb Civic Center,548 S. Marietta Pkwy,,,Marietta,GA,30060-2251,08:00:00 - 04:00,19:00:00 - 04:00,10/17/16,10/21/16
ocd-division/country:us/state:ga/county:cobb,Cobb County,Cobb Civic Center,548 S. Marietta Pkwy,,,Marietta,GA,30060-2251,09:00:00 - 04:00,16:00:00 - 04:00,10/22/16,10/22/16
ocd-division/country:us/state:ga/county:cobb,Cobb County,Cobb Civic Center,548 S. Marietta Pkwy,,,Marietta,GA,30060-2251,08:00:00 - 04:00,19:00:00 - 04:00,10/24/16,10/28/16
ocd-division/country:us/state:ga/county:cobb,Cobb County,Cobb Civic Center,548 S. Marietta Pkwy,,,Marietta,GA,30060-2251,09:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
ocd-division/country:us/state:ga/county:cobb,Cobb County,Cobb Civic Center,548 S. Marietta Pkwy,,,Marietta,GA,30060-2251,08:00:00 - 04:00,19:00:00 - 04:00,10/31/16,11/4/16
ocd-division/country:us/state:ga/county:cobb,Cobb County,East Cobb Government Svcs. Center,4400 Lower Roswell Rd,,,Marietta,GA,30068-4233,08:00:00 - 04:00,19:00:00 - 04:00,10/31/16,11/4/16
ocd-division/country:us/state:ga/county:cobb,Cobb County,South Cobb Community Center,620 Lions Club Dr,,,Mableton,GA,30126-2438,08:00:00 - 04:00,19:00:00 - 04:00,10/31/16,11/4/16
ocd-division/country:us/state:ga/county:cobb,Cobb County,Boots Ward Recreation Center,4845 Dallas Hwy,,,Powder Springs,GA,30127-4486,08:00:00 - 04:00,19:00:00 - 04:00,10/31/16,11/4/16
ocd-division/country:us/state:ga/county:cobb,Cobb County,NorthStar Church,3413 Blue Springs Rd. NW,,,Kennesaw,GA,30144-1082,08:00:00 - 04:00,19:00:00 - 04:00,10/31/16,11/4/16
ocd-division/country:us/state:ga/county:cobb,Cobb County,Noonday Baptist Church Sanctuary,4120 Canton Rd,,,Marietta,GA,30066-2714,08:00:00 - 04:00,19:00:00 - 04:00,10/31/16,11/4/16
ocd-division/country:us/state:ga/county:colquitt,Colquitt County,Courthouse Annex,101 East Central Avenue,Room 221,,Moultrie,GA,31768,08:00:00 - 04:00,16:30:00 - 04:00,10/17/16,10/21/16
ocd-division/country:us/state:ga/county:colquitt,Colquitt County,Courthouse Annex,101 East Central Avenue,Room 221,,Moultrie,GA,31768,08:00:00 - 04:00,16:30:00 - 04:00,10/24/16,10/28/16
ocd-division/country:us/state:ga/county:colquitt,Colquitt County,Courthouse Annex,101 East Central Avenue,Room 221,,Moultrie,GA,31768,09:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
ocd-division/country:us/state:ga/county:colquitt,Colquitt County,Courthouse Annex,101 East Central Avenue,Room 221,,Moultrie,GA,31768,08:00:00 - 04:00,16:30:00 - 04:00,10/31/16,11/4/16
ocd-division/country:us/state:ga/county:columbia,Columbia County,Columbia County Early Voting,610 Ronald Reagan Drive,,Building G3 - next to Zaxbys,Evans,GA,30809,08:00:00 - 04:00,17:00:00 - 04:00,10/17/16,10/21/16
ocd-division/country:us/state:ga/county:columbia,Columbia County,Columbia County Early Voting,610 Ronald Reagan Drive,,Building G3 - next to Zaxbys,Evans,GA,30809,08:00:00 - 04:00,17:00:00 - 04:00,10/24/16,10/28/16
ocd-division/country:us/state:ga/county:columbia,Columbia County,Columbia County Early Voting,610 Ronald Reagan Drive,,Building G3 - next to Zaxbys,Evans,GA,30809,09:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
ocd-division/country:us/state:ga/county:columbia,Columbia County,Columbia County Early Voting,610 Ronald Reagan Drive,,Building G3 - next to Zaxbys,Evans,GA,30809,08:00:00 - 04:00,17:00:00 - 04:00,10/31/16,11/4/16
ocd-division/country:us/state:ga/county:columbia,Columbia County,Stevens Creek Community Church,600 Stevens Creek Road,,,Augusta,GA,30907,09:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
ocd-division/country:us/state:ga/county:columbia,Columbia County,Stevens Creek Community Church,600 Stevens Creek Road,,,Augusta,GA,30907,08:00:00 - 04:00,17:00:00 - 04:00,10/31/16,11/4/16
ocd-division/country:us/state:ga/county:columbia,Columbia County,Patriots Park,5445 Columbia Road,,,Grovetown,GA,30813,09:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
ocd-division/country:us/state:ga/county:columbia,Columbia County,Patriots Park,5445 Columbia Road,,,Grovetown,GA,30813,08:00:00 - 04:00,17:00:00 - 04:00,10/31/16,11/4/16
ocd-division/country:us/state:ga/county:cook,Cook County,Cook County Administration Building,1200 S Hutchinson Ave,,,Adel,GA,31620,08:30:00 - 04:00,16:30:00 - 04:00,10/17/16,10/21/16
ocd-division/country:us/state:ga/county:cook,Cook County,Cook County Administration Building,1200 S Hutchinson Ave,,,Adel,GA,31620,08:30:00 - 04:00,16:30:00 - 04:00,10/24/16,10/28/16
ocd-division/country:us/state:ga/county:cook,Cook County,Cook County Administration Building,1200 S Hutchinson Ave,,,Adel,GA,31620,09:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
