address_line,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
"W12745 Grant Rd, Caroline, WI 54928-9610",01:00 PM-07:00 PM,,ho30423433,false,true,,,,poll30423433
"W3299 E. Slab City Rd., Bonduel, WI 54107-8886",05:00 PM-08:00 PM,,ho48909738,false,true,,,,poll48909738
"N15035 Grant St Box 245, Amberg, WI 54102-9085",,,ho67290611,false,true,,,,poll67290611
"83190 Grand Ave, Port Wing, WI 54865",08:00 AM-08:00 PM,,ho84974700,false,true,,,,poll84974700
"W11019 W Town Hall Rd, Gresham, WI 54128-8972",09:00 AM-03:00 PM,,ho35856617,false,true,,,,poll35856617
"N6705 County Road J, Bowler, WI 54416-9502",05:00 PM-07:00 PM,,ho77873445,false,true,,,,poll77873445
"N7525 Maple Rd., Bowler, WI 54416",05:00 PM-09:00 PM,,ho43886272,false,true,,,,poll43886272
"107 W Main St, Bowler, WI 54416-9737",06:00 PM-07:00 PM,,ho54623927,false,true,,,,poll54623927
"E9456 Laude Rd, Clintonville, WI 54929-2103",,,ho72196309,false,true,,,,poll72196309
"8985 257th St, Cadott, WI 54727",,,ho32844899,false,true,,,,poll32844899
"W5485 County Road Z, Eau Claire, WI 54701-8680",,,ho22652217,false,true,,,,poll22652217
"E15212 County Road Z, Ringle, WI 54471-9680",,,ho75076287,false,true,,,,poll75076287
"N5866 Rock Rd., Leopolis, WI 54948",05:00 PM-07:00 PM,,ho23812149,false,true,,,,poll23812149
"N6593 Lake Crest Dr., Cecil, WI 54111",08:00 AM-08:00 PM,,ho1108100,false,true,,,,poll1108100
"213 Knapp St, Chetek, WI 54728-4125",08:00 AM-05:00 PM,,ho81493073,false,true,,,,poll81493073
"6058N Stone Lake Road, Stone Lake, WI 54876",,,ho57421501,false,true,,,,poll57421501
"N5747 Division Ave, Stone Lake, WI 54876-8701",,,ho36501087,false,true,,,,poll36501087
"7396 Kruger Rd, Webster, WI 54893-8651",,,ho42699766,false,true,,,,poll42699766
"7426 Main St W, Webster, WI 54893-8206",05:00 PM-08:00 PM,,ho15428076,false,true,,,,poll15428076
"N3305 Hutchinson Rd S, Bruce, WI 54819-9545",,,ho71233051,false,true,,,,poll71233051
