ocd-division,homepage-url,County,Location Name,Address 1,Address 2,city,state,zip,start_time,end_time,start_date,end_date,is_only_by_appointment,is_or_by_appointment,Appointment Phone #,is_subject_to_change
ocd-division/country:us/state:oh/county:fairfield,http://www.fairfieldelections.com/,Fairfield County,Education Service Center,951 Liberty Dr.,,Lancaster,OH,43130,08:00:00 - 04:00,18:00:00 - 04:00,10-24-2016,10-28-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:fairfield,http://www.fairfieldelections.com/,Fairfield County,Education Service Center,951 Liberty Dr.,,Lancaster,OH,43130,08:00:00 - 04:00,16:00:00 - 04:00,10-29-2016,10-29-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:fairfield,http://www.fairfieldelections.com/,Fairfield County,Education Service Center,951 Liberty Dr.,,Lancaster,OH,43130,13:00:00 - 04:00,17:00:00 - 04:00,10-30-2016,10-30-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:fairfield,http://www.fairfieldelections.com/,Fairfield County,Education Service Center,951 Liberty Dr.,,Lancaster,OH,43130,08:00:00 - 04:00,19:00:00 - 04:00,10-31-2016,11-04-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:fairfield,http://www.fairfieldelections.com/,Fairfield County,Education Service Center,951 Liberty Dr.,,Lancaster,OH,43130,08:00:00 - 04:00,16:00:00 - 04:00,11-05-2016,11-05-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:fairfield,http://www.fairfieldelections.com/,Fairfield County,Education Service Center,951 Liberty Dr.,,Lancaster,OH,43130,13:00:00 - 05:00,17:00:00 - 05:00,11-06-2016,11-06-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:fairfield,http://www.fairfieldelections.com/,Fairfield County,Education Service Center,951 Liberty Dr.,,Lancaster,OH,43130,08:00:00 - 05:00,14:00:00 - 05:00,11-07-2016,11-07-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:fayette,http://www.electionsonthe.net/oh/fayette/,Fayette County,Courthouse,135 S. Main St.,,Washington Courthouse,OH,43160,08:00:00 - 04:00,17:00:00 - 04:00,10-12-2016,10-14-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:fayette,http://www.electionsonthe.net/oh/fayette/,Fayette County,Courthouse,135 S. Main St.,,Washington Courthouse,OH,43160,08:00:00 - 04:00,17:00:00 - 04:00,10-17-2016,10-21-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:fayette,http://www.electionsonthe.net/oh/fayette/,Fayette County,Courthouse,135 S. Main St.,,Washington Courthouse,OH,43160,08:00:00 - 04:00,18:00:00 - 04:00,10-24-2016,10-28-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:fayette,http://www.electionsonthe.net/oh/fayette/,Fayette County,Courthouse,135 S. Main St.,,Washington Courthouse,OH,43160,08:00:00 - 04:00,16:00:00 - 04:00,10-29-2016,10-29-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:fayette,http://www.electionsonthe.net/oh/fayette/,Fayette County,Courthouse,135 S. Main St.,,Washington Courthouse,OH,43160,13:00:00 - 04:00,17:00:00 - 04:00,10-30-2016,10-30-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:fayette,http://www.electionsonthe.net/oh/fayette/,Fayette County,Courthouse,135 S. Main St.,,Washington Courthouse,OH,43160,08:00:00 - 04:00,19:00:00 - 04:00,10-31-2016,11-04-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:fayette,http://www.electionsonthe.net/oh/fayette/,Fayette County,Courthouse,135 S. Main St.,,Washington Courthouse,OH,43160,08:00:00 - 04:00,16:00:00 - 04:00,11-05-2016,11-05-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:fayette,http://www.electionsonthe.net/oh/fayette/,Fayette County,Courthouse,135 S. Main St.,,Washington Courthouse,OH,43160,13:00:00 - 05:00,17:00:00 - 05:00,11-06-2016,11-06-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:fayette,http://www.electionsonthe.net/oh/fayette/,Fayette County,Courthouse,135 S. Main St.,,Washington Courthouse,OH,43160,08:00:00 - 05:00,14:00:00 - 05:00,11-07-2016,11-07-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:franklin,http://vote.franklincountyohio.gov/,Franklin County,Board of Elections Building,1700 Morse Road,,Columbus,OH,43229,08:00:00 - 04:00,17:00:00 - 04:00,10-12-2016,10-14-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:franklin,http://vote.franklincountyohio.gov/,Franklin County,Board of Elections Building,1700 Morse Road,,Columbus,OH,43229,08:00:00 - 04:00,17:00:00 - 04:00,10-17-2016,10-21-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:franklin,http://vote.franklincountyohio.gov/,Franklin County,Board of Elections Building,1700 Morse Road,,Columbus,OH,43229,08:00:00 - 04:00,18:00:00 - 04:00,10-24-2016,10-28-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:franklin,http://vote.franklincountyohio.gov/,Franklin County,Board of Elections Building,1700 Morse Road,,Columbus,OH,43229,08:00:00 - 04:00,16:00:00 - 04:00,10-29-2016,10-29-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:franklin,http://vote.franklincountyohio.gov/,Franklin County,Board of Elections Building,1700 Morse Road,,Columbus,OH,43229,13:00:00 - 04:00,17:00:00 - 04:00,10-30-2016,10-30-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:franklin,http://vote.franklincountyohio.gov/,Franklin County,Board of Elections Building,1700 Morse Road,,Columbus,OH,43229,08:00:00 - 04:00,19:00:00 - 04:00,10-31-2016,11-04-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:franklin,http://vote.franklincountyohio.gov/,Franklin County,Board of Elections Building,1700 Morse Road,,Columbus,OH,43229,08:00:00 - 04:00,16:00:00 - 04:00,11-05-2016,11-05-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:franklin,http://vote.franklincountyohio.gov/,Franklin County,Board of Elections Building,1700 Morse Road,,Columbus,OH,43229,13:00:00 - 05:00,17:00:00 - 05:00,11-06-2016,11-06-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:franklin,http://vote.franklincountyohio.gov/,Franklin County,Board of Elections Building,1700 Morse Road,,Columbus,OH,43229,08:00:00 - 05:00,14:00:00 - 05:00,11-07-2016,11-07-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:fulton,http://www.fultoncountyoh.com/boardofelections,Fulton County,Courthouse,135 Courthouse Plaza,,Wauseon,OH,43567,08:00:00 - 04:00,17:00:00 - 04:00,10-12-2016,10-14-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:fulton,http://www.fultoncountyoh.com/boardofelections,Fulton County,Courthouse,135 Courthouse Plaza,,Wauseon,OH,43567,08:00:00 - 04:00,17:00:00 - 04:00,10-17-2016,10-21-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:fulton,http://www.fultoncountyoh.com/boardofelections,Fulton County,Courthouse,135 Courthouse Plaza,,Wauseon,OH,43567,08:00:00 - 04:00,18:00:00 - 04:00,10-24-2016,10-28-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:fulton,http://www.fultoncountyoh.com/boardofelections,Fulton County,Courthouse,135 Courthouse Plaza,,Wauseon,OH,43567,08:00:00 - 04:00,16:00:00 - 04:00,10-29-2016,10-29-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:fulton,http://www.fultoncountyoh.com/boardofelections,Fulton County,Courthouse,135 Courthouse Plaza,,Wauseon,OH,43567,13:00:00 - 04:00,17:00:00 - 04:00,10-30-2016,10-30-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:fulton,http://www.fultoncountyoh.com/boardofelections,Fulton County,Courthouse,135 Courthouse Plaza,,Wauseon,OH,43567,08:00:00 - 04:00,19:00:00 - 04:00,10-31-2016,11-04-2016,FALSE,FALSE,FALSE,FALSE
